Date,GRADE,GPS,CTVA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-05-24,,,27.016361236572266,,,,,,
2019-05-27,,,27.016361236572266,,,,,,
2019-05-28,,,26.79743766784668,,,,,,
2019-05-29,,,26.550561904907227,,,,,,
2019-05-30,,,26.83004379272461,26.84215316772461,,,,,
2019-05-31,,,25.12522315979004,26.463925552368163,,,,,
2019-06-03,,,23.112964630126957,25.683246231079103,,,,,
2019-06-04,,,25.85186767578125,25.494132232666015,,,,,
2019-06-05,,,26.09407997131348,25.402835845947266,,,,,
2019-06-06,,,25.060007095336918,25.04882850646973,25.945490837097168,,,,
2019-06-07,,,24.510358810424805,24.925855636596683,25.694890594482423,,,,
2019-06-10,,,23.578765869140625,25.019015884399415,25.35113105773926,,,,
2019-06-11,,,23.24338722229004,24.497319793701173,24.995726013183592,,,,
2019-06-12,,,23.355180740356445,23.949539947509766,24.676187896728514,,,,
2019-06-13,,,23.262022018432617,23.589942932128906,24.319385719299316,,,,
2019-06-14,,,23.46697235107422,23.38126564025879,24.153560638427734,,,,
2019-06-17,,,24.17499351501465,23.500511169433594,24.259763526916505,,,,
2019-06-18,,,25.43264389038086,23.938362503051756,24.217841148376465,,,,
2019-06-19,,,25.29290199279785,24.32590675354004,24.1377233505249,,,,
2019-06-20,,,25.302221298217773,24.73394660949707,24.161944770812987,25.053717803955077,,,
2019-06-21,,,25.348800659179688,25.110312271118165,24.245788955688475,24.97033977508545,,,
2019-06-24,,,26.09407997131348,25.49412956237793,24.49732036590576,24.92422571182251,,,
2019-06-25,,,25.7773380279541,25.563068389892578,24.750715446472167,24.87322072982788,,,
2019-06-26,,,27.25858497619629,25.956204986572267,25.141055870056153,24.908621883392335,,,
2019-06-27,,,27.547372817993164,26.405235290527344,25.569590950012206,24.944488334655762,,,
2019-06-28,,,27.547372817993164,26.84494972229004,25.9776309967041,25.065595817565917,,,
2019-07-01,,,27.649850845336918,27.156103897094727,26.32511672973633,25.292440128326415,,,
2019-07-02,,,27.007041931152344,27.402044677734374,26.482556533813476,25.350198841094972,,,
2019-07-03,,,26.83004379272461,27.31633644104004,26.63627071380615,25.386997032165528,,,
2019-07-04,,,26.83004379272461,27.172870635986328,26.789052963256836,25.47549886703491,,,
2019-07-05,,,26.68099021911621,26.999594116210936,26.922271919250488,25.584030437469483,,,
2019-07-08,,,25.870500564575195,26.643724060058595,26.89991397857666,25.69861717224121,,,
2019-07-09,,,25.14385223388672,26.271086120605467,26.83656539916992,25.793640422821046,,,
2019-07-10,,,24.68736457824707,25.84255027770996,26.579443359375,25.860249614715578,,,
2019-07-11,,,24.62215232849121,25.400971984863283,26.286921310424805,25.928256130218507,,,
2019-07-12,,,25.712129592895508,25.20719985961914,26.10339698791504,26.04051399230957,,,
2019-07-15,,,26.159292221069336,25.26495819091797,25.95434112548828,26.139728927612303,,,
2019-07-16,,,25.9543399810791,25.427055740356444,25.849070930480956,26.165813732147218,,,
2019-07-17,,,25.0413761138916,25.49785804748535,25.670204162597656,26.153237438201906,,,
2019-07-18,,,24.827110290527344,25.53884963989258,25.46991081237793,26.129481887817384,,,
2019-07-19,,,25.516490936279297,25.499721908569335,25.35346088409424,26.137866401672362,,,
2019-07-22,,,25.861181259155277,25.440099716186523,25.352528953552245,26.126221466064454,,,
2019-07-23,,,26.196557998657227,25.48854331970215,25.4577995300293,26.14718246459961,,,
2019-07-24,,,26.382871627807617,25.756842422485352,25.62735023498535,26.103396797180174,,,
2019-07-25,,,26.10339736938477,26.012099838256837,25.775474739074706,26.031198024749756,,,
2019-07-26,,,26.531932830810547,26.215188217163085,25.85745506286621,25.980426025390624,,,
2019-07-29,,,26.811410903930664,26.405234146118165,25.922666931152342,25.938504028320313,,,
2019-07-30,,,27.260610580444336,26.618044662475587,26.053293991088868,25.951182460784914,,,
2019-07-31,,,27.60686683654785,26.862843704223632,26.309843063354492,25.990023612976074,,,
2019-08-01,,,29.244558334350582,27.491075897216795,26.751587867736816,26.110749340057374,25.823597450256347,,
2019-08-02,,,29.441082000732425,28.07290573120117,27.144046974182128,26.248753929138182,25.872091865539552,,
2019-08-05,,,27.9811954498291,28.30686264038086,27.356048393249512,26.35428867340088,25.891388549804688,,
2019-08-06,,,28.121564865112305,28.479053497314453,27.548549079895018,26.503174304962158,25.91787109375,,
2019-08-07,,,28.673704147338867,28.692420959472656,27.777632331848146,26.702491283416748,25.960333938598634,,
2019-08-08,,,29.58145523071289,28.759800338745116,28.125438117980956,26.950456428527833,26.015362167358397,,
2019-08-09,,,29.60016822814941,28.791617584228515,28.432261657714843,27.144858360290527,26.104861068725587,,
2019-08-12,,,27.728519439697266,28.741082382202148,28.523972511291504,27.223319721221923,26.197172164916992,,
2019-08-13,,,27.70044708251953,28.656858825683592,28.567956161499023,27.310625076293945,26.234143753051757,,
2019-08-14,,,26.52130699157715,28.22637939453125,28.459400177001953,27.384621620178223,26.242688293457032,,
2019-08-15,,,26.596172332763672,27.629322814941407,28.194561576843263,27.47307472229004,26.273411598205566,,
2019-08-16,,,28.299373626708984,27.36916389465332,28.08039073944092,27.612218856811523,26.34919189453125,,
2019-08-19,,,28.60819625854492,27.54509925842285,28.1430908203125,27.749569606781005,26.449780502319335,,
2019-08-20,,,28.31809425354004,27.668628692626953,28.162743759155273,27.855646419525147,26.551274642944335,,
