Date,GRADE,GPS,AZO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-02-11,41.32179980156693,A,20.0,20.075,18.6625,17.4265625,16.243125,14.124375,11.65234375
1992-02-12,41.26888095004648,A,19.1875,19.9125,18.96875,17.5125,16.363125,14.203125,11.70828125
1992-02-13,41.19657946800447,A,18.75,19.575,19.19375,17.6125,16.463125,14.27875,11.76171875
1992-02-14,41.14783069145406,A,18.9375,19.3625,19.38125,17.740625,16.55625,14.3571875,11.81671875
1992-02-17,41.107160025570174,A,18.9375,19.1625,19.49375,17.8890625,16.654375,14.435,11.8725
1992-02-18,41.04539967975061,A,18.0,18.7625,19.41875,18.01875,16.735,14.5,11.925
1992-02-19,41.01268067273402,A,18.1875,18.5625,19.2375,18.15,16.825,14.565625,11.97765625
1992-02-20,41.01007454740303,P,18.8125,18.575,19.075,18.3,16.926875,14.6415625,12.03296875
1992-02-21,41.019412229660794,P,19.5,18.6875,19.025,18.471875,17.036875,14.725,12.093125
1992-02-24,41.019570795492996,P,19.1875,18.7375,18.95,18.628125,17.125625,14.806875,12.150625
1992-02-25,41.0309075583527,A,18.4375,18.825,18.79375,18.728125,17.2,14.8796875,12.2040625
1992-02-26,41.061882744069884,A,19.1875,19.025,18.79375,18.88125,17.28875,14.9615625,12.260625
1992-02-27,41.09388499968562,A,19.9375,19.25,18.9125,19.053125,17.396875,15.053125,12.32171875
1992-02-28,41.08519075093404,A,19.3125,19.2125,18.95,19.165625,17.493125,15.1371875,12.37921875
1992-03-02,41.085901772531834,A,19.4375,19.2625,19.0,19.246875,17.583125,15.21875,12.43734375
1992-03-03,41.10424411174171,A,19.3125,19.4375,19.13125,19.275,17.67,15.2990625,12.49515625
1992-03-04,41.07364136644924,A,18.6875,19.3375,19.18125,19.209375,17.744375,15.3715625,12.55046875
1992-03-05,41.00775068291462,A,18.375,19.025,19.1375,19.10625,17.805,15.44125,12.60453125
1992-03-06,40.96160658308326,P,18.1875,18.8,19.00625,19.015625,17.85375,15.5078125,12.6578125
1992-03-09,40.90750426527647,P,17.875,18.4875,18.875,18.9125,17.8875,15.5715625,12.70875
1992-03-10,40.84626880259162,P,17.625,18.15,18.79375,18.79375,17.904375,15.6321875,12.75765625
1992-03-11,40.81076218806785,P,17.5,17.9125,18.625,18.709375,17.91875,15.69125,12.804375
1992-03-12,40.802362095978545,P,17.8125,17.8,18.4125,18.6625,17.939375,15.756875,12.85265625
1992-03-13,40.80807409278065,P,18.0625,17.775,18.2875,18.61875,17.965,15.826875,12.90203125
1992-03-16,40.82041158142047,P,18.0,17.8,18.14375,18.571875,17.985,15.8946875,12.9503125
1992-03-17,40.84555163444366,P,18.1875,17.9125,18.03125,18.58125,18.005625,15.9596875,12.99921875
1992-03-18,40.889415642980175,P,18.75,18.1625,18.0375,18.609375,18.039375,16.029375,13.0528125
1992-03-19,40.921285688110125,P,18.75,18.35,18.075,18.60625,18.073125,16.0975,13.106875
1992-03-20,40.943781642928684,P,19.0,18.5375,18.15625,18.58125,18.108125,16.168125,13.16
1992-03-23,40.978930831660804,A,19.375,18.8125,18.30625,18.590625,18.145625,16.2425,13.21359375
1992-03-24,41.005993955820514,A,19.25,19.025,18.46875,18.63125,18.181875,16.31625,13.2665625
1992-03-25,41.01695751820869,A,19.5625,19.1875,18.675,18.65,18.22375,16.391875,13.3225
1992-03-26,41.022806610355985,A,19.375,19.3125,18.83125,18.621875,18.27625,16.4603125,13.378125
1992-03-27,41.03550322233366,A,19.6875,19.45,18.99375,18.640625,18.3425,16.53,13.435
1992-03-30,41.0226241716716,A,19.1875,19.4125,19.1125,18.628125,18.406875,16.59,13.49015625
1992-03-31,40.991857554543714,A,18.4375,19.25,19.1375,18.584375,18.4675,16.6371875,13.5425
1992-04-01,40.93733711792726,P,17.6875,18.875,19.03125,18.534375,18.51,16.675625,13.59109375
1992-04-02,40.890948307781855,P,17.625,18.525,18.91875,18.496875,18.54625,16.71625,13.63734375
1992-04-03,40.82606170464154,P,17.3125,18.05,18.75,18.453125,18.57125,16.7553125,13.6815625
1992-04-06,40.795998657096426,P,18.0,17.8125,18.6125,18.459375,18.61,16.8084375,13.72625
1992-04-07,40.785834133725565,P,17.875,17.7,18.475,18.471875,18.63875,16.8628125,13.76921875
1992-04-08,40.79584563583363,P,17.625,17.6875,18.28125,18.478125,18.66875,16.914375,13.8109375
1992-04-09,40.81483061941695,P,18.0625,17.775,18.15,18.490625,18.7,16.9675,13.85484375
1992-04-10,40.836897869031056,P,17.9375,17.9,17.975,18.484375,18.7175,17.0153125,13.89640625
1992-04-13,40.84357743327354,A,18.3125,17.9625,17.8875,18.5,18.7275,17.0678125,13.9384375
1992-04-14,40.86378046432345,A,18.9375,18.175,17.9375,18.5375,18.73125,17.1278125,13.9821875
1992-04-15,40.884171445739526,A,18.875,18.425,18.05625,18.54375,18.70875,17.1890625,14.02625
1992-04-16,40.88391871260278,A,18.5,18.5125,18.14375,18.53125,18.67,17.2465625,14.070625
1992-04-17,40.89387708366445,A,18.5,18.625,18.2625,18.50625,18.64,17.3034375,14.115
1992-04-20,40.87146052229301,A,17.75,18.5125,18.2375,18.425,18.59625,17.35,14.15375
1992-04-21,40.82274297171725,A,17.4375,18.2125,18.19375,18.334375,18.545,17.3940625,14.19125
1992-04-22,40.79003436613301,P,17.9375,18.025,18.225,18.253125,18.52,17.4415625,14.23109375
1992-04-23,40.75698396872796,P,17.4375,17.8125,18.1625,18.15625,18.49375,17.4784375,14.2678125
1992-04-24,40.71877896618443,P,17.4375,17.6,18.1125,18.04375,18.46375,17.51,14.305
1992-04-27,40.70700570833929,P,17.125,17.475,17.99375,17.940625,18.4275,17.5409375,14.341875
1992-04-28,40.69368489909497,P,16.4375,17.275,17.74375,17.840625,18.39625,17.565625,14.3753125
1992-04-29,40.68180235283549,P,17.0625,17.1,17.5625,17.809375,18.37375,17.599375,14.41234375
1992-04-30,40.70669701080437,P,17.9375,17.2,17.50625,17.825,18.35625,17.6415625,14.45328125
1992-05-01,40.734072035449124,P,18.0,17.3125,17.45625,17.859375,18.32625,17.6815625,14.4946875
1992-05-04,40.779665523701205,P,18.625,17.6125,17.54375,17.890625,18.315,17.7203125,14.53921875
1992-05-05,40.83833440345936,A,18.3125,17.9875,17.63125,17.9125,18.3125,17.75625,14.58203125
1992-05-06,40.881579980452834,A,18.625,18.3,17.7,17.9625,18.30125,17.795,14.62796875
1992-05-07,40.89216589510789,A,18.5625,18.425,17.8125,17.9875,18.27375,17.8353125,14.67359375
1992-05-08,40.89850466900359,A,18.3125,18.4875,17.9,18.00625,18.25375,17.8734375,14.71734375
1992-05-11,40.879016489077415,A,18.1875,18.4,18.00625,18.0,18.22875,17.9059375,14.76046875
1992-05-12,40.84623568858194,A,17.5625,18.25,18.11875,17.93125,18.19375,17.931875,14.80046875
1992-05-13,40.80474700964935,P,17.375,18.0,18.15,17.85625,18.1675,17.9559375,14.83875
1992-05-14,40.75908127359668,P,17.0,17.6875,18.05625,17.78125,18.14,17.9725,14.8746875
1992-05-15,40.72918318956082,P,17.4375,17.5125,18.0,17.728125,18.125,17.989375,14.9128125
1992-05-18,40.716164956397876,P,17.75,17.425,17.9125,17.728125,18.1225,18.005,14.95265625
1992-05-19,40.72239314486133,P,17.8125,17.475,17.8625,17.746875,18.12625,18.0153125,14.9925
1992-05-20,40.722351618938276,P,17.3125,17.4625,17.73125,17.715625,18.1225,18.020625,15.02984375
1992-05-21,40.73575813871323,P,17.1875,17.5,17.59375,17.703125,18.11,18.0246875,15.0675
1992-05-22,40.73754526213331,P,17.25,17.4625,17.4875,17.69375,18.09375,18.029375,15.10640625
1992-05-25,40.731649320493155,P,17.25,17.3625,17.39375,17.7,18.07875,18.031875,15.14703125
1992-05-26,40.73050689737229,P,17.5625,17.3125,17.39375,17.75625,18.06625,18.0359375,15.18875
1992-05-27,40.7305310644388,P,17.0625,17.2625,17.3625,17.75625,18.0325,18.0359375,15.22625
1992-05-28,40.72278812451542,P,16.875,17.2,17.35,17.703125,17.995,18.0340625,15.2609375
1992-05-29,40.727856860813795,P,17.5625,17.2625,17.3625,17.68125,17.96625,18.0371875,15.29875
1992-06-01,40.72345447692741,P,17.4375,17.3,17.33125,17.621875,17.9275,18.0365625,15.3359375
1992-06-02,40.705480857966734,P,17.375,17.2625,17.2875,17.575,17.89,18.0359375,15.37328125
1992-06-03,40.70311781990221,B,17.375,17.325,17.29375,17.5125,17.84625,18.035,15.4090625
1992-06-04,40.69403853975239,B,16.625,17.275,17.2375,17.415625,17.79125,18.03375,15.4415625
1992-06-05,40.66099860680883,B,16.3125,17.025,17.14375,17.315625,17.72375,18.033125,15.4721875
1992-06-08,40.61963563094636,B,15.4375,16.625,16.9625,17.178125,17.64875,18.0278125,15.4984375
1992-06-09,40.5608241752381,B,14.4375,16.0375,16.65,17.021875,17.56875,18.018125,15.5196875
1992-06-10,40.50225812028908,B,14.3125,15.425,16.375,16.86875,17.50125,18.005625,15.5415625
1992-06-11,40.466967968903454,B,14.4375,14.9875,16.13125,16.740625,17.4375,17.991875,15.56453125
1992-06-12,40.45268319312293,B,14.9375,14.7125,15.86875,16.615625,17.39,17.980625,15.59046875
1992-06-15,40.46650093970479,B,15.25,14.675,15.65,16.490625,17.335,17.9725,15.618125
1992-06-16,40.49595492541166,B,14.875,14.7625,15.4,16.34375,17.275,17.956875,15.64390625
1992-06-17,40.51101954187653,B,14.25,14.75,15.0875,16.190625,17.2075,17.938125,15.66515625
1992-06-18,40.49836189288492,B,13.5,14.5625,14.775,16.00625,17.11625,17.908125,15.6825
1992-06-19,40.469786728962724,B,13.375,14.25,14.48125,15.8125,17.025,17.87125,15.699375
1992-06-22,40.41626521753401,B,12.875,13.775,14.225,15.59375,16.91625,17.821875,15.7125
1992-06-23,40.379036115462846,B,13.375,13.475,14.11875,15.384375,16.805,17.768125,15.72671875
1992-06-24,40.35957617641137,B,13.5,13.325,14.0375,15.20625,16.6975,17.703125,15.741875
1992-06-25,40.37176990292649,B,13.9375,13.4125,13.9875,15.059375,16.60625,17.638125,15.7565625
1992-06-26,40.39020693634455,B,14.125,13.5625,13.90625,14.8875,16.51875,17.579375,15.769375
1992-06-29,40.43457311519041,B,14.4375,13.875,13.825,14.7375,16.4525,17.524375,15.7825
1992-06-30,40.45564564386793,B,14.0,14.0,13.7375,14.56875,16.38375,17.464375,15.794375
1992-07-01,40.49185810295224,B,14.6875,14.2375,13.78125,14.434375,16.31875,17.419375,15.81125
1992-07-02,40.50595485109687,B,14.0625,14.2625,13.8375,14.30625,16.25125,17.3725,15.825625
1992-07-03,40.52046080482537,C,14.0625,14.25,13.90625,14.19375,16.18375,17.32375,15.84046875
