Date,GRADE,GPS,KO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.4083660840988159,,,,,,
1983-11-22,,,0.4092921018600464,,,,,,
1983-11-23,,,0.4092921018600464,,,,,,
1983-11-24,,,0.4092921018600464,,,,,,
1983-11-25,,,0.4068168997764587,0.4086118578910828,,,,,
1983-11-28,,,0.40119269490242,0.4071771800518036,,,,,
1983-11-29,,,0.4086917340755462,0.40705710649490356,,,,,
1983-11-30,,,0.4143162667751312,0.4080619394779205,,,,,
1983-12-01,,,0.4180654883384704,0.40981661677360537,,,,,
1983-12-02,,,0.4236895442008972,0.413191145658493,0.4109015017747879,,,,
1983-12-05,,,0.4218149483203888,0.4173155963420868,0.4122463881969452,,,,
1983-12-06,,,0.419940322637558,0.41956531405448916,0.41331121027469636,,,,
1983-12-07,,,0.4208776354789734,0.4208775877952576,0.41446976363658905,,,,
1983-12-08,,,0.4208776354789734,0.42144001722335817,0.41562831699848174,,,,
1983-12-09,,,0.4255646765232086,0.4218150436878204,0.4175030946731567,,,,
1983-12-12,,,0.4302513599395752,0.4235023260116577,0.42040896117687226,,,,
1983-12-13,,,0.4274389445781708,0.4250020503997803,0.4222836822271347,,,,
1983-12-14,,,0.4236895442008972,0.42556443214416506,0.4232210099697113,,,,
1983-12-15,,,0.4161908328533172,0.4246270716190338,0.423033544421196,,,,
1983-12-16,,,0.4086917340755462,0.42125248312950136,0.4215337634086609,0.4162176325917244,,,
1983-12-19,,,0.40119269490242,0.4154407501220703,0.419471538066864,0.4158589631319046,,,
1983-12-20,,,0.4068168997764587,0.4113163411617279,0.4181591957807541,0.4157352030277252,,,
1983-12-21,,,0.4086917340755462,0.40831677913665765,0.4169406056404113,0.4157051846385002,,,
1983-12-22,,,0.4086917340755462,0.4068169593811034,0.4157220155000686,0.4156751662492752,,,
1983-12-23,,,0.4143162667751312,0.40794186592102044,0.41459717452526085,0.4160501345992088,,,
1983-12-26,,,0.4143162667751312,0.41056658029556276,0.41300366520881643,0.4167063131928444,,,
1983-12-27,,,0.4105667471885681,0.4113165497779846,0.4113164454698562,0.4168000638484955,,,
1983-12-28,,,0.4086917340755462,0.4113165497779846,0.40981666445732107,0.41651883721351624,,,
1983-12-29,,,0.4049423336982727,0.4105666697025299,0.4086918145418167,0.41586267948150635,,,
1983-12-30,,,0.40119269490242,0.40794195532798766,0.4079419106245041,0.4147378370165825,,,
1984-01-02,,,0.40119269490242,0.40531724095344535,0.4079419106245041,0.41370672434568406,,,
1984-01-03,,,0.3993182778358459,0.40306754708290093,0.4071920484304428,0.41267562210559844,,,
1984-01-04,,,0.4115037024021148,0.40362994074821473,0.4074732452630997,0.4122069254517555,,,
1984-01-05,,,0.4143162667751312,0.40550472736358645,0.40803569853305816,0.4118788570165634,,,
1984-01-06,,,0.409629076719284,0.40719200372695924,0.40756697952747345,0.4110820770263672,,,
1984-01-09,,,0.4040051400661468,0.4077544927597045,0.40653586685657495,0.40976976603269566,,,
1984-01-10,,,0.40119269490242,0.4081293761730193,0.4055984616279601,0.40845745354890817,,,
1984-01-11,,,0.4002556502819061,0.40587976574897766,0.4047548532485961,0.4072857588529586,,,
1984-01-12,,,0.3833827674388885,0.3996930658817291,0.4025988966226577,0.40564535558223713,,,
1984-01-13,,,0.3861952126026153,0.39500629305839535,0.40109914839267724,0.40452052950859063,,,
1984-01-16,,,0.3852579593658447,0.3912568569183349,0.3995056748390197,0.40372379273176184,,,
1984-01-17,,,0.3936940729618072,0.3897571325302124,0.3989432543516159,0.4030676513910293,,,
1984-01-18,,,0.3890071809291839,0.3875074386596679,0.39669360220432276,0.40208342373371125,,,
1984-01-19,,,0.3918193578720093,0.38919475674629206,0.3944439113140106,0.4012398049235344,,,
1984-01-20,,,0.3899442255496979,0.3899445593357086,0.39247542619705195,0.4000212028622627,,,
1984-01-23,,,0.3861952126026153,0.3901320099830627,0.3906944334506988,0.3986151501536369,,,
1984-01-24,,,0.3861952126026153,0.38863223791122437,0.3891946852207183,0.39739657342433926,,,
1984-01-25,,,0.3833827674388885,0.38750735521316526,0.38750739693641656,0.39613112509250636,,,
1984-01-26,,,0.3890071809291839,0.38694491982460016,0.38806983828544617,0.3953343674540519,,,
1984-01-27,,,0.387132465839386,0.3863825678825378,0.38816356360912324,0.3946313560009002,0.4059279775619507,,
1984-01-30,,,0.3815082609653473,0.3854451775550842,0.3877885937690735,0.3936471343040466,0.4053908210992813,,
1984-01-31,,,0.3805709183216095,0.384320318698883,0.3864762783050537,0.39270976632833476,0.40481639742851255,,
1984-02-01,,,0.375884085893631,0.3828205823898315,0.3851639688014984,0.39092878550291055,0.40414823710918424,,
1984-02-02,,,0.374946653842926,0.38000847697257994,0.3834766983985901,0.3889603048563003,0.40346132814884184,,
1984-02-03,,,0.3824455440044403,0.3790710926055908,0.38272683024406434,0.38760112822055814,0.40297390103340147,,
1984-02-06,,,0.3768211305141449,0.37813366651535035,0.38178942203521726,0.386241927742958,0.402486469745636,,
1984-02-07,,,0.3815082609653473,0.3783211350440979,0.3813207268714905,0.3852577060461044,0.401942800283432,,
1984-02-08,,,0.3786961734294891,0.37888355255126954,0.38085206747055056,0.38417973220348356,0.40123039841651914,,
1984-02-09,,,0.3711972534656524,0.3781336724758148,0.3790710747241973,0.38357045650482174,0.40029303371906283,,
1984-02-10,,,0.374946653842926,0.376633894443512,0.37785249352455136,0.38300802856683724,0.3993181759119034,,
1984-02-13,,,0.375884085893631,0.3764464855194092,0.37729007601737974,0.38253933489322656,0.39839955866336824,,
