Date,GRADE,GPS,C,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,8.48450756072998,,,,,,
1983-11-22,,,8.61743450164795,,,,,,
1983-11-23,,,8.61743450164795,,,,,,
1983-11-24,,,8.61743450164795,,,,,,
1983-11-25,,,8.661736488342285,8.599709510803223,,,,,
1983-11-28,,,8.61743450164795,8.626294898986817,,,,,
1983-11-29,,,8.595281600952148,8.621864318847656,,,,,
1983-11-30,,,8.639585494995117,8.62629451751709,,,,,
1983-12-01,,,8.661736488342285,8.635154914855956,,,,,
1983-12-02,,,8.639585494995117,8.630724716186524,8.615217113494873,,,,
1983-12-05,,,8.61743450164795,8.630724716186524,8.62850980758667,,,,
1983-12-06,,,8.706045150756836,8.65287742614746,8.63737087249756,,,,
1983-12-07,,,8.750344276428223,8.675029182434082,8.650661849975586,,,,
1983-12-08,,,8.683884620666504,8.679458808898925,8.65730686187744,,,,
1983-12-09,,,8.683884620666504,8.688318634033203,8.659521675109863,,,,
1983-12-12,,,8.683884620666504,8.701608657836914,8.666166687011719,,,,
1983-12-13,,,8.61743450164795,8.683886528015137,8.6683819770813,,,,
1983-12-14,,,8.550971984863281,8.644012069702148,8.659520626068115,,,,
1983-12-15,,,8.418057441711426,8.590846633911132,8.63515272140503,,,,
1983-12-16,,,8.395904541015625,8.533250617980958,8.61078462600708,8.613000869750977,,,
1983-12-19,,,8.440207481384277,8.484515190124512,8.593061923980713,8.610785865783692,,,
1983-12-20,,,8.462358474731445,8.45349998474121,8.568693256378173,8.603032064437866,,,
1983-12-21,,,8.528817176818848,8.449069023132324,8.546540546417237,8.59860119819641,,,
1983-12-22,,,8.440207481384277,8.453499031066894,8.522172832489014,8.589739847183228,,,
1983-12-23,,,8.395904541015625,8.453499031066894,8.493374824523926,8.576448249816895,,,
1983-12-26,,,8.395904541015625,8.444638442993163,8.464576816558838,8.565371751785278,,,
1983-12-27,,,8.351603507995605,8.422487449645995,8.437993717193603,8.553187847137451,,,
1983-12-28,,,8.285140991210938,8.373752212524414,8.41141061782837,8.535465621948243,,,
1983-12-29,,,8.285140991210938,8.342738914489747,8.39811897277832,8.516635847091674,,,
1983-12-30,,,8.307292938232422,8.325016593933105,8.3892578125,8.50002121925354,,,
1984-01-02,,,8.307292938232422,8.307294273376465,8.375966358184815,8.484514141082764,,,
1984-01-03,,,8.218681335449219,8.280709838867187,8.351598644256592,8.460145950317383,,,
1984-01-04,,,8.440207481384277,8.311723136901856,8.342737674713135,8.444639110565186,,,
1984-01-05,,,8.595281600952148,8.373751258850097,8.358245086669921,8.440208959579468,,,
1984-01-06,,,8.794658660888672,8.471224403381347,8.398120498657226,8.445747661590577,,,
1984-01-09,,,8.72819709777832,8.555405235290527,8.431349754333496,8.447963285446168,,,
1984-01-10,,,8.573122024536133,8.62629337310791,8.45350160598755,8.445747661590577,,,
1984-01-11,,,8.61743450164795,8.661738777160645,8.48673095703125,8.44907078742981,,,
1984-01-12,,,8.72819709777832,8.68832187652588,8.531036567687988,8.464577770233154,,,
1984-01-13,,,8.706045150756836,8.670599174499511,8.57091178894043,8.480084800720215,,,
1984-01-16,,,8.661736488342285,8.657307052612305,8.606356143951416,8.491161251068116,,,
1984-01-17,,,8.750344276428223,8.692751502990722,8.659522438049317,8.505560541152954,,,
1984-01-18,,,9.038337707519531,8.77693214416504,8.719335460662842,8.531036567687988,,,
1984-01-19,,,9.17125129699707,8.865542984008789,8.776932430267333,8.567588758468627,,,
1984-01-20,,,8.994029998779297,8.923139953613282,8.796869564056397,8.59749503135681,,,
1984-01-23,,,8.994029998779297,8.989598655700684,8.823452854156494,8.627401304244994,,,
1984-01-24,,,9.082635879516602,9.05605697631836,8.874404239654542,8.663952922821045,,,
1984-01-25,,,9.215558052062988,9.091501045227051,8.934216594696045,8.710473775863647,,,
1984-01-26,,,9.392777442932127,9.135806274414062,9.000674629211426,8.765855598449708,,,
1984-01-27,,,9.592155456542969,9.255431365966796,9.08928565979004,8.830098724365234,8.655091400146484,,
1984-01-30,,,9.215558052062988,9.299736976623535,9.144667816162109,8.875511980056762,8.669712409973144,,
1984-01-31,,,9.237703323364258,9.330750465393066,9.193403720855713,8.926463079452514,8.68211778640747,,
1984-02-01,,,9.193403244018556,9.32631950378418,9.208910274505616,8.964122867584228,8.693637161254882,,
1984-02-02,,,9.082635879516602,9.264291191101075,9.200048732757569,8.988490581512451,8.702941188812256,,
1984-02-03,,,9.060487747192385,9.157957649230957,9.206694507598877,9.001782035827636,8.710916213989258,,
1984-02-06,,,8.905420303344727,9.095930099487305,9.19783353805542,9.010643196105956,8.716675930023193,,
1984-02-07,,,8.794658660888672,9.007321166992188,9.169035816192627,9.021720027923584,8.720663471221924,,
1984-02-08,,,8.550971984863281,8.878834915161132,9.102577209472656,9.018396902084351,8.718891201019288,,
1984-02-09,,,8.48450756072998,8.759209251403808,9.011750221252441,9.006212425231933,8.715346622467042,,
1984-02-10,,,8.639585494995117,8.675028800964355,8.916493225097657,9.002889442443848,8.715346622467042,,
1984-02-13,,,8.61743450164795,8.617431640625,8.856680870056152,9.00067434310913,8.715346622467042,,
1984-02-14,,,8.661736488342285,8.590847206115722,8.799084186553955,8.996243953704834,8.71446044921875,,
1984-02-15,,,8.72819709777832,8.62629222869873,8.752563571929931,8.980736923217773,8.714017505645751,,
1984-02-16,,,8.750344276428223,8.679459571838379,8.719334411621094,8.959691572189332,8.715346698760987,,
1984-02-17,,,8.528817176818848,8.657305908203124,8.66616735458374,8.936430931091309,8.712245349884034,,
