Date,GRADE,GPS,PARA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-12-05,,,17.329479217529297,,,,,,
2005-12-06,,,16.71938133239746,,,,,,
2005-12-07,,,16.583087921142578,,,,,,
2005-12-08,,,16.479228973388672,,,,,,
2005-12-09,,,16.6350040435791,16.74923629760742,,,,,
2005-12-12,,,17.030920028686523,16.689524459838868,,,,,
2005-12-13,,,16.875150680541992,16.720678329467773,,,,,
2005-12-14,,,16.680431365966797,16.740147018432616,,,,,
2005-12-15,,,16.433794021606445,16.731060028076172,,,,,
2005-12-16,,,16.420827865600586,16.68822479248047,16.718730545043947,,,,
2005-12-19,,,16.414335250854492,16.564907836914063,16.627216148376466,,,,
2005-12-20,,,16.27154541015625,16.444186782836915,16.582432556152344,,,,
2005-12-21,,,16.388370513916016,16.385774612426758,16.562960815429687,,,,
2005-12-22,,,16.297502517700195,16.35851631164551,16.54478816986084,,,,
2005-12-23,,,16.550630569458008,16.38447685241699,16.536350822448732,,,,
2005-12-26,,,16.550630569458008,16.411735916137694,16.48832187652588,,,,
2005-12-27,,,16.64798355102539,16.487023544311523,16.465605163574217,,,,
2005-12-28,,,16.25855255126953,16.461059951782225,16.42341728210449,,,,
2005-12-29,,,16.226112365722656,16.44678192138672,16.402649116516113,,,,
2005-12-30,,,16.550630569458008,16.44678192138672,16.415629386901855,16.5671799659729,,,
2006-01-02,,,16.550630569458008,16.44678192138672,16.42925891876221,16.528237533569335,,,
2006-01-03,,,17.004962921142578,16.518177795410157,16.50260066986084,16.54251661300659,,,
2006-01-04,,,16.875150680541992,16.64149742126465,16.55127868652344,16.55711975097656,,,
2006-01-05,,,17.108808517456055,16.81803665161133,16.632409286499023,16.58859872817993,,,
2006-01-06,,,17.67346954345703,17.042604446411133,16.744693183898924,16.640522003173828,,,
2006-01-09,,,17.543663024902344,17.2412109375,16.843996429443358,16.66615915298462,,,
2006-01-10,,,17.23862075805664,17.287942504882814,16.903060150146484,16.684332656860352,,,
2006-01-11,,,16.99198341369629,17.31130905151367,16.97640323638916,16.699910259246828,,,
2006-01-12,,,16.868654251098633,17.263278198242187,17.040657424926756,16.721653270721436,,,
2006-01-13,,,16.53764533996582,17.036113357543947,17.03935890197754,16.727494144439696,,,
2006-01-16,,,16.53764533996582,16.83490982055664,17.03806037902832,16.733659648895262,,,
2006-01-17,,,16.26504898071289,16.640195465087892,16.964068984985353,16.733334827423096,,,
2006-01-18,,,16.660966873168945,16.57399215698242,16.942650604248048,16.74696464538574,,,
2006-01-19,,,16.5960636138916,16.519474029541016,16.891376113891603,16.76189270019531,,,
2006-01-20,,,16.21312713623047,16.454570388793947,16.745341873168947,16.745017528533936,,,
