Date,GRADE,GPS,AAPL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.0739923492074012,,,,,,
1983-11-22,,,0.0739923492074012,,,,,,
1983-11-23,,,0.0701208859682083,,,,,,
1983-11-24,,,0.0701208859682083,,,,,,
1983-11-25,,,0.0705510303378105,0.0717555001378059,,,,,
1983-11-28,,,0.0722717270255088,0.07141137570142742,,,,,
1983-11-29,,,0.071411408483982,0.0708951875567436,,,,,
1983-11-30,,,0.0701208859682083,0.07089518755674358,,,,,
1983-12-01,,,0.0696907490491867,0.07080916017293926,,,,,
1983-12-02,,,0.0684002488851547,0.0703790038824081,0.071067252010107,,,,
1983-12-05,,,0.0701208859682083,0.069948835670948,0.07068010568618771,,,,
1983-12-06,,,0.0705510303378105,0.0697767600417137,0.07033597379922864,,,,
1983-12-07,,,0.0722717270255088,0.07020692825317379,0.07055105790495868,,,,
1983-12-08,,,0.0739923492074012,0.07106724828481671,0.07093820422887798,,,,
1983-12-09,,,0.0744224786758422,0.0722716942429542,0.07132534906268115,,,,
1983-12-12,,,0.0739923492074012,0.07304598689079278,0.0714974112808704,,,,
1983-12-13,,,0.0774336084723472,0.07442250251770012,0.07209963127970691,,,,
1983-12-14,,,0.0804455503821373,0.07605726718902582,0.07313209772109981,,,,
1983-12-15,,,0.0838868170976638,0.07803616076707834,0.07455170452594752,,,,
1983-12-16,,,0.085177294909954,0.0801871240139007,0.07622940912842746,0.07364833056926723,,,
1983-12-19,,,0.0825963094830513,0.08190791606903072,0.07747695147991177,0.07407852858304972,,,
1983-12-20,,,0.0804455503821373,0.08251030445098874,0.07846640348434444,0.07440118864178655,,,
1983-12-21,,,0.0834566429257392,0.08311252295970913,0.07958489507436747,0.07506797648966308,,,
1983-12-22,,,0.085177294909954,0.08337061852216716,0.08070338964462274,0.07582079693675037,,,
1983-12-23,,,0.0847471132874488,0.08328458219766613,0.08173585310578342,0.07653060108423229,,,
1983-12-26,,,0.0847471132874488,0.08371474295854561,0.08281132951378817,0.07715437039732928,,,
1983-12-27,,,0.085177294909954,0.08466109186410896,0.08358569815754885,0.07784266471862789,,,
1983-12-28,,,0.086037628352642,0.08517728894948952,0.08414490595459932,0.07863850183784957,,,
1983-12-29,,,0.0838868170976638,0.08491919338703148,0.08414490595459932,0.07934830524027342,,,
1983-12-30,,,0.0838868170976638,0.08474713414907448,0.08401585817337029,0.08012263365089888,,,
1984-01-02,,,0.0838868170976638,0.08457507491111747,0.08414490893483154,0.08081093020737165,,,
1984-01-03,,,0.0881884396076202,0.08517730385065073,0.08491919785737984,0.08169280067086213,,,
1984-01-04,,,0.0959321185946464,0.0871562018990516,0.08616674542427057,0.08287582024931901,,,
1984-01-05,,,0.0972225815057754,0.08982335478067391,0.0873712740838527,0.08403733186423773,,,
1984-01-06,,,0.0955019518733024,0.09214638173580164,0.08844675794243806,0.08509130552411073,,,
1984-01-09,,,0.0903399884700775,0.09343701601028438,0.08900604546070093,0.08590868748724455,,,
1984-01-10,,,0.0950717628002166,0.09481368064880366,0.0899954922497272,0.08679059520363802,,,
1984-01-11,,,0.0963622629642486,0.09489970952272411,0.09102795571088784,0.08758643083274358,,,
1984-01-12,,,0.0959321185946464,0.0946416169404983,0.0922324858605861,0.08818869590759272,,,
1984-01-13,,,0.0937812626361846,0.09429747909307475,0.09322193041443819,0.08861889429390424,,,
1984-01-16,,,0.0959321185946464,0.09541590511798852,0.09442646056413645,0.08928568474948399,,,
1984-01-17,,,0.098513051867485,0.09610416293144221,0.09545892179012293,0.09018905982375139,,,
1984-01-18,,,0.0989432111382484,0.09662035256624216,0.09576003104448313,0.09096338823437686,,,
1984-01-19,,,0.099803552031517,0.09739463925361629,0.09601812809705729,0.091694701090455,,,
1984-01-20,,,0.098513051867485,0.09834099709987636,0.09631923809647555,0.09238299801945679,,,
1984-01-23,,,0.0993733778595924,0.09902924895286555,0.09722257703542705,0.09311431124806399,,,
1984-01-24,,,0.0937812626361846,0.09808289110660548,0.09709352701902384,0.09354450963437552,,,
1984-01-25,,,0.0929209515452385,0.0968784391880035,0.09674939587712283,0.09388867579400534,,,
1984-01-26,,,0.0950717628002166,0.09593208134174341,0.09666336029767984,0.094447923079133,,,
1984-01-27,,,0.089909054338932,0.09421128183603282,0.09627613946795459,0.09474903494119638,0.0841621178388595,,
1984-01-30,,,0.085177294909954,0.09137206524610514,0.09520065709948536,0.09481355883181089,0.08438581675291056,,
1984-01-31,,,0.085177294909954,0.08965127170085901,0.09386708140373226,0.0946630015969276,0.08460951566696162,,
1984-02-01,,,0.0847471132874488,0.08801650404930109,0.09244747161865229,0.0941037513315677,0.08490204021334642,,
1984-02-02,,,0.0856074467301368,0.08612364083528512,0.09102786108851427,0.09352299459278578,0.08521177142858499,,
1984-02-03,,,0.0843169912695884,0.0850052282214164,0.0896082550287246,0.09296374656260008,0.08548709064722056,,
1984-02-06,,,0.0800154134631156,0.08397285193204872,0.08767245858907693,0.09244751781225198,0.0856419643759727,,
1984-02-07,,,0.0830264911055564,0.0835426911711692,0.0865969814360141,0.09184525422751898,0.08587426602840416,,
1984-02-08,,,0.0800154134631156,0.08259635120630256,0.08530642762780181,0.09102791175246232,0.0860721565783023,,
1984-02-09,,,0.0813058167695999,0.08173602521419518,0.08392983302474015,0.09029659666121,0.08630445793271058,,
1984-02-10,,,0.0838868170976638,0.08164999037981026,0.08332760930061332,0.08980187438428397,0.08661418929696076,,
1984-02-13,,,0.0834566429257392,0.08233823627233498,0.08315554410219185,0.08917810060083861,0.08688090443611138,,
