Date,GRADE,GPS,CRWD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-06-12,,,58.0,,,,,,
2019-06-13,,,67.55999755859375,,,,,,
2019-06-14,,,64.16000366210938,,,,,,
2019-06-17,,,70.01000213623047,,,,,,
2019-06-18,,,76.5,67.24600067138672,,,,,
2019-06-19,,,77.22000122070312,71.09000091552734,,,,,
2019-06-20,,,74.8499984741211,72.54800109863281,,,,,
2019-06-21,,,72.2300033569336,74.16200103759766,,,,,
2019-06-24,,,67.97000122070312,73.75400085449219,,,,,
2019-06-25,,,61.52000045776367,70.75800094604492,69.00200080871582,,,,
2019-06-26,,,62.650001525878906,67.84400100708008,69.46700096130371,,,,
2019-06-27,,,63.27999877929688,65.53000106811524,69.03900108337402,,,,
2019-06-28,,,68.29000091552734,64.74200057983398,69.45200080871582,,,,
2019-07-01,,,63.20000076293945,63.78800048828125,68.77100067138672,,,,
2019-07-02,,,64.5199966430664,64.3879997253418,67.57300033569337,,,,
2019-07-03,,,67.23999786376953,65.30599899291992,66.575,,,,
2019-07-04,,,67.23999786376953,66.09799880981446,65.81399993896484,,,,
2019-07-05,,,67.20999908447266,65.88199844360352,65.31199951171875,,,,
2019-07-08,,,66.91000366210938,66.6239990234375,65.20599975585938,,,,
2019-07-09,,,68.44999694824219,67.40999908447266,65.89899940490723,67.45050010681152,,,
2019-07-10,,,74.33999633789062,68.82999877929687,67.0679988861084,68.26749992370605,,,
2019-07-11,,,70.87999725341797,69.55799865722656,67.8279987335205,68.43349990844726,,,
2019-07-12,,,73.5,70.81599884033203,68.34899864196777,68.9004997253418,,,
2019-07-15,,,71.5999984741211,71.75399780273438,69.18899841308594,68.97999954223633,,,
2019-07-16,,,69.54000091552734,71.97199859619141,69.69099884033203,68.63199958801269,,,
2019-07-17,,,71.0,71.30399932861329,70.06699905395507,68.32099952697754,,,
2019-07-18,,,72.75,71.6779998779297,70.61799926757813,68.21599960327148,,,
2019-07-19,,,83.5199966430664,73.68199920654297,72.2489990234375,68.78049926757812,,,
2019-07-22,,,87.68000030517578,76.8979995727539,74.32599868774415,69.76599922180176,,,
2019-07-23,,,86.73999786376953,80.33799896240234,76.15499877929688,71.02699909210205,,,
2019-07-24,,,87.45999908447266,83.62999877929687,77.46699905395508,72.26749897003174,,,
2019-07-25,,,92.27999877929688,87.53599853515625,79.60699920654297,73.71749897003174,,,
2019-07-26,,,92.87999725341795,89.40799865722656,81.54499893188476,74.94699878692627,,,
2019-07-29,,,87.2300033569336,89.31799926757813,83.10799942016601,76.14849891662598,,,
2019-07-30,,,94.0,90.76999969482422,85.55399932861329,77.62249908447265,,,
2019-07-31,,,89.06999969482422,91.09199981689453,87.3609992980957,78.7139991760254,,,
2019-08-01,,,91.52999877929688,90.94199981689454,89.23899917602539,79.92849922180176,,,
2019-08-02,,,88.01000213623047,89.96800079345704,89.6879997253418,80.96849937438965,,,
2019-08-05,,,85.4800033569336,89.61800079345703,89.46800003051757,81.89699935913086,,,
2019-08-06,,,85.23999786376953,87.86600036621094,89.31800003051758,82.73649940490722,,,
2019-08-07,,,84.22000122070312,86.89600067138672,88.99400024414062,83.23049964904786,,,
2019-08-08,,,91.6500015258789,86.92000122070313,88.93100051879883,84.2689998626709,,,
2019-08-09,,,94.9000015258789,88.29800109863281,89.13300094604492,85.33899993896485,,,
2019-08-12,,,93.01000213623048,89.80400085449219,89.71100082397462,86.40950012207031,,,
2019-08-13,,,99.6500015258789,92.68600158691406,90.2760009765625,87.9150001525879,,,
2019-08-14,,,94.0199966430664,94.64600067138672,90.77100067138672,89.06599998474121,,,
2019-08-15,,,93.66000366210938,95.04800109863281,90.98400115966797,90.11150016784669,,,
2019-08-16,,,96.0500030517578,95.27800140380859,91.7880012512207,90.73800048828124,,,
2019-08-19,,,99.38999938964844,96.55400085449219,93.17900085449219,91.32350044250488,,,
2019-08-20,,,99.16000366210938,96.45600128173828,94.57100143432618,91.94450073242187,78.98900009155274,,
2019-08-21,,,96.58000183105467,96.96800231933594,95.80700149536133,92.40050086975097,79.76060012817383,,
2019-08-22,,,92.97000122070312,96.83000183105469,95.93900146484376,92.43500099182128,80.26880020141601,,
2019-08-23,,,88.43000030517578,95.30600128173828,95.29200134277343,92.21250114440917,80.75420013427734,,
2019-08-26,,,88.87999725341797,93.2040008544922,94.87900085449219,92.2950008392334,81.1316000366211,,
2019-08-27,,,84.08000183105469,90.18800048828125,93.32200088500977,91.79900093078614,81.28320007324218,,
2019-08-28,,,86.98999786376953,88.26999969482422,92.61900100708007,91.6950008392334,81.47860000610352,,
2019-08-29,,,83.81999969482422,86.43999938964843,91.63500061035157,91.30950088500977,81.65800003051758,,
2019-08-30,,,81.27999877929688,85.00999908447265,90.15800018310547,90.97300071716309,81.83899993896485,,
2019-09-02,,,81.27999877929688,83.48999938964843,88.34700012207031,90.76300048828125,82.10519989013672,,
2019-09-03,,,83.76000213623047,83.42599945068359,86.80699996948242,90.68900070190429,82.54999992370605,,
2019-09-04,,,85.30999755859375,83.08999938964844,85.67999954223633,90.74350051879883,83.00319984436035,,
2019-09-05,,,86.8499984741211,83.69599914550781,85.06799926757813,90.50350036621094,83.47459983825684,,
2019-09-06,,,75.9800033569336,82.63600006103516,83.8229995727539,89.55750045776367,83.62839988708497,,
2019-09-09,,,67.0999984741211,79.8,81.64499969482422,88.2620002746582,83.7063998413086,,
2019-09-10,,,71.6500015258789,77.37799987792968,80.40199966430664,86.8620002746582,83.84899993896484,,
