Date,GRADE,GPS,FDX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,9.626846313476562,,,,,,
1983-11-22,,,9.601106643676758,,,,,,
1983-11-23,,,9.832764625549316,,,,,,
1983-11-24,,,9.832764625549316,,,,,,
1983-11-25,,,9.935730934143066,9.765842628479003,,,,,
1983-11-28,,,9.575368881225586,9.755547142028808,,,,,
1983-11-29,,,9.652586936950684,9.765843200683594,,,,,
1983-11-30,,,9.240744590759276,9.647439193725585,,,,,
1983-12-01,,,9.343708038330078,9.549627876281738,,,,,
1983-12-02,,,9.13778305053711,9.390038299560548,9.577940464019775,,,,
1983-12-05,,,9.060562133789062,9.287076950073242,9.521312046051026,,,,
1983-12-06,,,9.189263343811035,9.194412231445312,9.480127716064453,,,,
1983-12-07,,,9.395187377929688,9.225300788879395,9.43636999130249,,,,
1983-12-08,,,9.266484260559082,9.209856033325195,9.379741954803468,,,,
1983-12-09,,,9.29222297668457,9.240744018554688,9.315391159057617,,,,
1983-12-12,,,9.67833137512207,9.364297866821289,9.325687408447266,,,,
1983-12-13,,,9.575368881225586,9.441518974304199,9.317965602874756,,,,
1983-12-14,,,9.626846313476562,9.487850761413574,9.356575775146485,,,,
1983-12-15,,,9.523884773254396,9.539330863952637,9.374593448638915,,,,
1983-12-16,,,9.523884773254396,9.585663223266602,9.413203620910645,9.49557204246521,,,
1983-12-19,,,9.575368881225586,9.565070724487304,9.464684295654298,9.492998170852662,,,
1983-12-20,,,9.626846313476562,9.5753662109375,9.508442592620849,9.494285154342652,,,
1983-12-21,,,9.781291007995604,9.606255149841308,9.547052955627441,9.491711473464965,,,
1983-12-22,,,9.729808807373049,9.647439956665039,9.593385410308837,9.486563682556152,,,
1983-12-23,,,9.472406387329102,9.63714427947998,9.611403751373292,9.463397455215453,,,
1983-12-26,,,9.472406387329102,9.616551780700684,9.590811252593994,9.45824933052063,,,
1983-12-27,,,9.42092514038086,9.575367546081543,9.575366878509522,9.446666240692139,,,
1983-12-28,,,9.472406387329102,9.513590621948243,9.559922885894775,9.45824933052063,,,
1983-12-29,,,9.472406387329102,9.462110137939453,9.554775047302247,9.464684247970581,,,
1983-12-30,,,9.523884773254396,9.472405815124512,9.554775047302247,9.483989334106445,,,
1984-01-02,,,9.523884773254396,9.482701492309571,9.549626636505128,9.507155466079713,,,
1984-01-03,,,9.317965507507324,9.462109565734865,9.518738555908204,9.513590574264526,,,
1984-01-04,,,9.29222297668457,9.426072883605958,9.4698317527771,9.50844235420227,,,
1984-01-05,,,9.523884773254396,9.436368560791017,9.449239349365234,9.521312379837036,,,
1984-01-06,,,9.575368881225586,9.446665382385254,9.459535598754883,9.535469675064087,,,
1984-01-09,,,9.601106643676758,9.462109756469726,9.472405624389648,9.531608438491821,,,
1984-01-10,,,9.575368881225586,9.513590431213379,9.487849998474122,9.531608438491821,,,
1984-01-11,,,9.369444847106934,9.52903480529785,9.477553844451904,9.51873836517334,,,
1984-01-12,,,9.266484260559082,9.47755470275879,9.456961631774902,9.505868339538575,,,
1984-01-13,,,9.13778305053711,9.390037536621094,9.418351459503175,9.48656325340271,,,
1984-01-16,,,9.266484260559082,9.323113059997558,9.392611408233643,9.471119022369384,,,
1984-01-17,,,9.29222297668457,9.266483879089355,9.390037155151367,9.454387855529784,,,
1984-01-18,,,9.29222297668457,9.251039505004883,9.390037155151367,9.429934453964233,,,
1984-01-19,,,9.240744590759276,9.245891571044922,9.361723136901855,9.405481243133545,,,
1984-01-20,,,9.163521766662598,9.25103931427002,9.320538425445557,9.390037012100219,,,
1984-01-23,,,8.85464096069336,9.168670654296875,9.245891857147218,9.359148740768433,,,
1984-01-24,,,9.009084701538086,9.112042999267578,9.189263439178466,9.338556718826293,,,
1984-01-25,,,8.828901290893555,9.019378662109375,9.135209083557129,9.306381464004517,,,
1984-01-26,,,8.777420043945312,8.926713752746583,9.086302661895752,9.271632146835326,,,
1984-01-27,,,8.72593879699707,8.839197158813477,9.045118236541748,9.23173484802246,9.401877765655518,,
1984-01-30,,,8.108174324035645,8.689903831481933,8.929287242889405,9.160949325561523,9.371504325866699,,
1984-01-31,,,8.030952453613281,8.494277381896973,8.803160190582275,9.096598672866822,9.34010124206543,,
1984-02-01,,,7.902252674102783,8.308947658538818,8.664163160324097,9.027100157737731,9.3014910030365,,
1984-02-02,,,8.08243179321289,8.169950008392334,8.548331880569458,8.955027508735657,9.26648434638977,,
