Date,GRADE,GPS,INVH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2017-07-26,,,17.9996280670166,18.18105125427246,18.14661407470703,18.106297969818115,18.071356925964356,18.065530223846437,
2017-07-27,,,17.8652400970459,18.117216491699217,18.128135871887206,18.105038356781005,18.064973449707033,18.066276149749754,
2017-07-28,,,17.915632247924805,18.048342132568358,18.110497093200685,18.092439365386962,18.057414054870605,18.066185932159424,
2017-07-31,,,17.907238006591797,17.972749710083008,18.084459686279295,18.077320766448974,18.05153461456299,18.06617919921875,
2017-08-01,,,18.033218383789062,17.94419136047363,18.08361949920654,18.06850118637085,18.050022583007813,18.068521213531493,
2017-08-02,,,17.80644416809082,17.905554580688477,18.043302917480467,18.047923183441164,18.04263126373291,18.066333923339844,
2017-08-03,,,17.705646514892578,17.873635864257814,17.995426177978516,18.039103507995605,18.040615310668944,18.063473720550537,
2017-08-04,,,17.772850036621094,17.84507942199707,17.946710777282714,18.026924514770506,18.03994342803955,18.06028045654297,
2017-08-07,,,17.73084831237793,17.809801483154295,17.89127559661865,18.013485527038576,18.038431510925292,18.05716966629028,
2017-08-08,,,17.49567222595215,17.702292251586915,17.823241806030275,17.987447643280028,18.029528274536133,18.05296356201172,
2017-08-09,,,17.63006019592285,17.66701545715332,17.7862850189209,17.966449546813966,18.020625076293946,18.049179973602296,
2017-08-10,,,18.31880187988281,17.789646530151366,17.831641197204586,17.9798885345459,18.02280891418457,18.05236753463745,
2017-08-11,,,18.47897148132324,17.930870819091798,17.887975120544432,17.99923610687256,18.023996543884277,18.056402950286866,
2017-08-14,,,19.389434814453125,18.262588119506837,18.036194801330566,18.06032724380493,18.04927291870117,18.069961833953858,
2017-08-15,,,19.338850021362305,18.631223678588867,18.16675796508789,18.125188732147215,18.074545516967774,18.08209348678589,
2017-08-16,,,19.684490203857425,19.04210968017578,18.35456256866455,18.19893274307251,18.11042667388916,18.09726276397705,
2017-08-17,,,19.83623313903809,19.345595932006837,18.5676212310791,18.28152370452881,18.15135845184326,18.113446865081787,
2017-08-18,,,19.659198760986328,19.581641387939452,18.756256103515625,18.35148344039917,18.185053939819337,18.1271905708313,
2017-08-21,,,19.6423397064209,19.632222366333007,18.94740524291992,18.419340419769288,18.217572135925295,18.14244087219238,
2017-08-22,,,19.51588249206543,19.667628860473634,19.14942626953125,18.48633403778076,18.248233184814453,18.157180423736573,
2017-08-23,,,19.549604415893555,19.64065170288086,19.34138069152832,18.56383285522461,18.27805690765381,18.17192216873169,
2017-08-24,,,19.30512809753418,19.534430694580077,19.440013313293456,18.635827255249023,18.30366298675537,18.183214015960694,
2017-08-25,,,19.29669761657715,19.46193046569824,19.521785926818847,18.70488052368164,18.332964096069336,18.195175399780272,
2017-08-28,,,19.25455093383789,19.38437271118164,19.508297538757326,18.772246170043946,18.35503879547119,18.206464061737062,
2017-08-29,,,19.102813720703125,19.30175895690918,19.484693908691405,18.825725936889647,18.378110427856445,18.21698913574219,
2017-08-30,,,19.389434814453125,19.269725036621093,19.455188369750978,18.904875469207763,18.408258323669433,18.230380420684813,
2017-08-31,,,19.50745391845703,19.310190200805664,19.422310447692873,18.994965839385987,18.438246879577637,18.247129726409913,
