Date,GRADE,GPS,GNRC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2010-02-11,,,8.460628509521484,,,,,,
2010-02-12,,,8.836216926574707,,,,,,
2010-02-15,,,8.836216926574707,,,,,,
2010-02-16,,,8.7769136428833,,,,,,
2010-02-17,,,8.763734817504883,8.734742164611816,,,,,
2010-02-18,,,8.585824966430664,8.759781455993652,,,,,
2010-02-19,,,8.717610359191895,8.73606014251709,,,,,
2010-02-22,,,8.625360488891602,8.693888854980468,,,,,
2010-02-23,,,8.612181663513184,8.660942459106446,,,,,
2010-02-24,,,8.599003791809082,8.627996253967286,8.681369209289551,,,,
2010-02-25,,,8.697842597961426,8.650399780273437,8.705090618133545,,,,
2010-02-26,,,8.849395751953125,8.676756858825684,8.706408500671387,,,,
2010-03-01,,,8.730789184570312,8.697842597961426,8.695865726470947,,,,
2010-03-02,,,8.717610359191895,8.718928337097168,8.689935398101806,,,,
2010-03-03,,,8.658307075500488,8.73078899383545,8.679392623901368,,,,
2010-03-04,,,8.730789184570312,8.737378311157226,8.693889045715332,,,,
2010-03-05,,,8.631950378417969,8.693889236450195,8.68532304763794,,,,
2010-03-08,,,8.882341384887695,8.724199676513672,8.711021137237548,,,,
2010-03-09,,,8.948234558105469,8.770324516296387,8.744626426696778,,,,
2010-03-10,,,9.06025218963623,8.850713539123536,8.790751266479493,8.736060237884521,,,
2010-03-11,,,9.218395233154297,8.948234748840331,8.842806529998779,8.773948574066162,,,
2010-03-12,,,9.323823928833008,9.08660945892334,8.890249347686767,8.798328924179078,,,
2010-03-15,,,9.877323150634766,9.285605812072754,9.004902744293213,8.85038423538208,,,
2010-03-16,,,10.101358413696287,9.516230583190918,9.143277549743653,8.91660647392273,,,
2010-03-17,,,10.147482872009276,9.733676719665528,9.292195129394532,8.98579387664795,,,
2010-03-18,,,10.140893936157228,9.918176460266114,9.433205604553223,9.063547325134277,,,
2010-03-19,,,10.147482872009276,10.082908248901367,9.584758853912353,9.135040950775146,,,
2010-03-22,,,9.95639419555664,10.098722457885742,9.692164134979247,9.201592636108398,,,
2010-03-23,,,9.98275089263916,10.075000953674316,9.795615768432617,9.270121097564697,,,
2010-03-24,,,10.002519607543944,10.04600830078125,9.889842510223389,9.34029688835144,,,
2010-03-25,,,9.897090911865234,9.99724769592285,9.957712078094483,9.400259304046632,,,
2010-03-26,,,9.7191801071167,9.911587142944336,9.997247695922852,9.44374852180481,,,
2010-03-29,,,9.501733779907228,9.820655059814452,9.959688758850097,9.482295751571655,,,
2010-03-30,,,9.31723403930664,9.687551689147949,9.881276321411132,9.512276935577393,,,
2010-03-31,,,9.231574058532717,9.533362579345704,9.789685440063476,9.540940284729004,,,
2010-04-01,,,9.422662734985352,9.438476943969729,9.717862319946288,9.575533962249756,,,
2010-04-02,,,9.422662734985352,9.379173469543458,9.645380306243897,9.615069580078124,,,
2010-04-05,,,9.488554954528809,9.376537704467774,9.598596382141114,9.64538025856018,,,
2010-04-06,,,9.745537757873535,9.462198448181152,9.57487506866455,9.685245418548584,,,
2010-04-07,,,9.818018913269045,9.579487419128418,9.556424999237061,9.723133754730224,,,
2010-04-08,,,10.13430404663086,9.72181568145752,9.580146312713623,9.768929195404052,,,
2010-04-09,,,10.088179588317873,9.854919052124023,9.61704626083374,9.807146978378295,,,
2010-04-12,,,10.042054176330566,9.965618896484376,9.671078300476074,9.815383529663086,,,
2010-04-13,,,10.028876304626465,10.02228660583496,9.742242527008056,9.811759424209594,,,
2010-04-14,,,10.035465240478516,10.065775871276855,9.822631645202637,9.806158542633057,,,
2010-04-15,,,10.08159065246582,10.055233192443847,9.888524436950684,9.803193378448487,,,
2010-04-16,,,10.075000762939451,10.052597427368164,9.953758239746094,9.799569272994995,,,
2010-04-19,,,10.048644065856934,10.053915405273438,10.009767150878906,9.804181766510009,,,
2010-04-20,,,10.00910758972168,10.04996166229248,10.036124134063721,9.805499601364136,,,
2010-04-21,,,10.088179588317873,10.060504531860351,10.063140201568604,9.809782600402832,9.39630563735962,,
2010-04-22,,,10.147482872009276,10.073682975769042,10.064458084106445,9.822302198410034,9.430042724609375,,
2010-04-23,,,10.114537239074709,10.081590270996093,10.067093849182129,9.842070055007934,9.455609130859376,,
2010-04-26,,,10.035465240478516,10.07895450592041,10.066434955596923,9.868756628036499,9.47959409713745,,
2010-04-27,,,10.022286415100098,10.081590270996093,10.065775966644287,9.904009246826172,9.504501552581788,,
