Date,GRADE,GPS,MTCH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-01-19,,,0.2964401543140411,,,,,,
1993-01-20,,,0.2964401543140411,,,,,,
1993-01-21,,,0.2964401543140411,,,,,,
1993-01-22,,,0.3293777108192444,,,,,,
1993-01-25,,,0.3129094243049621,0.3063215196132659,,,,,
1993-01-26,,,0.3293777108192444,0.3129090309143066,,,,,
1993-01-27,,,0.3787845969200134,0.3293779194355011,,,,,
1993-01-28,,,0.3623153269290924,0.3425529539585114,,,,,
1993-01-29,,,0.3458469808101654,0.34584680795669553,,,,,
1993-02-01,,,0.3376123607158661,0.35078739523887636,0.32855445742607114,,,,
1993-02-02,,,0.3540816307067871,0.3557281792163849,0.3343186050653458,,,,
1993-02-03,,,0.3376123607158661,0.34749373197555544,0.33843582570552827,,,,
1993-02-04,,,0.3540816307067871,0.34584699273109437,0.34419997334480285,,,,
1993-02-05,,,0.3623153269290924,0.34914066195487975,0.34749373495578767,,,,
1993-02-08,,,0.4034875333309173,0.36231569647789,0.3565515458583831,,,,
1993-02-09,,,0.3540816307067871,0.36231569647789,0.35902193784713743,,,,
1993-02-10,,,0.3623153269290924,0.36725628972053526,0.35737501084804535,,,,
1993-02-11,,,0.3540816307067871,0.36725628972053526,0.35655164122581484,,,,
1993-02-12,,,0.395253837108612,0.37384399175643923,0.36149232685565946,,,,
1993-02-15,,,0.395253837108612,0.3721972525119781,0.3672564744949341,0.34790546596050265,,,
1993-02-16,,,0.395253837108612,0.3804316937923431,0.3713736951351166,0.3528461501002312,,,
1993-02-17,,,0.4281914532184601,0.3936069190502166,0.380431604385376,0.35943371504545213,,,
1993-02-18,,,0.4281914532184601,0.40842888355255125,0.38784258663654325,0.3660212799906731,,,
1993-02-19,,,0.4281914532184601,0.4150164067745209,0.39443019926548006,0.37096196711063384,,,
1993-02-22,,,0.4034875333309173,0.4166631460189819,0.39443019926548006,0.3754908725619316,,,
1993-02-23,,,0.4281914532184601,0.42325066924095156,0.40184118151664733,0.38043155968189235,,,
1993-02-24,,,0.4281914532184601,0.42325066924095156,0.4084287941455841,0.38290190249681466,,,
1993-02-25,,,0.4611290097236633,0.4298381805419922,0.4191335320472717,0.38784258663654325,,,
1993-02-26,,,0.440543383359909,0.432308566570282,0.4236624866724014,0.3925774067640304,,,
1993-03-01,,,0.4446607232093811,0.44054320454597473,0.4286031752824783,0.39792982488870615,,,
1993-03-02,,,0.4446607232093811,0.44383705854415895,0.4335438638925552,0.4024587795138359,,,
1993-03-03,,,0.4034875333309173,0.43889627456665037,0.43107347190380096,0.40575253814458845,,,
1993-03-04,,,0.4034875333309173,0.4273679792881011,0.4286030799150467,0.408222833275795,,,
1993-03-05,,,0.395253837108612,0.4183100700378418,0.4253093183040619,0.40986975878477094,,,
1993-03-08,,,0.3787845969200134,0.40513484477996825,0.4228390246629715,0.4086346119642258,,,
1993-03-09,,,0.3870192170143127,0.39360654354095453,0.41872180104255674,0.41028149127960206,,,
1993-03-10,,,0.3458469808101654,0.38207843303680417,0.4104873538017273,0.4094580739736557,,,
1993-03-11,,,0.3458469808101654,0.37055032253265374,0.3989591509103775,0.4090463414788246,,,
1993-03-12,,,0.3458469808101654,0.3606689512729645,0.3894895106554031,0.40657599866390226,,,
1993-03-15,,,0.3540816307067871,0.3557283580303192,0.3804316014051437,0.404517388343811,,,
1993-03-16,,,0.3540816307067871,0.3491408407688141,0.3713736921548843,0.40245877802371977,,,
1993-03-17,,,0.3293777108192444,0.34584698677062986,0.36396270990371704,0.39751809090375895,,,
1993-03-18,,,0.3293777108192444,0.3425531327724457,0.3565517276525497,0.39257740378379824,,,
1993-03-19,,,0.3129094243049621,0.335965621471405,0.34831728637218473,0.38681330233812333,,,
1993-03-22,,,0.3129094243049621,0.32773118019104003,0.34172976911067965,0.3822843968868256,,,
1993-03-23,,,0.3129094243049621,0.31949673891067504,0.33431878983974456,0.3765202954411507,,,
1993-03-24,,,0.2964401543140411,0.31290922760963436,0.32937810719013216,0.36993273049592973,,,
1993-03-25,,,0.3129094243049621,0.3096155703067779,0.3260843515396118,0.36252175122499464,,,
1993-03-26,,,0.2799708843231201,0.3030278623104095,0.31949674189090727,0.3544931262731552,,,
1993-03-29,,,0.2882055044174194,0.29808707833290093,0.31290912926197045,0.3466703653335571,0.3635509675741196,,
1993-03-30,,,0.2635025680065155,0.2882057070732117,0.30385122299194334,0.33761245757341385,0.36289221584796905,,
