Date,GRADE,GPS,CE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-01-21,,,12.044471740722656,,,,,,
2005-01-24,,,12.044471740722656,,,,,,
2005-01-25,,,11.780993461608888,,,,,,
2005-01-26,,,11.735831260681152,,,,,,
2005-01-27,,,11.878853797912598,11.89692440032959,,,,,
2005-01-28,,,12.044471740722656,11.89692440032959,,,,,
2005-01-31,,,12.142329216003418,11.916495895385742,,,,,
2005-02-01,,,12.195025444030762,11.999302291870118,,,,,
2005-02-02,,,12.195025444030762,12.09114112854004,,,,,
2005-02-03,,,12.052000045776367,12.125770378112794,12.011347389221191,,,,
2005-02-04,,,12.074578285217283,12.131791687011718,12.014358043670654,,,,
2005-02-07,,,11.856270790100098,12.074580001831055,11.995537948608398,,,,
2005-02-08,,,11.893913269042969,12.014357566833496,12.006829929351806,,,,
2005-02-09,,,11.886384963989258,11.952629470825196,12.021885299682618,,,,
2005-02-10,,,11.72829818725586,11.887889099121093,12.006829738616943,,,,
2005-02-11,,,11.720769882202148,11.817127418518066,11.974459552764893,,,,
2005-02-14,,,11.743358612060549,11.794544982910157,11.934562492370606,,,,
2005-02-15,,,11.999302864074709,11.815622901916504,11.914990234375,,,,
2005-02-16,,,12.119744300842283,11.862294769287109,11.907462120056152,,,,
2005-02-17,,,12.420857429504396,12.000806617736817,11.944347858428955,11.977847623825074,,,
2005-02-18,,,12.601519584655762,12.17695655822754,11.997041988372803,12.005700016021729,,,
2005-02-21,,,12.601519584655762,12.348588752746583,12.07156686782837,12.033552408218384,,,
2005-02-22,,,12.383221626281738,12.425372505187989,12.120497703552246,12.063663816452026,,,
2005-02-23,,,12.496136665344238,12.500650978088379,12.181472873687744,12.10167908668518,,,
2005-02-24,,,12.609053611755373,12.538290214538575,12.269548416137695,12.13818907737732,,,
2005-02-25,,,13.000497817993164,12.618085861206055,12.397521209716796,12.185990381240845,,,
2005-02-28,,,12.57141399383545,12.612064743041993,12.480326747894287,12.207444620132446,,,
2005-03-01,,,12.164911270141602,12.568402671813965,12.496887588500977,12.205938911437988,,,
2005-03-02,,,12.315468788146973,12.532269096374511,12.516460037231445,12.2119610786438,,,
2005-03-03,,,12.232661247253418,12.456990623474121,12.497640419006348,12.220994138717652,,,
2005-03-04,,,12.428384780883787,12.342568016052246,12.480326938629151,12.238684463500977,,,
2005-03-07,,,12.864996910095217,12.4012845993042,12.506674671173096,12.289120769500732,,,
2005-03-08,,,12.985443115234377,12.565390968322754,12.56689682006836,12.343697261810302,,,
2005-03-09,,,13.512392044067385,12.804775619506836,12.668522357940676,12.42499761581421,,,
2005-03-10,,,13.47474765777588,13.053192901611329,12.755091762542726,12.51232008934021,,,
2005-03-11,,,13.550024032592772,13.277520751953125,12.810044384002685,12.603782796859742,,,
2005-03-14,,,13.43710994720459,13.391943359375,12.8966139793396,12.688470363616943,,,
2005-03-15,,,13.286550521850586,13.452164840698241,13.008777904510499,12.752832746505737,,,
2005-03-16,,,13.03813648223877,13.35731372833252,13.081044673919678,12.798752355575562,,,
2005-03-17,,,13.09083366394043,13.28053092956543,13.16686191558838,12.832251167297363,,,
2005-03-18,,,12.992969512939451,13.169120025634765,13.223320388793946,12.851823663711547,,,
2005-03-21,,,12.759604454040527,13.033618927001953,13.212781143188476,12.859727907180787,,,
2005-03-22,,,12.789722442626951,12.934253311157226,13.193209075927735,12.880052947998047,,,
2005-03-23,,,12.721967697143556,12.871019554138183,13.114166641235352,12.891344499588012,,,
2005-03-24,,,13.617780685424805,12.976408958435059,13.128469944000244,12.941780853271485,,,
2005-03-25,,,13.617780685424805,13.10137119293213,13.135245609283448,12.972644996643066,,,
2005-03-28,,,13.422057151794434,13.23386173248291,13.133740329742432,13.015177154541016,,,
2005-03-29,,,13.105884552001951,13.29709415435791,13.115673732757568,13.062225818634033,,,
2005-03-30,,,13.324188232421877,13.417538261413574,13.14427890777588,13.112661790847778,,,
2005-03-31,,,13.542495727539062,13.402481269836425,13.189445114135742,13.17815351486206,12.561928539276122,,
2005-04-01,,,13.625306129455566,13.403986358642578,13.252678775787354,13.23799958229065,12.59354522705078,,
2005-04-04,,,13.09083366394043,13.337741661071778,13.285801696777344,13.24929141998291,12.614472465515137,,
2005-04-05,,,13.04566478729248,13.325697708129884,13.311395931243897,13.252302503585815,12.639765892028809,,
2005-04-06,,,12.985443115234377,13.257948684692384,13.337743473052978,13.225955057144166,12.664758129119873,,
2005-04-07,,,13.008026123046877,13.151054763793946,13.276768016815186,13.202618980407715,12.68734157562256,,
2005-04-08,,,12.812308311462402,12.988455200195313,13.196220779418946,13.165733194351196,12.702698307037354,,
2005-04-11,,,12.857470512390137,12.941782569885254,13.139762115478515,13.136751222610474,12.717001132965088,,
