Date,GRADE,GPS,CZR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2014-09-22,,,4.349999904632568,,,,,,
2014-09-23,,,4.260000228881836,,,,,,
2014-09-24,,,4.340000152587891,,,,,,
2014-09-25,,,4.0,,,,,,
2014-09-26,,,4.400000095367432,4.270000076293945,,,,,
2014-09-29,,,4.230000019073486,4.246000099182129,,,,,
2014-09-30,,,4.210000038146973,4.236000061035156,,,,,
2014-10-01,,,4.099999904632568,4.188000011444092,,,,,
2014-10-02,,,4.269999980926514,4.242000007629395,,,,,
2014-10-03,,,4.150000095367432,4.192000007629394,4.23100004196167,,,,
2014-10-06,,,4.130000114440918,4.1720000267028805,4.209000062942505,,,,
2014-10-07,,,4.0,4.130000019073487,4.1830000400543215,,,,
2014-10-08,,,4.25,4.160000038146973,4.174000024795532,,,,
2014-10-09,,,4.099999904632568,4.126000022888183,4.184000015258789,,,,
2014-10-10,,,4.0,4.096000003814697,4.144000005722046,,,,
2014-10-13,,,3.984999895095825,4.0669999599456785,4.11949999332428,,,,
2014-10-14,,,4.0,4.0669999599456785,4.098499989509582,,,,
2014-10-15,,,4.0,4.016999959945679,4.088499999046325,,,,
2014-10-16,,,3.9600000381469727,3.9889999866485595,4.057500004768372,,,,
2014-10-17,,,4.0,3.9889999866485595,4.042499995231628,4.136750018596649,,,
2014-10-20,,,4.045000076293945,4.001000022888183,4.033999991416931,4.121500027179718,,,
2014-10-21,,,4.010000228881836,4.003000068664551,4.035000014305115,4.109000027179718,,,
2014-10-22,,,4.059999942779541,4.015000057220459,4.0160000085830685,4.0950000166893,,,
2014-10-23,,,4.039999961853027,4.03100004196167,4.010000014305115,4.097000014781952,,,
2014-10-24,,,4.099999904632568,4.051000022888184,4.020000004768372,4.082000005245209,,,
2014-10-27,,,4.150000095367432,4.072000026702881,4.036500024795532,4.078000009059906,,,
2014-10-28,,,4.150000095367432,4.1,4.051500034332276,4.075000011920929,,,
2014-10-29,,,4.039999961853027,4.096000003814697,4.055500030517578,4.072000014781952,,,
2014-10-30,,,4.070000171661377,4.102000045776367,4.066500043869018,4.062000024318695,,,
2014-10-31,,,4.119999885559082,4.10600004196167,4.078500032424927,4.060500013828277,,,
2014-11-03,,,4.239999771118164,4.123999977111817,4.098000001907349,4.06599999666214,,,
2014-11-04,,,4.199999809265137,4.133999919891357,4.116999959945678,4.075999987125397,,,
2014-11-05,,,4.269999980926514,4.179999923706054,4.137999963760376,4.076999986171723,,,
2014-11-06,,,4.239999771118164,4.213999843597412,4.15799994468689,4.083999979496002,,,
2014-11-07,,,4.239999771118164,4.237999820709229,4.171999931335449,4.095999968051911,,,
2014-11-10,,,4.199999809265137,4.229999828338623,4.176999902725219,4.106749963760376,,,
2014-11-11,,,4.199999809265137,4.229999828338623,4.18199987411499,4.116749954223633,,,
2014-11-12,,,4.269999980926514,4.229999828338623,4.204999876022339,4.130249953269958,,,
2014-11-13,,,4.309999942779541,4.243999862670899,4.228999853134155,4.147749948501587,,,
2014-11-14,,,4.320000171661377,4.259999942779541,4.248999881744385,4.163749957084656,,,
2014-11-17,,,4.260000228881836,4.272000026702881,4.250999927520752,4.17449996471405,,,
2014-11-18,,,4.25,4.2820000648498535,4.255999946594239,4.1864999532699585,,,
2014-11-19,,,4.199999809265137,4.2680000305175785,4.2489999294281,4.193499946594239,,,
