Date,GRADE,GPS,ISRG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-06-16,,,2.027777910232544,,,,,,
2000-06-19,,,2.0,,,,,,
2000-06-20,,,2.0833330154418945,,,,,,
2000-06-21,,,2.444443941116333,,,,,,
2000-06-22,,,2.194443941116333,2.149999761581421,,,,,
2000-06-23,,,2.305556058883667,2.2055553913116457,,,,,
2000-06-26,,,2.222222089767456,2.2499998092651365,,,,,
2000-06-27,,,2.1111109256744385,2.2555553913116455,,,,,
2000-06-28,,,2.138889074325561,2.194444417953491,,,,,
2000-06-29,,,2.0,2.1555556297302245,2.1527776956558227,,,,
2000-06-30,,,2.097222089767456,2.1138888359069825,2.159722113609314,,,,
2000-07-03,,,2.138889074325561,2.0972222328186034,2.17361102104187,,,,
2000-07-04,,,2.138889074325561,2.1027778625488276,2.179166626930237,,,,
2000-07-05,,,2.222222089767456,2.1194444656372067,2.156944441795349,,,,
2000-07-06,,,2.166666984558105,2.152777862548828,2.154166746139526,,,,
2000-07-07,,,2.277777910232544,2.1888890266418453,2.151388931274414,,,,
2000-07-10,,,2.791666984558105,2.3194446086883547,2.208333420753479,,,,
2000-07-11,,,2.8333330154418945,2.458333396911621,2.280555629730224,,,,
2000-07-12,,,3.3333330154418945,2.680555582046509,2.4000000238418577,,,,
2000-07-13,,,3.722222089767456,2.9916666030883787,2.572222232818603,2.3624999642372133,,,
2000-07-14,,,3.444443941116333,3.2249998092651366,2.706944417953491,2.4333332657814024,,,
2000-07-17,,,3.472222089767456,3.3611108303070067,2.8402777194976805,2.5069443702697756,,,
2000-07-18,,,3.222222089767456,3.4388886451721192,2.9486110210418697,2.5638888239860536,,,
2000-07-19,,,3.1111109256744385,3.394444227218628,3.037499904632568,2.5972221732139587,,,
2000-07-20,,,3.527777910232544,3.3555553913116456,3.1736109972000124,2.6638888716697693,,,
2000-07-21,,,3.805556058883667,3.427777814865112,3.3263888120651246,2.7388888716697695,,,
2000-07-24,,,3.722222089767456,3.4777778148651124,3.4194443225860596,2.813888871669769,,,
2000-07-25,,,3.5833330154418945,3.55,3.4944443225860597,2.887499976158142,,,
2000-07-26,,,3.8611109256744394,3.7,3.547222113609314,2.973611068725586,,,
2000-07-27,,,3.805556058883667,3.7555556297302246,3.555555510520935,3.063888871669769,,,
2000-07-28,,,3.6111109256744394,3.716666603088379,3.5722222089767457,3.1395833134651183,,,
2000-07-31,,,4.194444179534912,3.81111102104187,3.6444444179534914,3.242361068725586,,,
2000-08-01,,,3.875,3.869444417953491,3.7097222089767454,3.3291666150093078,,,
2000-08-02,,,3.7916669845581055,3.8555556297302247,3.777777814865112,3.4076388597488405,,,
2000-08-03,,,3.902777910232544,3.875,3.8152778148651123,3.4944444060325623,,,
2000-08-04,,,3.7916669845581055,3.9111112117767335,3.813888907432556,3.57013885974884,,,
2000-08-07,,,3.555556058883667,3.783333587646484,3.797222304344177,3.6083333134651183,,,
2000-08-08,,,3.5,3.7083335876464845,3.788889002799988,3.641666662693024,,,
2000-08-09,,,3.263889074325561,3.6027780055999754,3.7291668176651003,3.638194465637207,,,
2000-08-10,,,3.277777910232544,3.4777780055999754,3.6763890027999877,3.6159722566604615,,,
2000-08-11,,,3.1111109256744385,3.3416667938232423,3.626389002799988,3.599305605888367,,,
2000-08-14,,,3.1111109256744385,3.2527777671813967,3.5180556774139404,3.581250047683716,,,
2000-08-15,,,2.805556058883667,3.11388897895813,3.411111283302307,3.560416746139526,,,
2000-08-16,,,3.041666984558105,3.0694445610046386,3.336111283302307,3.5569445490837097,,,
2000-08-17,,,3.222222089767456,3.058333396911621,3.2680557012557983,3.5416667580604555,,,
2000-08-18,,,3.1111109256744385,3.058333396911621,3.2000000953674315,3.506944501399994,,,
2000-08-21,,,3.013889074325561,3.0388890266418453,3.145833396911621,3.4715278506278993,,,
2000-08-22,,,2.944443941116333,3.0666666030883785,3.0902777910232544,3.439583396911621,,,
2000-08-23,,,2.902777910232544,3.0388887882232667,3.0541666746139526,3.3916667461395265,,,
2000-08-24,,,2.8611109256744385,2.966666555404663,3.012499976158142,3.344444489479065,2.993888883590698,,
2000-08-25,,,3.3611109256744385,3.016666555404663,3.0374999761581423,3.331944489479065,3.020555543899536,,
2000-08-28,,,3.194443941116333,3.0527775287628174,3.0458332777023314,3.281944477558136,3.0444444227218628,,
2000-08-29,,,3.194443941116333,3.102777528762817,3.084722065925598,3.2479166746139527,3.0666666412353516,,
2000-08-30,,,3.3333330154418945,3.1888885498046875,3.113888669013977,3.2249999761581423,3.084444422721863,,
2000-08-31,,,3.222222089767456,3.261110782623291,3.113888669013977,3.190972185134888,3.104999985694885,,
2000-09-01,,,3.0833330154418945,3.2055552005767822,3.111110877990723,3.155555486679077,3.1205555248260497,,
2000-09-04,,,3.0833330154418945,3.1833330154418946,3.118055272102356,3.1319443345069886,3.1377777433395386,,
2000-09-05,,,3.097222089767456,3.1638886451721193,3.1333330869674683,3.1118054389953613,3.157499966621399,,
2000-09-06,,,3.055556058883667,3.1083332538604735,3.1486109018325807,3.1013887882232667,3.175833306312561,,
2000-09-07,,,3.0833330154418945,3.0805554389953613,3.170833110809326,3.091666543483734,3.197499966621399,,
2000-09-08,,,3.1111109256744385,3.0861110210418703,3.1458331108093263,3.091666543483734,3.2177777433395387,,
