Date,GRADE,GPS,ABBV,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-01-02,,,21.629180908203125,,,,,,
2013-01-03,,,21.450578689575195,,,,,,
2013-01-04,,,21.179595947265625,,,,,,
2013-01-07,,,21.222705841064453,,,,,,
2013-01-08,,,20.760805130004883,21.248573303222656,,,,,
2013-01-09,,,20.877824783325195,21.09830207824707,,,,,
2013-01-10,,,20.93941116333008,20.99606857299805,,,,,
2013-01-11,,,21.09520530700684,20.97919044494629,,,,,
2013-01-14,,,21.244773864746094,20.98360404968262,,,,,
2013-01-15,,,21.562604904174805,21.1439640045166,21.19626865386963,,,,
2013-01-16,,,22.148408889770508,21.398080825805664,21.24819145202637,,,,
2013-01-17,,,22.696821212768555,21.74956283569336,21.372815704345705,,,,
2013-01-18,,,23.257692337036133,22.18206024169922,21.580625343322755,,,,
2013-01-21,,,23.257692337036133,22.584643936157228,21.784123992919923,,,,
2013-01-22,,,22.696821212768555,22.811487197875977,21.97772560119629,,,,
2013-01-23,,,23.556835174560547,23.093172454833983,22.245626640319824,,,,
2013-01-24,,,23.344947814941406,23.222797775268553,22.486180305480957,,,,
2013-01-25,,,23.43219947814941,23.25769920349121,22.719879722595216,,,,
2013-01-28,,,22.989730834960938,23.204106903076173,22.8943754196167,,,,
2013-01-29,,,23.251466751098636,23.315036010742187,23.063261604309083,22.129765129089357,,,
2013-01-30,,,23.0146541595459,23.20659980773926,23.14988613128662,22.199038791656495,,,
2013-01-31,,,22.86508560180664,23.110627365112304,23.16671257019043,22.269764137268066,,,
2013-02-01,,,23.17045021057129,23.05827751159668,23.157988357543946,22.36930685043335,,,
2013-02-04,,,23.23277473449707,23.106886291503905,23.15549659729004,22.46981029510498,,,
2013-02-05,,,23.18292617797852,23.093178176879885,23.204107093811036,22.59091634750366,,,
2013-02-06,,,23.14552116394043,23.11935157775879,23.162975692749022,22.704301166534425,,,
2013-02-07,,,22.696821212768555,23.085698699951173,23.098163032531737,22.792171669006347,,,
2013-02-08,,,22.590879440307617,22.969784545898438,23.01403102874756,22.866955375671388,,,
2013-02-11,,,22.341602325439453,22.791550064086913,22.94921817779541,22.921796798706055,,,
2013-02-12,,,22.07362365722656,22.569689559936524,22.831433868408205,22.947347736358644,,,
2013-02-13,,,21.98014640808105,22.336614608764645,22.72798309326172,22.93893461227417,,,
2013-02-14,,,22.79030036926269,22.355310440063473,22.720504570007325,22.943608570098878,,,
2013-02-15,,,23.41972923278809,22.52108039855957,22.745432472229005,22.951710414886474,,,
2013-02-18,,,23.41972923278809,22.736705780029297,22.764127922058105,22.959812259674074,,,
2013-02-19,,,23.79987525939941,23.081956100463863,22.825822830200195,23.014964962005614,,,
2013-02-20,,,24.06163215637207,23.49825325012207,22.91743392944336,23.040204811096192,,,
2013-02-21,,,24.167570114135746,23.77370719909668,23.064508819580077,23.081335926055907,,,
2013-02-22,,,23.968149185180664,23.883391189575196,23.202235794067384,23.108133411407472,,,
2013-02-25,,,23.28886604309082,23.857218551635743,23.296962165832518,23.123090171813963,,,
2013-02-26,,,23.114370346069336,23.720117568969727,23.4010368347168,23.1162353515625,,,
2013-02-27,,,22.890005111694336,23.48579216003418,23.492022705078124,23.11000289916992,,,
2013-02-28,,,23.0084228515625,23.25396270751953,23.513834953308105,23.117169761657713,,,
2013-03-01,,,23.563066482543945,23.172946166992187,23.52816867828369,23.13680057525635,,,
2013-03-04,,,23.831043243408203,23.281381607055664,23.5693000793457,23.166714000701905,,,
2013-03-05,,,23.376110076904297,23.333729553222657,23.52692356109619,23.176373195648193,,,
2013-03-06,,,23.51944351196289,23.45961723327637,23.472704696655274,23.195069313049316,,,
2013-03-07,,,23.363643646240234,23.530661392211915,23.392312049865723,23.2284104347229,,,
2013-03-08,,,23.270166397094727,23.47208137512207,23.322513771057128,23.262374782562254,,,
2013-03-11,,,23.475818634033203,23.40103645324707,23.34120903015137,23.319085597991943,,,
2013-03-12,,,23.16421890258789,23.358658218383788,23.346193885803224,23.37361536026001,22.767638969421387,,
2013-03-13,,,23.16421890258789,23.287613296508788,23.373615264892578,23.432818984985353,22.79833972930908,,
2013-03-14,,,23.407270431518555,23.296338653564455,23.413500022888183,23.463667488098146,22.83747356414795,,
2013-03-15,,,23.993072509765625,23.440919876098633,23.456500625610353,23.492334651947022,22.893743095397948,,
