Date,GRADE,GPS,KEYS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2014-10-20,,,28.25,,,,,,
2014-10-21,,,28.309999465942383,,,,,,
2014-10-22,,,28.75,,,,,,
2014-10-23,,,29.25,,,,,,
2014-10-24,,,29.75,28.861999893188475,,,,,
2014-10-27,,,30.100000381469727,29.231999969482423,,,,,
2014-10-28,,,30.649999618530277,29.7,,,,,
2014-10-29,,,30.0,29.95,,,,,
2014-10-30,,,30.25,30.15,,,,,
2014-10-31,,,31.5,30.5,29.680999946594238,,,,
2014-11-03,,,30.61000061035156,30.602000045776368,29.917000007629394,,,,
2014-11-04,,,30.15999984741211,30.504000091552733,30.102000045776368,,,,
2014-11-05,,,30.18000030517578,30.54000015258789,30.245000076293945,,,,
2014-11-06,,,30.049999237060547,30.5,30.325,,,,
2014-11-07,,,29.76000022888184,30.15200004577637,30.326000022888184,,,,
2014-11-10,,,29.780000686645508,29.986000061035156,30.29400005340576,,,,
2014-11-11,,,30.040000915527344,29.9620002746582,30.233000183105467,,,,
2014-11-12,,,30.82999992370605,30.092000198364257,30.316000175476074,,,,
2014-11-13,,,30.40999984741211,30.16400032043457,30.332000160217284,,,,
2014-11-14,,,30.700000762939453,30.352000427246093,30.25200023651123,29.966500091552735,,,
2014-11-17,,,31.049999237060547,30.6060001373291,30.29600009918213,30.10650005340576,,,
2014-11-18,,,31.0,30.797999954223634,30.380000114440918,30.24100008010864,,,
2014-11-19,,,30.96999931335449,30.82599983215332,30.459000015258788,30.352000045776368,,,
2014-11-20,,,31.40999984741211,31.02599983215332,30.595000076293946,30.460000038146973,,,
2014-11-21,,,32.29999923706055,31.34599952697754,30.848999977111816,30.5875,,,
2014-11-24,,,33.0,31.73599967956543,31.170999908447264,30.732499980926512,,,
2014-11-25,,,32.849998474121094,32.10599937438965,31.45199966430664,30.842499923706054,,,
2014-11-26,,,34.20000076293945,32.75199966430664,31.78899974822998,31.052499961853027,,,
2014-11-27,,,34.20000076293945,33.30999984741211,32.167999839782716,31.25,,,
2014-11-28,,,35.20000076293945,33.89000015258789,32.61799983978271,31.435000038146974,,,
2014-12-01,,,34.900001525878906,34.27000045776367,33.00300006866455,31.64950008392334,,,
2014-12-02,,,34.779998779296875,34.65600051879883,33.38099994659424,31.880500030517577,,,
2014-12-03,,,34.310001373291016,34.67800064086914,33.71500015258789,32.08700008392334,,,
2014-12-04,,,34.13999938964844,34.66600036621094,33.988000106811526,32.291500091552734,,,
2014-12-05,,,34.099998474121094,34.44599990844726,34.168000030517575,32.508500003814696,,,
2014-12-08,,,34.189998626708984,34.30399932861328,34.28699989318848,32.72899990081787,,,
2014-12-09,,,33.75,34.097999572753906,34.37700004577637,32.914499855041505,,,
2014-12-10,,,33.470001220703125,33.92999954223633,34.30400009155274,33.04649991989136,,,
2014-12-11,,,33.4900016784668,33.8,34.23300018310547,33.20050001144409,,,
2014-12-12,,,32.86000061035156,33.55200042724609,33.99900016784668,33.3085000038147,,,
2014-12-15,,,32.880001068115234,33.290000915527344,33.797000122070315,33.40000009536743,,,
2014-12-16,,,32.88999938964844,33.11800079345703,33.60800018310547,33.49450006484985,,,
2014-12-17,,,33.83000183105469,33.19000091552734,33.56000022888183,33.63750019073486,,,
2014-12-18,,,34.11000061035156,33.3140007019043,33.55700035095215,33.77250022888184,,,
2014-12-19,,,33.97999954223633,33.53800048828125,33.54500045776367,33.856500244140626,,,
2014-12-22,,,33.939998626708984,33.75,33.52000045776367,33.903500175476076,,,
2014-12-23,,,33.630001068115234,33.89800033569336,33.5080005645752,33.942500305175784,,,
2014-12-24,,,33.79999923706055,33.89199981689453,33.54100036621094,33.92250022888184,,,
