Date,GRADE,GPS,TFC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.9270386099815368,,,,,,
1983-11-22,,,0.9270386099815368,,,,,,
1983-11-23,,,0.9347639679908752,,,,,,
1983-11-24,,,0.9347639679908752,,,,,,
1983-11-25,,,0.9579395055770874,0.9363089323043823,,,,,
1983-11-28,,,0.9579395055770874,0.9424891114234925,,,,,
1983-11-29,,,0.9733906388282776,0.9517595171928406,,,,,
1983-11-30,,,0.9888413548469543,0.9625749945640564,,,,,
1983-12-01,,,1.0120173692703247,0.9780256748199463,,,,,
1983-12-02,,,1.0120173692703247,0.9888412475585937,0.962575089931488,,,,
1983-12-05,,,1.0120173692703247,0.9996568202972412,0.9710729658603668,,,,
1983-12-06,,,1.0120173692703247,1.0073821663856506,0.9795708417892456,,,,
1983-12-07,,,1.004291534423828,1.0104722023010253,0.9865235984325409,,,,
1983-12-08,,,0.9965661764144896,1.0073819637298582,0.9927038192749024,,,,
1983-12-09,,,0.9965661764144896,1.0042917251586911,0.9965664863586425,,,,
1983-12-12,,,0.9965661764144896,1.0012014865875243,1.0004291534423828,,,,
1983-12-13,,,0.9965661764144896,0.9981112480163572,1.0027467072010041,,,,
1983-12-14,,,0.9965661764144896,0.9965661764144896,1.0035191893577573,,,,
1983-12-15,,,0.9965661764144896,0.9965661764144896,1.001974070072174,,,,
1983-12-16,,,0.9965661764144896,0.9965661764144896,1.0004289507865904,0.9815020203590393,,,
1983-12-19,,,0.9965661764144896,0.9965661764144896,0.9988838315010069,0.9849783986806869,,,
1983-12-20,,,0.9965661764144896,0.9965661764144896,0.9973387122154234,0.9884547770023346,,,
1983-12-21,,,1.004291534423828,0.9981112480163572,0.9973387122154234,0.9919311553239822,,,
1983-12-22,,,1.004291534423828,0.9996563196182249,0.9981112480163572,0.9954075336456297,,,
1983-12-23,,,1.004291534423828,1.0012013912200923,0.998883783817291,0.9977251350879668,,,
1983-12-26,,,1.004291534423828,1.00274646282196,0.9996563196182249,1.0000427365303037,,,
1983-12-27,,,1.004291534423828,1.004291534423828,1.000428855419159,1.0015877813100813,,,
1983-12-28,,,1.004291534423828,1.004291534423828,1.0012013912200926,1.002360290288925,,,
1983-12-29,,,1.004291534423828,1.004291534423828,1.0019739270210264,1.0019739985466,,,
1983-12-30,,,1.0120173692703247,1.005836701393127,1.00351904630661,1.0019739985466,,,
1984-01-02,,,1.0120173692703247,1.0073818683624267,1.0050641655921935,1.0019739985466,,,
1984-01-03,,,1.0120173692703247,1.0089270353317261,1.006609284877777,1.0019739985466,,,
1984-01-04,,,1.0120173692703247,1.0104722023010253,1.0073818683624265,1.002360290288925,,,
1984-01-05,,,1.0120173692703247,1.0120173692703247,1.0081544518470762,1.0031328499317167,,,
1984-01-06,,,1.0120173692703247,1.0120173692703247,1.008927035331726,1.0039054095745086,,,
1984-01-09,,,1.0120173692703247,1.0120173692703247,1.0096996188163756,1.0046779692173002,,,
1984-01-10,,,1.0120173692703247,1.0120173692703247,1.0104722023010253,1.005450528860092,,,
1984-01-11,,,1.0197422504425049,1.0135623455047607,1.012017273902893,1.0066093325614927,,,
1984-01-12,,,1.0197422504425049,1.0151073217391968,1.0135623455047607,1.0077681362628934,,,
1984-01-13,,,1.0197422504425049,1.0166522979736328,1.0143348336219788,1.0089269399642942,,,
1984-01-16,,,1.0197422504425049,1.018197274208069,1.0151073217391968,1.010085743665695,,,
1984-01-17,,,1.0197422504425049,1.0197422504425049,1.0158798098564148,1.0112445473670957,,,
1984-01-18,,,1.0274673700332642,1.0212872743606567,1.0174248099327088,1.0124033391475677,,,
1984-01-19,,,1.0274673700332642,1.0228322982788085,1.0189698100090028,1.0135621309280396,,,
1984-01-20,,,1.0274673700332642,1.0243773221969605,1.0205148100852965,1.0147209227085114,,,
1984-01-23,,,1.0274673700332642,1.0259223461151123,1.0220598101615905,1.015879714488983,,,
1984-01-24,,,1.0351930856704712,1.0290125131607055,1.0243773818016053,1.0174247920513153,,,
1984-01-25,,,1.0351930856704712,1.0305576562881469,1.025922465324402,1.0189698696136475,,,
1984-01-26,,,1.042918682098389,1.0336479187011718,1.0282401084899901,1.0209012269973754,,,
1984-01-27,,,1.042918682098389,1.0367381811141967,1.0305577516555786,1.0224462926387787,1.0022831344604493,,
1984-01-30,,,1.042918682098389,1.0398284435272216,1.032875394821167,1.0239913582801818,1.0046007359027862,,
1984-01-31,,,1.042918682098389,1.0413735628128051,1.0351930379867555,1.0255364239215852,1.0069183373451234,,
1984-02-01,,,1.042918682098389,1.042918682098389,1.036738169193268,1.0270814895629883,1.0090814316272736,,
1984-02-02,,,1.042918682098389,1.042918682098389,1.0382833003997805,1.0286265552043914,1.0112445259094238,,
1984-02-03,,,1.042918682098389,1.042918682098389,1.039828431606293,1.030171620845795,1.01294410943985,,
1984-02-06,,,1.042918682098389,1.042918682098389,1.0413735628128054,1.031716686487198,1.0146436929702758,,
1984-02-07,,,1.042918682098389,1.042918682098389,1.042146122455597,1.0332617521286012,1.0160342538356781,,
1984-02-08,,,1.042918682098389,1.042918682098389,1.042918682098389,1.0344205737113954,1.0171158003807068,,
1984-02-09,,,1.042918682098389,1.042918682098389,1.042918682098389,1.0355793952941896,1.017733826637268,,
1984-02-10,,,1.042918682098389,1.042918682098389,1.042918682098389,1.0367382168769839,1.0183518528938293,,
1984-02-13,,,1.042918682098389,1.042918682098389,1.042918682098389,1.037897038459778,1.0189698791503907,,
1984-02-14,,,1.042918682098389,1.042918682098389,1.042918682098389,1.039055860042572,1.0195879054069519,,
