Date,GRADE,GPS,ICE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-11-16,,,6.81622838973999,,,,,,
2005-11-17,,,6.121580600738525,,,,,,
2005-11-18,,,6.078165054321289,,,,,,
2005-11-21,,,6.234460830688477,,,,,,
2005-11-22,,,6.069480895996094,6.263983154296875,,,,,
2005-11-23,,,5.895818710327148,6.079901218414307,,,,,
2005-11-24,,,5.895818710327148,6.034748840332031,,,,,
2005-11-25,,,5.9305524826049805,6.00522632598877,,,,,
2005-11-28,,,5.782938957214356,5.9149219512939455,,,,,
2005-11-29,,,5.551970481872559,5.811419868469239,6.037701511383057,,,,
2005-11-30,,,5.609278678894043,5.754111862182617,5.917006540298462,,,,
2005-12-01,,,6.078165054321289,5.790581130981446,5.912664985656738,,,,
2005-12-02,,,6.269191741943359,5.858308982849121,5.9317676544189455,,,,
2005-12-05,,,6.392491340637207,5.980219459533691,5.947570705413819,,,,
2005-12-06,,,6.352550506591797,6.140335464477539,5.975877666473389,,,,
2005-12-07,,,6.156312465667725,6.249742221832276,6.001927042007447,,,,
2005-12-08,,,6.251827239990234,6.284474658966064,6.0375278949737545,,,,
2005-12-09,,,6.286558151245117,6.287947940826416,6.0731284618377686,,,,
2005-12-12,,,6.32997465133667,6.275444602966308,6.12783203125,,,,
2005-12-13,,,6.1806254386901855,6.241059589385986,6.190697526931762,6.11419951915741,,,
2005-12-14,,,6.078165054321289,6.225430107116699,6.237586164474488,6.077296352386474,,,
2005-12-15,,,5.904502868652344,6.1559652328491214,6.220219945907592,6.066442465782165,,,
2005-12-16,,,5.937499046325684,6.086153411865235,6.187050676345825,6.059409165382386,,,
2005-12-19,,,5.968758583068848,6.01391019821167,6.144677400588989,6.046124053001404,,,
2005-12-20,,,6.067745208740234,5.99133415222168,6.116196870803833,6.046037268638611,,,
2005-12-21,,,6.041697025299072,5.984040546417236,6.104735326766968,6.053331184387207,,,
2005-12-22,,,6.026066780090332,6.008353328704834,6.0821592807769775,6.059843587875366,,,
2005-12-23,,,5.947918891906738,6.010437297821045,6.048295354843139,6.060711908340454,,,
2005-12-26,,,5.947918891906738,6.006269359588623,6.010089778900147,6.068960905075073,,,
2005-12-27,,,6.121580600738525,6.017036437988281,6.00418529510498,6.097441411018371,,,
2005-12-28,,,6.092057228088379,6.027108478546142,6.005574512481689,6.121580338478088,,,
2005-12-29,,,6.276139259338379,6.077122974395752,6.042738151550293,6.131479048728943,,,
2005-12-30,,,6.312608242034912,6.150060844421387,6.080249071121216,6.13364987373352,,,
