Date,GRADE,GPS,PODD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-05-15,,,15.960000038146973,,,,,,
2007-05-16,,,15.449999809265137,,,,,,
2007-05-17,,,15.130000114440918,,,,,,
2007-05-18,,,15.18000030517578,,,,,,
2007-05-21,,,15.630000114440918,15.470000076293946,,,,,
2007-05-22,,,15.619999885559082,15.402000045776367,,,,,
2007-05-23,,,15.25,15.36200008392334,,,,,
2007-05-24,,,15.220000267028809,15.380000114440918,,,,,
2007-05-25,,,15.170000076293944,15.378000068664551,,,,,
2007-05-28,,,15.170000076293944,15.286000061035157,15.378000068664551,,,,
2007-05-29,,,15.270000457763672,15.216000175476074,15.30900011062622,,,,
2007-05-30,,,15.100000381469728,15.18600025177002,15.27400016784668,,,,
2007-05-31,,,14.81999969482422,15.1060001373291,15.24300012588501,,,,
2007-06-01,,,15.0,15.072000122070312,15.225000095367431,,,,
2007-06-04,,,15.0,15.038000106811523,15.16200008392334,,,,
2007-06-05,,,14.760000228881836,14.936000061035156,15.076000118255616,,,,
2007-06-06,,,14.279999732971191,14.771999931335449,14.979000091552734,,,,
2007-06-07,,,14.0,14.607999992370605,14.857000064849853,,,,
2007-06-08,,,14.100000381469728,14.42800006866455,14.750000095367431,,,,
2007-06-11,,,14.489999771118164,14.326000022888184,14.682000064849854,15.030000066757202,,,
2007-06-12,,,14.25,14.223999977111816,14.580000019073486,14.944500064849853,,,
2007-06-13,,,14.25,14.218000030517578,14.494999980926513,14.884500074386597,,,
2007-06-14,,,14.170000076293944,14.252000045776366,14.430000019073486,14.836500072479248,,,
2007-06-15,,,13.90999984741211,14.213999938964843,14.321000003814698,14.773000049591065,,,
2007-06-18,,,13.850000381469728,14.086000061035156,14.20600004196167,14.684000062942506,,,
2007-06-19,,,13.84000015258789,14.004000091552735,14.114000034332275,14.595000076293946,,,
2007-06-20,,,14.0600004196167,13.966000175476074,14.092000102996826,14.535500097274781,,,
2007-06-21,,,14.119999885559082,13.956000137329102,14.104000091552734,14.480500078201294,,,
2007-06-22,,,13.850000381469728,13.944000244140625,14.079000091552734,14.414500093460083,,,
2007-06-25,,,14.0600004196167,13.986000251770019,14.036000156402588,14.359000110626221,,,
2007-06-26,,,13.989999771118164,14.016000175476075,14.010000133514405,14.295000076293945,,,
2007-06-27,,,14.210000038146973,14.046000099182129,14.006000137329101,14.250500059127807,,,
2007-06-28,,,14.010000228881836,14.02400016784668,13.990000152587891,14.21000008583069,,,
2007-06-29,,,14.199999809265137,14.094000053405761,14.019000148773193,14.170000076293945,,,
2007-07-02,,,14.449999809265137,14.17199993133545,14.079000091552734,14.142500066757203,,,
2007-07-03,,,14.5,14.273999977111817,14.145000076293945,14.12950005531311,,,
2007-07-04,,,14.5,14.331999969482421,14.189000034332276,14.14050006866455,,,
2007-07-05,,,14.970000267028809,14.523999977111817,14.274000072479248,14.18900008201599,,,
2007-07-06,,,15.050000190734863,14.694000053405762,14.394000053405762,14.236500072479249,,,
2007-07-09,,,14.869999885559082,14.77800006866455,14.475,14.255500078201294,,,
2007-07-10,,,15.010000228881836,14.880000114440918,14.577000045776368,14.293500089645386,,,
2007-07-11,,,14.81999969482422,14.944000053405762,14.638000011444092,14.322000074386597,,,
2007-07-12,,,14.93000030517578,14.936000061035156,14.730000019073486,14.360000085830688,,,
2007-07-13,,,14.789999961853027,14.884000015258788,14.789000034332275,14.404000091552735,,,
2007-07-16,,,14.039999961853027,14.718000030517578,14.748000049591065,14.4135000705719,,,
2007-07-17,,,13.989999771118164,14.513999938964844,14.69700002670288,14.421000051498414,,,
2007-07-18,,,14.0,14.35,14.64700002670288,14.418000030517579,,,
