Date,GRADE,GPS,HWM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-04-26,42.12299753158962,A,20.40749931335449,20.403551483154295,20.191384506225585,19.983164691925047,19.049037628173828,18.623665199279785,19.759458904266356
2019-04-29,42.38991943123985,A,20.42723274230957,20.4864444732666,20.20618667602539,20.034479522705077,19.11120750427246,18.632301273345945,19.768739690780638
2019-04-30,42.70484494262441,A,21.19695854187012,20.644336318969728,20.285132598876952,20.11983976364136,19.17870624542236,18.646175575256347,19.779717617034912
2019-05-01,42.68859017325766,A,21.177217483520508,20.715386581420898,20.437103080749512,20.212601089477538,19.239297218322754,18.658672218322753,19.791428117752076
2019-05-02,43.1563475842155,A,21.641462326049805,20.970074081420897,20.62365608215332,20.314265537261964,19.31213348388672,18.678958778381347,19.795093669891358
2019-05-03,43.883924558062866,A,22.135334014892575,21.315641021728517,20.859596252441406,20.42878179550171,19.39405773162842,18.70615123748779,19.8010329914093
2019-05-06,44.64217408207494,A,22.11557960510254,21.65331039428711,21.069877433776856,20.534909057617188,19.47302112579346,18.738949394226072,19.809611778259278
2019-05-07,44.90208459684438,A,22.01680564880371,21.817279815673828,21.230808067321778,20.64892644882202,19.549811630249025,18.775185928344726,19.81363823890686
2019-05-08,45.21784069180675,A,22.11557960510254,22.004952239990235,21.360169410705566,20.763935089111328,19.62443298339844,18.82008220672607,19.819527711868286
2019-05-09,45.13091024377454,A,21.81925392150879,22.04051055908203,21.505292320251463,20.84981851577759,19.695890960693358,18.86555616378784,19.825308504104616
2019-05-10,44.89515665361441,A,22.20447158813477,22.05433807373047,21.684989547729494,20.938187026977538,19.770908584594725,18.920587139129637,19.832230825424194
2019-05-13,44.19911215005746,A,21.246362686157227,21.880494689941408,21.76690254211426,20.986544609069824,19.830908737182618,18.974299211502075,19.834607753753662
2019-05-14,43.845363106800875,A,21.59207344055176,21.795548248291016,21.80641403198242,21.045773315429688,19.89545467376709,19.031468391418457,19.83984100341797
2019-05-15,43.53322960734243,A,21.74023056030273,21.720478439331053,21.862715339660646,21.149909210205077,19.96296375274658,19.08323398590088,19.846011219024657
2019-05-16,43.45986880455126,A,21.8488826751709,21.726404190063477,21.883457374572753,21.253556728363037,20.038369483947754,19.13421724319458,19.853411178588868
2019-05-17,43.06033775288105,A,21.690847396850582,21.62367935180664,21.839008712768553,21.34930248260498,20.10725933074951,19.18627586364746,19.85982481956482
2019-05-20,43.285147548289366,A,21.74023056030273,21.722452926635743,21.801473808288574,21.435675621032715,20.170821228027343,19.237844715118406,19.868446741104126
2019-05-21,43.50262839953826,A,22.105697631835938,21.82517776489258,21.810363006591796,21.520585536956787,20.240508308410643,19.293068237304684,19.877523040771486
2019-05-22,43.452807699852855,A,22.0958194732666,21.89629554748535,21.808386993408202,21.584278202056886,20.308418846130373,19.331471977233885,19.88826615333557
2019-05-23,43.29237535547941,A,21.937780380249023,21.914075088500976,21.820239639282228,21.662765979766846,20.373168601989747,19.36957399368286,19.896453819274903
2019-05-24,43.300254421576604,A,21.97729110717773,21.971363830566403,21.797521591186523,21.74125556945801,20.437918930053712,19.40285810470581,19.903956441879274
2019-05-27,43.18337587693289,A,21.97729110717773,22.018775939941406,21.870614433288573,21.818758487701416,20.497932624816894,19.431716003417968,19.90988995552063
2019-05-28,42.713063533524,A,21.868637084960938,21.971363830566407,21.89827079772949,21.852342414855958,20.557944221496584,19.45889724731445,19.913514976501464
2019-05-29,42.34775949418532,A,21.75998878479004,21.904197692871094,21.900246620178223,21.881480979919434,20.61657241821289,19.484500160217284,19.917234172821043
2019-05-30,41.97951120963118,A,21.730358123779297,21.862713241577147,21.888394165039063,21.885925769805908,20.67223949432373,19.508921546936033,19.92178592681885
2019-05-31,41.550929443370165,A,21.63158416748047,21.793571853637694,21.882467842102052,21.860738277435303,20.73540470123291,19.53166669845581,19.92094036102295
2019-06-03,41.2406052722993,A,21.8488826751709,21.767890167236327,21.89333305358887,21.84740343093872,20.80528423309326,19.559633960723875,19.92201488494873
2019-06-04,41.35114848860935,A,22.273616790771484,21.84888610839844,21.91012496948242,21.86024398803711,20.879711151123047,19.584963436126706,19.92599763870239
2019-06-05,41.760171497072164,A,22.69834518432617,22.036557388305663,21.970377540588377,21.88938226699829,20.96026428222656,19.614245090484616,19.930780086517334
2019-06-06,42.419043296524585,A,22.99466896057129,22.28941955566406,22.076066398620604,21.948153018951416,21.042599296569826,19.645703124999997,19.937534513473512
2019-06-07,43.284232815597356,A,23.25148200988769,22.61339912414551,22.203485488891598,22.000503540039062,21.130465202331543,19.678155555725095,19.944052934646606
2019-06-10,43.8537781225079,A,23.00454330444336,22.84453125,22.306210708618163,22.08841257095337,21.20253734588623,19.70813859939575,19.94933666229248
2019-06-11,44.212538165866874,A,22.727975845336918,22.935403060913085,22.39214458465576,22.145207691192628,21.267301788330077,19.767322635650633,19.9546595287323
2019-06-12,44.020878867329486,A,22.382266998291016,22.872187423706055,22.45437240600586,22.17730951309204,21.32850730895996,19.813607177734372,19.957910623550415
2019-06-13,43.83637798719536,A,22.90577507019043,22.85440864562988,22.57191410064697,22.23015413284302,21.394459342956544,19.861684169769283,19.964956102371215
2019-06-14,43.38555849182003,A,22.69834518432617,22.743781280517577,22.67859020233154,22.280529022216797,21.451526069641112,19.90630983352661,19.970964431762695
2019-06-17,43.03170264433137,A,22.599571228027344,22.662786865234374,22.753659057617188,22.323496055603027,21.503656806945802,19.952701835632322,19.97613561630249
2019-06-18,43.04653678095556,A,23.241607666015625,22.765513229370118,22.8504581451416,22.380291557312013,21.573759803771974,20.004235572814938,19.983389205932617
2019-06-19,43.433430585754856,A,23.39964866638184,22.96898956298828,22.920588493347168,22.445483016967774,21.645444641113283,20.05420221328735,19.98912837982178
2019-06-20,43.73913718851494,A,23.854005813598636,23.158635711669923,23.006522178649902,22.541294288635253,21.72049304962158,20.107630443572997,19.99807099342346
2019-06-21,44.29748010479076,A,24.031801223754883,23.425326919555665,23.08455410003662,22.64401979446411,21.792387046813964,20.165984115600583,20.006970930099488
2019-06-24,44.92261438513572,A,24.00216293334961,23.705845260620116,23.184316062927245,22.745263385772706,21.866846084594727,20.2217791557312,20.015575561523438
2019-06-25,45.1680074734129,A,24.091064453125,23.87573661804199,23.320624923706056,22.856384754180908,21.940517387390138,20.277676353454588,20.023300771713256
2019-06-26,45.76628492037718,A,24.58493423461914,24.112793731689454,23.540891647338867,22.997632026672363,22.03906581878662,20.343331851959228,20.03432891845703
2019-06-27,46.419597419095574,A,25.07880210876465,24.357752990722656,23.758194351196288,23.16505422592163,22.14512321472168,20.419649581909177,20.048905181884766
2019-06-28,47.25257102521061,A,25.503538131713867,24.652100372314454,24.038713645935058,23.3586519241333,22.259675331115723,20.505938205718994,20.064232187271116
2019-07-01,48.224633552836785,A,25.76034927368164,25.00373764038086,24.35479145050049,23.55422525405884,22.374626960754394,20.590946350097656,20.08702154159546
2019-07-02,49.073696232132455,A,25.829490661621094,25.35142288208008,24.613579750061035,23.73201894760132,22.483066787719725,20.672402610778807,20.10790102958679
2019-07-03,49.217314048113394,A,25.55292510986328,25.545021057128906,24.82890739440918,23.874747943878173,22.5776859664917,20.751389293670655,20.130045537948607
2019-07-04,49.055559297544654,A,25.55292510986328,25.639845657348634,24.998799324035645,24.002660751342773,22.681383972167968,20.834323196411134,20.150326766967773
2019-07-05,48.62832371260026,A,25.780101776123047,25.695158386230467,25.173629379272462,24.12909173965454,22.78883602142334,20.918936824798585,20.171302528381347
2019-07-08,47.85108320658804,A,25.503538131713867,25.643796157836913,25.323766899108886,24.254041481018067,22.890362129211425,21.000784816741945,20.19025803565979
2019-07-09,47.1608679665396,A,25.52328872680664,25.582555770874023,25.46698932647705,24.393807125091552,22.976888732910155,21.077797489166258,20.209067115783693
2019-07-10,46.740109186275966,A,25.47390556335449,25.566751861572264,25.555886459350585,24.548389053344728,23.062822494506836,21.151059856414793,20.227187986373902
2019-07-11,46.2749926085969,A,25.40476417541504,25.537119674682618,25.588482666015626,24.67333850860596,23.13808853149414,21.22511100769043,20.245306415557863
2019-07-12,45.87191432747694,A,25.681331634521484,25.517365646362304,25.606262016296387,24.822487831115723,23.20900848388672,21.301533107757567,20.266621942520143
2019-07-15,45.49338364439598,A,25.503538131713867,25.517365646362304,25.58058090209961,24.96768617630005,23.276767654418947,21.374894390106203,20.27939914703369
2019-07-16,45.1431576138792,A,25.46402359008789,25.505512619018553,25.54403419494629,25.078806972503664,23.34571201324463,21.447761821746827,20.29472469329834
2019-07-17,44.61591671994709,P,24.989910125732425,25.40871353149414,25.487732696533204,25.158320045471193,23.403198623657225,21.513815803527834,20.313024406433104
2019-07-18,44.19898369312937,P,24.831871032714844,25.294134902954102,25.41562728881836,25.207213306427,23.463450965881346,21.579670963287352,20.3333779335022
2019-07-19,43.5850018228215,P,24.87137794494629,25.132144165039062,25.324754905700683,25.24919214248657,23.51678909301758,21.643848838806154,20.351771469116212
2019-07-22,43.26480332425742,P,24.821992874145508,24.99583511352539,25.256600379943848,25.29018363952637,23.588301696777343,21.70960521697998,20.37055552482605
2019-07-23,42.94198201438635,P,24.85162734985352,24.873355865478516,25.189434242248538,25.328211784362793,23.65349277496338,21.774473724365233,20.386006298065187
2019-07-24,43.12133812887683,P,25.33561897277832,24.942497634887694,25.175605583190922,25.365746021270752,23.725400543212892,21.844182147979737,20.40225891113281
2019-07-25,43.36137691679983,P,25.296113967895508,25.035346221923827,25.16474056243897,25.376611614227294,23.794345169067384,21.91635732650757,20.42071668624878
2019-07-26,43.7409454208615,A,25.42451858520508,25.145974349975585,25.139059257507327,25.372660636901855,23.869018592834472,21.988138961791993,20.44055202484131
2019-07-29,43.65947722082608,A,24.84174919128418,25.14992561340332,25.072880363464357,25.32673063278198,23.931048965454103,22.050935096740723,20.45958197593689
2019-07-30,43.63058002484502,P,24.831871032714844,25.145974349975585,25.009665107727052,25.27684965133667,23.98557243347168,22.113040370941164,20.482485313415527
2019-07-31,43.28400765888366,P,24.73309898376465,25.025470352172853,24.983983993530273,25.235858345031737,24.03831802368164,22.173368434906006,20.508719434738158
2019-08-01,42.594290891163915,P,24.080665588378903,24.782380676269533,24.90886344909668,25.16224536895752,24.08117572784424,22.227172164916993,20.53129913330078
2019-08-02,41.51291840372337,P,23.487546920776367,24.39498634338379,24.770480346679687,25.047617626190185,24.111380844116212,22.274649887084962,20.55145263671875
2019-08-05,40.7929521695469,P,23.28983497619629,24.08460350036621,24.617264556884766,24.936932468414305,24.137631721496582,22.31778217315674,20.573657703399657
2019-08-06,40.63528462736205,P,24.288253784179688,23.97588005065918,24.560927200317384,24.87518072128296,24.186024055480956,22.37198413848877,20.598501176834105
2019-08-07,40.80760540316869,P,24.92091941833496,24.01344413757324,24.519457244873045,24.847531414031984,24.249242668151854,22.432907543182374,20.623418817520143
2019-08-08,41.50997694656977,P,25.138397216796875,24.224990463256837,24.503685569763185,24.834213066101075,24.317403450012208,22.49482147216797,20.644505910873413
2019-08-09,42.58585406761241,P,24.930803298950195,24.5136417388916,24.454314041137696,24.79668664932251,24.383387832641603,22.559396266937256,20.665096006393433
2019-08-12,43.74573810319032,P,24.911033630371094,24.83788146972656,24.461242485046387,24.76706142425537,24.444630851745604,22.624957542419434,20.687554426193238
2019-08-13,44.233306330064515,P,25.09885025024414,25.000000762939454,24.487940406799318,24.748802757263185,24.50113552093506,22.690423336029053,20.710165071487427
2019-08-14,43.957471700648426,P,24.485963821411133,24.913009643554688,24.463226890563966,24.72360544204712,24.53688789367676,22.748576087951662,20.728629341125487
2019-08-15,43.39818979238924,P,24.288253784179688,24.74298095703125,24.483985710144044,24.696424579620363,24.562759590148925,22.802679443359374,20.74654767036438
2019-08-16,43.10019427219976,A,24.555158615112305,24.667852020263673,24.590746879577637,24.680613613128664,24.58883312225342,22.85964916229248,20.767177534103393
2019-08-19,42.84258148318825,P,24.74298095703125,24.6342414855957,24.73606147766113,24.67666301727295,24.623601875305177,22.913069610595702,20.792139883041383
2019-08-20,42.67461104875229,P,24.9406852722168,24.602608489990235,24.801304626464844,24.681115913391114,24.667856063842773,22.967578926086425,20.817943229675294
2019-08-21,42.96380200246873,P,24.911033630371094,24.687622451782225,24.800316047668456,24.659886646270753,24.718431396484377,23.023469352722167,20.84246720314026
2019-08-22,43.224693942575136,A,24.81217765808105,24.7924072265625,24.767694091796876,24.63568983078003,24.756559448242186,23.075509395599365,20.86492314338684
2019-08-23,42.78438423998046,A,24.031238555908203,24.68762321472168,24.677737617492674,24.566025829315187,24.783217315673827,23.11737169265747,20.885982551574706
2019-08-26,42.613188237790375,P,24.76275062561035,24.6915771484375,24.662909317016602,24.562075901031495,24.826480903625487,23.165068855285643,20.90976511001587
2019-08-27,42.475934316649436,P,24.89126205444336,24.68169250488281,24.642150497436525,24.56504545211792,24.859473991394044,23.21661689758301,20.93664917945862
2019-08-28,42.51635959512783,P,25.138397216796875,24.72716522216797,24.707393836975097,24.58531036376953,24.894248962402344,23.26984680175781,20.961572265625
2019-08-29,42.934245720854385,A,25.514034271240234,24.867536544799805,24.829971885681154,24.656978797912597,24.927449531555176,23.32397129058838,20.988373537063598
2019-08-30,43.93917591079343,A,25.54369163513184,25.17002716064453,24.928825187683106,24.75978603363037,24.957687339782716,23.37503719329834,21.01527389526367
2019-09-02,44.400812463051835,A,25.54369163513184,25.32621536254883,25.008896255493163,24.872478866577147,24.98851791381836,23.42768199920654,21.04237099647522
2019-09-03,44.789175585468094,A,25.682085037231445,25.484379959106448,25.08303623199463,24.942170429229737,25.02033832550049,23.480427856445313,21.0705535030365
2019-09-04,44.89407270260912,A,25.682085037231445,25.593117523193364,25.160141372680663,24.98022871017456,25.042281341552734,23.540673580169678,21.096572103500367
2019-09-05,44.6140224065247,A,25.711748123168945,25.6326602935791,25.250098419189452,25.008896255493163,25.05494026184082,23.60003173828125,21.120181694030762
2019-09-06,44.25132853147926,A,25.691974639892575,25.66231689453125,25.41617202758789,25.046954822540282,25.058708992004394,23.659192161560057,21.14300389289856
2019-09-09,44.05829660538826,A,25.998422622680664,25.753263092041017,25.539739227294923,25.10132427215576,25.063470458984376,23.719048709869384,21.167161617279053
2019-09-10,44.10865673454963,A,26.403715133666992,25.897589111328124,25.690984535217286,25.166567516326904,25.074954948425294,23.77901086807251,21.196640844345094
2019-09-11,44.38699822280639,A,26.581655502319336,26.077503204345703,25.83531036376953,25.271352100372315,25.095529556274414,23.836607761383057,21.227009773254395
2019-09-12,44.879746117164565,A,26.71015930175781,26.277185440063477,25.95492286682129,25.39244737625122,25.118674240112306,23.90002910614014,21.25959496498108
2019-09-13,45.327670111886725,A,26.77936363220215,26.49466323852539,26.07849006652832,25.503657627105714,25.138659477233887,23.963747749328615,21.293706474304198
