Date,GRADE,GPS,VLO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.3141534328460691,,,,,,
1983-11-22,,,1.4006112813949585,,,,,,
1983-11-23,,,1.4351942539215088,,,,,,
1983-11-24,,,1.4351942539215088,,,,,,
1983-11-25,,,1.4697777032852173,1.4109861850738525,,,,,
1983-11-28,,,1.4697777032852173,1.442111039161682,,,,,
1983-11-29,,,1.4697777032852173,1.4559443235397338,,,,,
1983-11-30,,,1.4784226417541504,1.4645900011062623,,,,,
1983-12-01,,,1.495714783668518,1.476694107055664,,,,,
1983-12-02,,,1.4870691299438477,1.48015239238739,1.4455692887306213,,,,
1983-12-05,,,1.4870691299438477,1.4836106777191163,1.4628608584403993,,,,
1983-12-06,,,1.4784226417541504,1.4853396654129027,1.4706419944763183,,,,
1983-12-07,,,1.4524855613708496,1.4801522493362427,1.4723711252212524,,,,
1983-12-08,,,1.4351942539215088,1.4680481433868409,1.4723711252212524,,,,
1983-12-09,,,1.4351942539215088,1.4576731681823731,1.4689127802848816,,,,
1983-12-12,,,1.4179028272628784,1.4438399076461792,1.4637252926826476,,,,
1983-12-13,,,1.4179028272628784,1.4317359447479248,1.4585378050804139,,,,
1983-12-14,,,1.4265481233596802,1.426548457145691,1.4533503532409668,,,,
1983-12-15,,,1.4870691299438477,1.4369234323501587,1.4524857878684998,,,,
1983-12-16,,,1.5043604373931885,1.4507566690444946,1.4542149186134339,1.4498921036720276,,,
1983-12-19,,,1.495714783668518,1.4663190603256226,1.455079483985901,1.45897017121315,,,
1983-12-20,,,1.5043604373931885,1.4836105823516845,1.4576732635498046,1.4641576290130616,,,
1983-12-21,,,1.4870691299438477,1.495714783668518,1.4611316204071045,1.4667513728141786,,,
1983-12-22,,,1.4179028272628784,1.4818815231323241,1.4594024777412415,1.465886801481247,,,
1983-12-23,,,1.4179028272628784,1.4645900011062623,1.4576733350753783,1.46329305768013,,,
1983-12-26,,,1.4179028272628784,1.4490276098251342,1.4576733350753783,1.460699313879013,,,
