,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.206207,0.206887,0.208669,0.204092
Net Income From Continuing Operation Net Minority Interest,446061000.0,298569000.0,297860000.0,293304000.0
Reconciled Depreciation,53592000.0,51720000.0,49097000.0,34303000.0
EBIT,561936000.0,378461000.0,380536000.0,369246000.0
Net Interest Income,0.0,-2009000.0,-4132000.0,-731000.0
Interest Expense,0.0,2009000.0,4132000.0,731000.0
Normalized Income,446061000.0,298569000.0,297860000.0,293304000.0
Net Income From Continuing And Discontinued Operation,446061000.0,298569000.0,297860000.0,293304000.0
Total Expenses,2747280000.0,2474750000.0,2293204000.0,2201443000.0
Diluted Average Shares,52299411.0,52300532.0,52309844.0,52315902.0
Basic Average Shares,46188981.0,46191458.0,46191348.0,46191201.0
Diluted EPS,8.53,5.71,5.69,5.61
Basic EPS,9.58,6.41,6.4,6.3
Diluted NI Availto Com Stockholders,446061000.0,298569000.0,297860000.0,293304000.0
Net Income Common Stockholders,446061000.0,298569000.0,297860000.0,293304000.0
Net Income,446061000.0,298569000.0,297860000.0,293304000.0
Net Income Including Noncontrolling Interests,446061000.0,298569000.0,297860000.0,293304000.0
Net Income Continuous Operations,446061000.0,298569000.0,297860000.0,293304000.0
Tax Provision,115875000.0,77883000.0,78544000.0,75211000.0
Pretax Income,561936000.0,376452000.0,376404000.0,368515000.0
Other Income Expense,763198000.0,693955000.0,662525000.0,635232000.0
Net Non Operating Interest Income Expense,0.0,-2009000.0,-4132000.0,-731000.0
Interest Expense Non Operating,0.0,2009000.0,4132000.0,731000.0
Other Operating Expenses,-12712000.0,-1615000.0,4893000.0,1778000.0
Selling General And Administration,737139000.0,668268000.0,638483000.0,609435000.0
General And Administrative Expense,737139000.0,668268000.0,638483000.0,609435000.0
Other Gand A,737139000.0,668268000.0,638483000.0,609435000.0
Total Revenue,3309216000.0,2851202000.0,2669608000.0,2569958000.0
Operating Revenue,3309216000.0,2851202000.0,2669608000.0,2569958000.0
