,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,0.0,0.0,-893800.0,12019000.0
Tax Rate For Calcs,0.241,0.227,0.218,0.202
Normalized EBITDA,6193200000.0,7651800000.0,5405000000.0,2921200000.0
Total Unusual Items,0.0,0.0,-4100000.0,59500000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-4100000.0,59500000.0
Net Income From Continuing Operation Net Minority Interest,4745700000.0,5857500000.0,4175800000.0,2373700000.0
Reconciled Depreciation,91600000.0,81400000.0,82100000.0,90600000.0
Reconciled Cost Of Revenue,26110000000.0,22975900000.0,19899200000.0,15373200000.0
EBITDA,6193200000.0,7651800000.0,5400900000.0,2980700000.0
EBIT,6101600000.0,7570400000.0,5318800000.0,2890100000.0
Normalized Income,4745700000.0,5857500000.0,4179006200.0,2326219000.0
Net Income From Continuing And Discontinued Operation,4745700000.0,5857500000.0,4175800000.0,2373700000.0
Total Expenses,29358800000.0,25909600000.0,22455400000.0,17421000000.0
Diluted Average Shares,343300000.0,354800000.0,365800000.0,370200000.0
Basic Average Shares,340700000.0,351700000.0,361100000.0,365500000.0
Diluted EPS,13.82,16.51,11.41,6.41
Basic EPS,13.93,16.65,11.56,6.49
Diluted NI Availto Com Stockholders,4745700000.0,5857500000.0,4175800000.0,2373700000.0
Net Income Common Stockholders,4745700000.0,5857500000.0,4175800000.0,2373700000.0
Net Income,4745700000.0,5857500000.0,4175800000.0,2373700000.0
Minority Interests,-49500000.0,-38100000.0,-15400000.0,-6800000.0
Net Income Including Noncontrolling Interests,4795200000.0,5895600000.0,4191200000.0,2380500000.0
Net Income Continuous Operations,4795200000.0,5895600000.0,4191200000.0,2380500000.0
Tax Provision,1519500000.0,1734100000.0,1165100000.0,602500000.0
Pretax Income,6314700000.0,7629700000.0,5356300000.0,2983000000.0
Other Income Expense,213100000.0,59300000.0,37500000.0,92900000.0
Other Non Operating Income Expenses,213100000.0,59300000.0,41600000.0,33400000.0
Special Income Charges,0.0,0.0,-4100000.0,59500000.0
Gain On Sale Of Ppe,0.0,0.0,14000000.0,59500000.0
Other Special Charges,,,18100000.0,
Earnings From Equity Interest,,,,700000.0
Operating Income,6101600000.0,7570400000.0,5318800000.0,2890100000.0
Operating Expense,3248800000.0,2933700000.0,2556200000.0,2047800000.0
Selling General And Administration,3248800000.0,2933700000.0,2556200000.0,2047800000.0
Gross Profit,9350400000.0,10504100000.0,7875000000.0,4937900000.0
Cost Of Revenue,26110000000.0,22975900000.0,19899200000.0,15373200000.0
Total Revenue,35460400000.0,33480000000.0,27774200000.0,20311100000.0
Operating Revenue,35460400000.0,33480000000.0,27774200000.0,20311100000.0
