,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.259,0.259,0.262791,0.270081
Normalized EBITDA,1087588000.0,1916506000.0,1976339000.0,1013742000.0
Net Income From Continuing Operation Net Minority Interest,752883000.0,1357399000.0,1415492000.0,696140000.0
Reconciled Depreciation,67760000.0,57338000.0,51312000.0,56959000.0
Reconciled Cost Of Revenue,8054634000.0,14900154000.0,14358105000.0,8421628000.0
EBITDA,1087588000.0,1916506000.0,1976339000.0,1013742000.0
EBIT,1019828000.0,1859168000.0,1925027000.0,956783000.0
Net Interest Income,65651000.0,2277000.0,8396000.0,10196000.0
Interest Expense,4800000.0,23277000.0,411000.0,219000.0
Interest Income,70451000.0,25554000.0,8807000.0,10415000.0
Normalized Income,752883000.0,1357399000.0,1415492000.0,696140000.0
Net Income From Continuing And Discontinued Operation,752883000.0,1357399000.0,1415492000.0,696140000.0
Total Expenses,8360177000.0,15246913000.0,14614191000.0,8643956000.0
Rent Expense Supplemental,232358000.0,209532000.0,186287000.0,169863000.0
Total Operating Income As Reported,939933000.0,1824371000.0,1909326000.0,940437000.0
Diluted Average Shares,150186000.0,164427000.0,171250000.0,170896000.0
Basic Average Shares,149141000.0,163010000.0,169145000.0,168333000.0
Diluted EPS,5.01,8.26,8.27,4.07
Basic EPS,5.05,8.33,8.37,4.14
Diluted NI Availto Com Stockholders,752883000.0,1357399000.0,1415492000.0,696140000.0
Net Income Common Stockholders,752883000.0,1357399000.0,1415492000.0,696140000.0
Net Income,752883000.0,1357399000.0,1415492000.0,696140000.0
Minority Interests,1104000.0,-3206000.0,-3353000.0,-2074000.0
Net Income Including Noncontrolling Interests,751779000.0,1360605000.0,1418845000.0,698214000.0
Net Income Continuous Operations,751779000.0,1360605000.0,1418845000.0,698214000.0
Tax Provision,263249000.0,475286000.0,505771000.0,258350000.0
Pretax Income,1015028000.0,1835891000.0,1924616000.0,956564000.0
Other Income Expense,9444000.0,9243000.0,6894000.0,5931000.0
Other Non Operating Income Expenses,9444000.0,9243000.0,6894000.0,5931000.0
Net Non Operating Interest Income Expense,65651000.0,2277000.0,8396000.0,10196000.0
Interest Expense Non Operating,4800000.0,23277000.0,411000.0,219000.0
Interest Income Non Operating,70451000.0,25554000.0,8807000.0,10415000.0
Operating Income,939933000.0,1824371000.0,1909326000.0,940437000.0
Operating Expense,305543000.0,346759000.0,256086000.0,222328000.0
Other Operating Expenses,277630000.0,322466000.0,240060000.0,203892000.0
Selling General And Administration,27913000.0,24293000.0,16026000.0,18436000.0
Selling And Marketing Expense,27913000.0,24293000.0,16026000.0,18436000.0
Gross Profit,1245476000.0,2171130000.0,2165412000.0,1162765000.0
Cost Of Revenue,8054634000.0,14900154000.0,14358105000.0,8421628000.0
Total Revenue,9300110000.0,17071284000.0,16523517000.0,9584393000.0
Operating Revenue,9300110000.0,17071284000.0,16523517000.0,9584393000.0
