,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,122048611.111111,-143103142.076503
Tax Rate For Calcs,0.225952,0.20018,0.219907,0.118169
Total Unusual Items,,,555000000.0,-1211000000.0
Total Unusual Items Excluding Goodwill,,,555000000.0,-1211000000.0
Net Income From Continuing Operation Net Minority Interest,1434000000.0,822000000.0,1562000000.0,-931000000.0
Reconciled Depreciation,538000000.0,509000000.0,515000000.0,734000000.0
EBIT,2372000000.0,1492000000.0,2584000000.0,-949000000.0
Net Interest Income,-376000000.0,-378000000.0,-424000000.0,-515000000.0
Interest Expense,376000000.0,378000000.0,424000000.0,515000000.0
Normalized Income,1434000000.0,822000000.0,1129048611.111111,136896857.923497
Net Income From Continuing And Discontinued Operation,1434000000.0,822000000.0,1562000000.0,-931000000.0
Total Expenses,13682000000.0,12936000000.0,11567000000.0,15131000000.0
Diluted Average Shares,227810000.0,243280000.0,260200000.0,280320000.0
Basic Average Shares,227480000.0,242830000.0,259670000.0,280320000.0
Diluted EPS,6.29,3.38,6.0,-3.32
Basic EPS,6.3,3.39,6.02,-3.32
Diluted NI Availto Com Stockholders,1434000000.0,822000000.0,1562000000.0,-931000000.0
Net Income Common Stockholders,1434000000.0,822000000.0,1562000000.0,-931000000.0
Net Income,1434000000.0,822000000.0,1562000000.0,-931000000.0
Minority Interests,-111000000.0,-69000000.0,-123000000.0,360000000.0
Net Income Including Noncontrolling Interests,1545000000.0,891000000.0,1685000000.0,-1291000000.0
Net Income Continuous Operations,1545000000.0,891000000.0,1685000000.0,-1291000000.0
Tax Provision,451000000.0,223000000.0,475000000.0,-173000000.0
Pretax Income,1996000000.0,1114000000.0,2160000000.0,-1464000000.0
Other Income Expense,4079000000.0,3774000000.0,3563000000.0,4185000000.0
Special Income Charges,,,555000000.0,-1211000000.0
Other Special Charges,,,-555000000.0,1211000000.0
Net Non Operating Interest Income Expense,-376000000.0,-378000000.0,-424000000.0,-515000000.0
Interest Expense Non Operating,376000000.0,378000000.0,424000000.0,515000000.0
Other Operating Expenses,4937000000.0,4548000000.0,4285000000.0,5879000000.0
Total Revenue,15678000000.0,14050000000.0,13727000000.0,13667000000.0
Operating Revenue,15678000000.0,14050000000.0,13727000000.0,13667000000.0
