,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,14490000.0,-15552000.0
Tax Rate For Calcs,0.21,0.21,0.162
Normalized EBITDA,986000000.0,-595000000.0,580000000.0
Total Unusual Items,,69000000.0,-96000000.0
Total Unusual Items Excluding Goodwill,,69000000.0,-96000000.0
Net Income From Continuing Operation Net Minority Interest,-540000000.0,-2736000000.0,-633000000.0
Reconciled Depreciation,964000000.0,1797000000.0,1176000000.0
Reconciled Cost Of Revenue,28436000000.0,26196000000.0,28061000000.0
EBITDA,986000000.0,-526000000.0,484000000.0
EBIT,22000000.0,-2323000000.0,-692000000.0
Net Interest Income,-71000000.0,-109000000.0,-101000000.0
Interest Expense,71000000.0,151000000.0,172000000.0
Interest Income,,42000000.0,71000000.0
Normalized Income,-540000000.0,-2790510000.0,-552552000.0
Net Income From Continuing And Discontinued Operation,-540000000.0,-2736000000.0,-633000000.0
Total Expenses,34260000000.0,32535000000.0,33890000000.0
Total Operating Income As Reported,-1021000000.0,-2881000000.0,-884000000.0
Diluted Average Shares,272083576.0,272083576.0,272083576.0
Basic Average Shares,272083576.0,272083576.0,272083576.0
Diluted EPS,-1.98,-10.055734,-2.326491
Basic EPS,-1.98,-10.055734,-2.326491
Diluted NI Availto Com Stockholders,-540000000.0,-2736000000.0,-633000000.0
Net Income Common Stockholders,-540000000.0,-2736000000.0,-633000000.0
Net Income,-540000000.0,-2736000000.0,-633000000.0
Minority Interests,36000000.0,-14000000.0,91000000.0
Net Income Including Noncontrolling Interests,-576000000.0,-2722000000.0,-724000000.0
Net Income Continuous Operations,-576000000.0,-2722000000.0,-724000000.0
Tax Provision,527000000.0,248000000.0,-140000000.0
Pretax Income,-49000000.0,-2474000000.0,-864000000.0
Other Income Expense,1043000000.0,516000000.0,121000000.0
Other Non Operating Income Expenses,1043000000.0,387000000.0,396000000.0
Special Income Charges,,22000000.0,-123000000.0
Gain On Sale Of Business,,22000000.0,-123000000.0
Restructuring And Mergern Acquisition,,-22000000.0,123000000.0
Earnings From Equity Interest,,60000000.0,-179000000.0
Gain On Sale Of Security,,47000000.0,27000000.0
Net Non Operating Interest Income Expense,-71000000.0,-109000000.0,-101000000.0
Interest Expense Non Operating,71000000.0,151000000.0,172000000.0
Interest Income Non Operating,,42000000.0,71000000.0
Operating Income,-1021000000.0,-2881000000.0,-884000000.0
Operating Expense,5824000000.0,6339000000.0,5829000000.0
Research And Development,896000000.0,979000000.0,1008000000.0
Selling General And Administration,4928000000.0,5360000000.0,4821000000.0
Gross Profit,4803000000.0,3458000000.0,4945000000.0
Cost Of Revenue,28436000000.0,26196000000.0,28061000000.0
Total Revenue,33239000000.0,29654000000.0,33006000000.0
Operating Revenue,33226000000.0,29654000000.0,33006000000.0
