,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-17657900.0,-42319200.0,39224900.0,-29033300.0
Tax Rate For Calcs,0.221,0.229,0.143,0.227
Normalized EBITDA,2064700000.0,2390200000.0,2565900000.0,1307700000.0
Total Unusual Items,-79900000.0,-184800000.0,274300000.0,-127900000.0
Total Unusual Items Excluding Goodwill,-79900000.0,-184800000.0,274300000.0,-127900000.0
Net Income From Continuing Operation Net Minority Interest,882800000.0,1291900000.0,1831200000.0,798900000.0
Reconciled Depreciation,445400000.0,377800000.0,310600000.0,128500000.0
Reconciled Cost Of Revenue,1395200000.0,1330600000.0,1350000000.0,988200000.0
EBITDA,1984800000.0,2205400000.0,2840200000.0,1179800000.0
EBIT,1539400000.0,1827600000.0,2529600000.0,1051300000.0
Net Interest Income,-123700000.0,-98200000.0,-85400000.0,-33400000.0
Interest Expense,123700000.0,98200000.0,85400000.0,33400000.0
Interest Income,,,8800000.0,14300000.0
Normalized Income,945042100.0,1434380800.0,1596124900.0,897766700.0
Net Income From Continuing And Discontinued Operation,882800000.0,1291900000.0,1831200000.0,798900000.0
Total Expenses,6412500000.0,6330000000.0,6361500000.0,4321800000.0
Rent Expense Supplemental,228900000.0,218900000.0,218100000.0,147900000.0
Total Operating Income As Reported,1102300000.0,1773900000.0,1875000000.0,1048900000.0
Diluted Average Shares,490800000.0,489300000.0,490600000.0,492400000.0
Basic Average Shares,490000000.0,488700000.0,489900000.0,491900000.0
Diluted EPS,1.72,2.53,3.57,1.59
Basic EPS,1.72,2.53,3.58,1.59
Diluted NI Availto Com Stockholders,845100000.0,1237800000.0,1753500000.0,783600000.0
Net Income Common Stockholders,845100000.0,1237800000.0,1753500000.0,783600000.0
Otherunder Preferred Stock Dividend,37700000.0,54100000.0,77700000.0,15300000.0
Net Income,882800000.0,1291900000.0,1831200000.0,798900000.0
Minority Interests,-220600000.0,-41300000.0,-263400000.0,11800000.0
Net Income Including Noncontrolling Interests,1103400000.0,1333200000.0,2094600000.0,787100000.0
Net Income Continuous Operations,1103400000.0,1333200000.0,2094600000.0,787100000.0
Tax Provision,312300000.0,396200000.0,349600000.0,230800000.0
Pretax Income,1415700000.0,1729400000.0,2444200000.0,1017900000.0
Other Income Expense,102500000.0,-117700000.0,465600000.0,-193400000.0
Other Non Operating Income Expenses,59300000.0,30900000.0,37000000.0,32600000.0
Special Income Charges,-334600000.0,-171400000.0,-189000000.0,-195800000.0
Restructuring And Mergern Acquisition,334600000.0,171400000.0,189000000.0,195800000.0
Earnings From Equity Interest,123100000.0,36200000.0,154300000.0,-98100000.0
Gain On Sale Of Security,254700000.0,-13400000.0,463300000.0,67900000.0
Net Non Operating Interest Income Expense,-123700000.0,-98200000.0,-85400000.0,-33400000.0
Interest Expense Non Operating,123700000.0,98200000.0,85400000.0,33400000.0
Interest Income Non Operating,,,8800000.0,14300000.0
Operating Income,1436900000.0,1945300000.0,2064000000.0,1244700000.0
Operating Expense,4913000000.0,4903600000.0,4932900000.0,3259100000.0
Other Operating Expenses,505000000.0,500200000.0,486100000.0,288400000.0
Depreciation Amortization Depletion Income Statement,341100000.0,282000000.0,232000000.0,54000000.0
Depreciation And Amortization In Income Statement,341100000.0,282000000.0,232000000.0,54000000.0
Amortization,341100000.0,282000000.0,232000000.0,54000000.0
Amortization Of Intangibles Income Statement,341100000.0,282000000.0,232000000.0,54000000.0
Selling General And Administration,4066900000.0,4121400000.0,4214800000.0,2916700000.0
Selling And Marketing Expense,1613100000.0,1845600000.0,2105800000.0,1703100000.0
General And Administrative Expense,2453800000.0,2275800000.0,2109000000.0,1213600000.0
Other Gand A,565000000.0,564900000.0,537200000.0,450300000.0
Rent And Landing Fees,228900000.0,218900000.0,218100000.0,147900000.0
Salaries And Wages,1659900000.0,1492000000.0,1353700000.0,615400000.0
Gross Profit,6349900000.0,6848900000.0,6996900000.0,4503800000.0
Cost Of Revenue,1499500000.0,1426400000.0,1428600000.0,1062700000.0
Total Revenue,7849400000.0,8275300000.0,8425500000.0,5566500000.0
Operating Revenue,7809300000.0,8224800000.0,8388300000.0,5538800000.0
