Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,1.0649454149333892,1.0577660468270733,1.0625523328781128,40740.0,0.0,0.0
1962-01-03,0.0,1.0745190382003784,1.0649464567337732,1.0745190382003784,83483.0,0.0,0.0
1962-01-04,0.0,1.0912705181115607,1.0769117741243968,1.081697940826416,74801.0,0.0,0.0
1962-01-05,0.0,1.0912719208673756,1.0769131584229992,1.0793062448501587,42744.0,0.0,0.0
1962-01-08,0.0,1.09127056153396,1.0673391173688498,1.084091067314148,90830.0,0.0,0.0
1962-01-09,0.0,1.088877434760551,1.0769117741243968,1.081697940826416,62780.0,0.0,0.0
1962-01-10,0.0,1.081698161224589,1.0577668350762246,1.0601600408554077,38736.0,0.0,0.0
1962-01-11,0.0,1.0625531246940132,1.0481942558406478,1.0601600408554077,46751.0,0.0,0.0
1962-01-12,0.0,1.0673393668244116,1.0481943289583568,1.05058753490448,30054.0,0.0,0.0
1962-01-15,0.0,1.0505882926645944,1.024263617972914,1.0314431190490723,36733.0,0.0,0.0
1962-01-16,0.0,1.0314427557076906,1.017084002494812,1.017084002494812,26047.0,0.0,0.0
1962-01-17,0.0,1.0194766521453857,1.0170835682784456,1.0194766521453857,39404.0,0.0,0.0
1962-01-18,0.0,1.0194766521453857,1.0170835682784456,1.0194766521453857,31390.0,0.0,0.0
1962-01-19,0.0,1.024262819879266,1.0194766521453857,1.0194766521453857,38068.0,0.0,0.0
1962-01-22,0.0,1.0194766860518412,1.0075109004974365,1.0075109004974365,50758.0,0.0,0.0
1962-01-23,0.0,1.0099041673548423,1.0051178165509056,1.0075109004974365,43411.0,0.0,0.0
1962-01-24,0.0,1.0003321979400466,0.9883664660562408,0.9979389905929565,48754.0,0.0,0.0
1962-01-25,0.0,1.0003315577491758,0.9955452680587769,0.9955452680587769,41408.0,0.0,0.0
1962-01-26,0.0,0.9955454625682254,0.9859728813171387,0.9859728813171387,54765.0,0.0,0.0
1962-01-29,0.0,0.9931522384459632,0.9811865128316197,0.9883659482002258,32058.0,0.0,0.0
1962-01-30,0.0,1.0027250051498413,0.9907593382836943,1.0027250051498413,34729.0,0.0,0.0
1962-01-31,0.0,1.0194770873834147,0.9979387746531501,1.017084002494812,60776.0,0.0,0.0
1962-02-01,0.0,1.0266564639898539,1.0075112971185076,1.017084002494812,66119.0,0.0,0.0
1962-02-02,0.0,1.024262819879266,1.0122972176336966,1.0194766521453857,36733.0,0.0,0.0
1962-02-05,0.0,1.0290488004684448,1.0170831422645037,1.0290488004684448,50090.0,0.0,0.0
1962-02-06,0.0,1.035323977470398,1.0304972776419212,1.035323977470398,38736.0,0.067379,0.0
1962-02-07,0.0,1.0473909378051758,1.0304975454994585,1.0473909378051758,57437.0,0.0,0.0
1962-02-08,0.0,1.0522177618584012,1.0425643596922363,1.0473909378051758,71462.0,0.0,0.0
1962-02-09,0.0,1.049803764095679,1.0449771881103516,1.0449771881103516,35397.0,0.0,0.0
1962-02-12,0.0,1.0473904761030153,1.0425639001176878,1.0449771881103516,20704.0,0.0,0.0
1962-02-13,0.0,1.0449769975372039,1.0377370119094849,1.0377370119094849,48086.0,0.0,0.0
1962-02-14,0.0,1.0377374097120604,1.016017198562622,1.016017198562622,40072.0,0.0,0.0
1962-02-15,0.0,1.0256708800563303,1.0063640158828013,1.0184308290481567,54765.0,0.0,0.0
1962-02-16,0.0,1.0232574006953359,1.008777421734802,1.0111907720565796,94169.0,0.0,0.0
1962-02-19,0.0,1.0329105868165287,1.0136039100849699,1.016017198562622,66787.0,0.0,0.0
1962-02-20,0.0,1.0136040608932912,1.0063640099279585,1.0111907720565796,57437.0,0.0,0.0
1962-02-21,0.0,1.0039500795149403,0.9894699868378071,0.991883397102356,83483.0,0.0,0.0
1962-02-22,0.0,1.0039500795149403,0.9894699868378071,0.991883397102356,83483.0,0.0,0.0
1962-02-23,0.0,0.9942971636710831,0.9701637257280121,0.9749904870986938,106859.0,0.0,0.0
1962-02-26,0.0,0.9798172481845248,0.953270516793869,0.9580972790718079,112870.0,0.0,0.0
1962-02-27,0.0,0.9846438253848885,0.958097098984061,0.9749904870986938,96173.0,0.0,0.0
1962-02-28,0.0,0.9967101812362672,0.9798167372701143,0.9967101812362671,103520.0,0.0,0.0
1962-03-01,0.0,1.0015371364640893,0.9870570379209815,0.9942970871925354,96841.0,0.0,0.0
1962-03-02,0.0,0.9967102916702312,0.9894702434539794,0.9894702434539795,68123.0,0.0,0.0
1962-03-05,0.0,0.9942976763793532,0.9749909898514968,0.9798175692558289,80812.0,0.0,0.0
1962-03-06,0.0,0.979817314572534,0.9605106330630511,0.9653373956680298,84151.0,0.0,0.0
1962-03-07,0.0,0.9653376269321465,0.9460307563421372,0.9508575201034546,100848.0,0.0,0.0
1962-03-08,0.0,0.9749899394268698,0.9460297563806453,0.9677498936653137,49422.0,0.0,0.0
1962-03-09,0.0,0.9798168433258478,0.9677502192997143,0.9725768566131592,60776.0,0.0,0.0
1962-03-12,0.0,0.9725769127818805,0.9556835889816284,0.9556835889816284,68790.0,0.0,0.0
1962-03-13,0.0,0.9749899394268698,0.9556832122144086,0.9677498936653137,72130.0,0.0,0.0
1962-03-14,0.0,0.9749901647162628,0.9412033381736222,0.9701634049415588,116209.0,0.0,0.0
1962-03-15,0.0,0.967750227483619,0.9580968912900522,0.9629234671592712,94169.0,0.0,0.0
1962-03-16,0.0,0.9701635154182285,0.9605101792246616,0.9629234671592712,74133.0,0.0,0.0
1962-03-19,0.0,0.9629234671592712,0.9508568430310947,0.9629234671592712,60776.0,0.0,0.0
1962-03-20,0.0,0.9629234671592712,0.9580968912900522,0.9629234671592712,33393.0,0.0,0.0
1962-03-21,0.0,0.9605108631708291,0.9484441689653392,0.9508575201034546,79476.0,0.0,0.0
1962-03-22,0.0,0.9532708854174329,0.9412041902542113,0.9412041902542114,70126.0,0.0,0.0
1962-03-23,0.0,0.9484436964353027,0.9339635968208312,0.9339635968208313,126895.0,0.0,0.0
1962-03-26,0.0,0.9412036998674402,0.926723599433899,0.9267235994338989,55433.0,0.0,0.0
1962-03-27,0.0,0.931550264792595,0.9146568775177001,0.9146568775177002,80812.0,0.0,0.0
1962-03-28,0.0,0.9146568775177001,0.8929367291120527,0.9146568775177002,106191.0,0.0,0.0
1962-03-29,0.0,0.9218975422645245,0.8953507379807826,0.9050041437149048,170306.0,0.0,0.0
1962-03-30,0.0,0.9050037481596391,0.8929369347810047,0.902590274810791,56101.0,0.0,0.0
1962-04-02,0.0,0.8953505113185991,0.8784571170456215,0.8881104588508606,122220.0,0.0,0.0
1962-04-03,0.0,0.8929368348524969,0.8832834959030151,0.8832834959030151,94169.0,0.0,0.0
1962-04-04,0.0,0.8929368688154787,0.8784568905830383,0.8784568905830383,58772.0,0.0,0.0
1962-04-05,0.0,0.8977629701976408,0.8760428343737683,0.8953496217727661,89494.0,0.0,0.0
1962-04-06,0.0,0.9074170370532852,0.8929369347810047,0.902590274810791,72130.0,0.0,0.0
1962-04-09,0.0,0.8977638621411785,0.8881104588508607,0.8881104588508606,62780.0,0.0,0.0
1962-04-10,0.0,0.8977633118629457,0.8881099144896154,0.8977633118629456,52094.0,0.0,0.0
1962-04-11,0.0,0.9050033598929432,0.890523263832948,0.8977633118629456,76137.0,0.0,0.0
1962-04-12,0.0,0.8953505113185991,0.8808704063831223,0.8881104588508606,52094.0,0.0,0.0
1962-04-13,0.0,0.8977629701976408,0.8784562442836606,0.8953496217727661,37401.0,0.0,0.0
