,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3690400000.0,3056600000.0,3124500000.0,3600500000.0,
Repurchase Of Capital Stock,-740400000.0,-1695000000.0,-937200000.0,-307000000.0,
Repayment Of Debt,-764000000.0,-302000000.0,-1800000.0,-65800000.0,
Issuance Of Debt,691500000.0,15400000.0,0.0,608900000.0,
Issuance Of Capital Stock,57800000.0,181700000.0,86700000.0,42800000.0,
Capital Expenditure,-102000000.0,-116300000.0,-129900000.0,-108800000.0,
Interest Paid Supplemental Data,170700000.0,175800000.0,166100000.0,162800000.0,
Income Tax Paid Supplemental Data,68100000.0,142100000.0,109900000.0,172000000.0,
End Cash Position,4707700000.0,4848000000.0,2332000000.0,2849800000.0,
Beginning Cash Position,4848000000.0,2332000000.0,2849800000.0,2515900000.0,
Changes In Cash,-140300000.0,2516000000.0,-517800000.0,333900000.0,
Financing Cash Flow,-2585800000.0,-1715400000.0,1921500000.0,1621100000.0,
Cash Flow From Continuing Financing Activities,-2585800000.0,-1715400000.0,1921500000.0,1621100000.0,
Net Other Financing Charges,-1186700000.0,725900000.0,3417700000.0,1969300000.0,
Cash Dividends Paid,-625500000.0,-642300000.0,-654100000.0,-614500000.0,
Common Stock Dividend Paid,-625500000.0,-642300000.0,-654100000.0,-614500000.0,
Net Common Stock Issuance,-682600000.0,-1513300000.0,-850500000.0,-264200000.0,
Common Stock Payments,-740400000.0,-1695000000.0,-937200000.0,-307000000.0,
Common Stock Issuance,57800000.0,181700000.0,86700000.0,42800000.0,
Net Issuance Payments Of Debt,-91000000.0,-285700000.0,8400000.0,530500000.0,
Net Short Term Debt Issuance,-18500000.0,900000.0,10200000.0,-12600000.0,
Short Term Debt Payments,,,,-12600000.0,
Short Term Debt Issuance,,900000.0,10200000.0,,57500000.0
Net Long Term Debt Issuance,-72500000.0,-286600000.0,-1800000.0,543100000.0,
Long Term Debt Payments,-764000000.0,-302000000.0,-1800000.0,-65800000.0,
Long Term Debt Issuance,691500000.0,15400000.0,0.0,608900000.0,
Investing Cash Flow,-1346900000.0,1058500000.0,-5693700000.0,-4996500000.0,
Cash Flow From Continuing Investing Activities,-1346900000.0,1058500000.0,-5693700000.0,-4996500000.0,
Net Investment Purchase And Sale,-1257200000.0,2162600000.0,-3072800000.0,-3887100000.0,
Sale Of Investment,11079100000.0,21583400000.0,13695300000.0,11863400000.0,
Purchase Of Investment,-12336300000.0,-19420800000.0,-16768100000.0,-15750500000.0,
Net Investment Properties Purchase And Sale,-55500000.0,128800000.0,-147700000.0,-228300000.0,
Sale Of Investment Properties,132000000.0,374000000.0,133700000.0,2300000.0,
Purchase Of Investment Properties,-187500000.0,-245200000.0,-281400000.0,-230600000.0,
Net Business Purchase And Sale,0.0,0.0,27000000.0,0.0,
Sale Of Business,0.0,0.0,27000000.0,0.0,
Purchase Of Business,,,0.0,0.0,-1208500000.0
Net PPE Purchase And Sale,-102000000.0,-116300000.0,-129900000.0,-108800000.0,
Purchase Of PPE,-102000000.0,-116300000.0,-129900000.0,-108800000.0,
Operating Cash Flow,3792400000.0,3172900000.0,3254400000.0,3709300000.0,
Cash Flow From Continuing Operating Activities,3792400000.0,3172900000.0,3254400000.0,3709300000.0,
Change In Working Capital,1934400000.0,2461900000.0,1643500000.0,1982100000.0,
Change In Other Working Capital,-490800000.0,4234900000.0,90900000.0,267900000.0,
Change In Payables And Accrued Expense,,,,442500000.0,211200000.0
Change In Payable,,,,442500000.0,211200000.0
Change In Tax Payable,,,,442500000.0,211200000.0
Change In Income Tax Payable,,,,442500000.0,211200000.0
Change In Receivables,-36700000.0,-3301900000.0,8300000.0,61900000.0,
Changes In Account Receivables,-36700000.0,-3301900000.0,8300000.0,61900000.0,
Other Non Cash Items,-495000000.0,-565000000.0,-488100000.0,-140100000.0,
Stock Based Compensation,99400000.0,91300000.0,96100000.0,87200000.0,
Unrealized Gain Loss On Investment Securities,-55400000.0,185300000.0,-66700000.0,-73700000.0,
Amortization Of Securities,428100000.0,422400000.0,405800000.0,412900000.0,
Depreciation And Amortization,272700000.0,295900000.0,275300000.0,251900000.0,
Operating Gains Losses,-179500000.0,-627300000.0,-252000000.0,-171900000.0,
Earnings Losses From Equity Investments,-110200000.0,-111000000.0,-189800000.0,-10600000.0,
Gain Loss On Investment Securities,95700000.0,233100000.0,-62200000.0,-161300000.0,
Gain Loss On Sale Of Business,-165000000.0,-749400000.0,0.0,0.0,
Net Income From Continuing Operations,670100000.0,4797500000.0,1627000000.0,1428500000.0,
