,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,6510000000.0,5158000000.0,9812000000.0,8368000000.0,
Repurchase Of Capital Stock,-1012000000.0,-1488000000.0,-2500000000.0,-500000000.0,
Repayment Of Debt,-2318000000.0,-1184000000.0,-1708000000.0,-2762000000.0,
Issuance Of Debt,2076000000.0,2843000000.0,268000000.0,3013000000.0,
Interest Paid Supplemental Data,1555000000.0,1452000000.0,1452000000.0,1531000000.0,
Income Tax Paid Supplemental Data,895000000.0,1090000000.0,1668000000.0,287000000.0,
End Cash Position,19463000000.0,17299000000.0,12934000000.0,13855000000.0,
Beginning Cash Position,17299000000.0,12934000000.0,13855000000.0,16474000000.0,
Effect Of Exchange Rate Changes,37000000.0,-159000000.0,-309000000.0,340000000.0,
Changes In Cash,2127000000.0,4524000000.0,-612000000.0,-2959000000.0,
Other Cash Adjustment Inside Changein Cash,0.0,2071000000.0,-2071000000.0,0.0,
Financing Cash Flow,7739000000.0,4933000000.0,-3011000000.0,4883000000.0,
Cash Flow From Continuing Financing Activities,7739000000.0,4933000000.0,-3011000000.0,4883000000.0,
Net Other Financing Charges,10859000000.0,8171000000.0,2204000000.0,6267000000.0,
Proceeds From Stock Option Exercised,126000000.0,163000000.0,200000000.0,153000000.0,
Cash Dividends Paid,-1846000000.0,-1817000000.0,-1814000000.0,-1766000000.0,
Common Stock Dividend Paid,-1846000000.0,-1817000000.0,-1814000000.0,-1766000000.0,
Net Common Stock Issuance,-1012000000.0,-1488000000.0,-2500000000.0,-500000000.0,
Common Stock Payments,-1012000000.0,-1488000000.0,-2500000000.0,-500000000.0,
Net Issuance Payments Of Debt,-232000000.0,1445000000.0,-1143000000.0,230000000.0,
Net Short Term Debt Issuance,10000000.0,-214000000.0,297000000.0,-21000000.0,
Net Long Term Debt Issuance,-242000000.0,1659000000.0,-1440000000.0,251000000.0,
Long Term Debt Payments,-2318000000.0,-1184000000.0,-1708000000.0,-2762000000.0,
Long Term Debt Issuance,2076000000.0,2843000000.0,268000000.0,3013000000.0,
Investing Cash Flow,-12122000000.0,-7638000000.0,-5342000000.0,-16210000000.0,
Cash Flow From Continuing Investing Activities,-12122000000.0,-7638000000.0,-5342000000.0,-16210000000.0,
Net Other Investing Changes,-676000000.0,-98000000.0,-596000000.0,-278000000.0,
Net Investment Purchase And Sale,-9334000000.0,-8535000000.0,-5614000000.0,-17298000000.0,
Sale Of Investment,86256000000.0,110051000000.0,127445000000.0,127190000000.0,
Purchase Of Investment,-95590000000.0,-118586000000.0,-133059000000.0,-144488000000.0,
Net Business Purchase And Sale,0.0,422000000.0,132000000.0,1454000000.0,
Sale Of Business,0.0,422000000.0,132000000.0,1454000000.0,
Purchase Of Business,,,0.0,0.0,-1755000000.0
Operating Cash Flow,6510000000.0,5158000000.0,9812000000.0,8368000000.0,
Cash Flow From Continuing Operating Activities,6510000000.0,5158000000.0,9812000000.0,8368000000.0,
Change In Working Capital,-958000000.0,-194000000.0,3724000000.0,3027000000.0,
Change In Other Working Capital,-5578000000.0,-5604000000.0,-3974000000.0,-7248000000.0,
Change In Payables And Accrued Expense,,,,-424000000.0,-339000000.0
Change In Payable,,,,-424000000.0,-339000000.0
Change In Tax Payable,,,,-424000000.0,-339000000.0
Change In Income Tax Payable,,,,-424000000.0,-339000000.0
Other Non Cash Items,-2186000000.0,-2230000000.0,-2134000000.0,-2652000000.0,
Asset Impairment Charge,177000000.0,903000000.0,1060000000.0,0.0,
Depreciation And Amortization,-70000000.0,117000000.0,206000000.0,457000000.0,
Operating Gains Losses,878000000.0,2784000000.0,-1929000000.0,-1571000000.0,
Earnings Losses From Equity Investments,-72000000.0,120000000.0,14000000.0,-2000000.0,
Gain Loss On Investment Securities,950000000.0,2664000000.0,-1943000000.0,-1569000000.0,
Net Income From Continuing Operations,2508000000.0,-1675000000.0,8938000000.0,-146000000.0,
