,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,586247000.0,409379000.0,343546000.0,202562000.0
Repurchase Of Capital Stock,0.0,-125000000.0,-30000000.0,0.0
Repayment Of Debt,-1197536000.0,-355297000.0,-168354000.0,-1110125000.0
Issuance Of Debt,1540000000.0,264000000.0,600000000.0,1455000000.0
Issuance Of Capital Stock,21652000.0,21207000.0,21575000.0,18382000.0
Capital Expenditure,-24614000.0,-25947000.0,-25263000.0,-31246000.0
End Cash Position,288798000.0,272888000.0,327047000.0,275960000.0
Beginning Cash Position,272888000.0,327047000.0,275960000.0,270689000.0
Effect Of Exchange Rate Changes,2851000.0,-24203000.0,-127000.0,25000.0
Changes In Cash,13059000.0,-29956000.0,51214000.0,5246000.0
Financing Cash Flow,268313000.0,-264081000.0,370264000.0,297410000.0
Cash Flow From Continuing Financing Activities,268313000.0,-264081000.0,370264000.0,297410000.0
Net Other Financing Charges,-95803000.0,-68991000.0,-52957000.0,-65847000.0
Net Common Stock Issuance,21652000.0,-103793000.0,-8425000.0,18382000.0
Common Stock Payments,0.0,-125000000.0,-30000000.0,0.0
Common Stock Issuance,21652000.0,21207000.0,21575000.0,18382000.0
Net Issuance Payments Of Debt,342464000.0,-91297000.0,431646000.0,344875000.0
Net Short Term Debt Issuance,,,432000000.0,-155125000.0
Short Term Debt Payments,,,-168000000.0,-610125000.0
Short Term Debt Issuance,,,600000000.0,455000000.0
Net Long Term Debt Issuance,342464000.0,-91297000.0,431646000.0,344875000.0
Long Term Debt Payments,-1197536000.0,-355297000.0,-168354000.0,-1110125000.0
Long Term Debt Issuance,1540000000.0,264000000.0,600000000.0,1455000000.0
Investing Cash Flow,-866115000.0,-201201000.0,-687859000.0,-525972000.0
Cash Flow From Continuing Investing Activities,-866115000.0,-201201000.0,-687859000.0,-525972000.0
Net Other Investing Changes,,3408000.0,,
Net Investment Purchase And Sale,-13076000.0,71763000.0,55434000.0,-11248000.0
Sale Of Investment,349000.0,71763000.0,66996000.0,32042000.0
Purchase Of Investment,-13425000.0,0.0,-11562000.0,-43290000.0
Net Business Purchase And Sale,-828425000.0,-250425000.0,-718030000.0,-483478000.0
Sale Of Business,,32518000.0,0.0,0.0
Purchase Of Business,-828425000.0,-282943000.0,-718030000.0,-483478000.0
Net Intangibles Purchase And Sale,-800000.0,-6451000.0,-550000.0,-11050000.0
Purchase Of Intangibles,-800000.0,-6451000.0,-550000.0,-11050000.0
Net PPE Purchase And Sale,-23814000.0,-19496000.0,-24713000.0,-20196000.0
Purchase Of PPE,-23814000.0,-19496000.0,-24713000.0,-20196000.0
Operating Cash Flow,610861000.0,435326000.0,368809000.0,233808000.0
Cash Flow From Continuing Operating Activities,610861000.0,435326000.0,368809000.0,233808000.0
Change In Working Capital,9089000.0,-215107000.0,-179622000.0,-103732000.0
Change In Other Working Capital,82094000.0,12524000.0,-77944000.0,-91311000.0
Change In Other Current Liabilities,-1929000.0,-13610000.0,-7129000.0,-11110000.0
Change In Other Current Assets,6974000.0,-40643000.0,-14206000.0,36189000.0
Change In Payables And Accrued Expense,20557000.0,-8372000.0,39075000.0,-5135000.0
Change In Payable,20557000.0,-8372000.0,39075000.0,-31751000.0
Change In Account Payable,15918000.0,6957000.0,25096000.0,-5135000.0
Change In Tax Payable,4639000.0,-15329000.0,13979000.0,-26616000.0
Change In Income Tax Payable,4639000.0,-15329000.0,13979000.0,-26616000.0
Change In Receivables,-98607000.0,-165006000.0,-119418000.0,-32365000.0
Changes In Account Receivables,-98607000.0,-165006000.0,-119418000.0,-32365000.0
Other Non Cash Items,-4065000.0,-4560000.0,-1381000.0,-3167000.0
Stock Based Compensation,206459000.0,174863000.0,177289000.0,115149000.0
Deferred Tax,16676000.0,42963000.0,-158105000.0,-24641000.0
Deferred Income Tax,16676000.0,42963000.0,-158105000.0,-24641000.0
Depreciation Amortization Depletion,137162000.0,122040000.0,122534000.0,119504000.0
Depreciation And Amortization,137162000.0,122040000.0,122534000.0,119504000.0
Depreciation,137162000.0,122040000.0,122534000.0,119504000.0
Operating Gains Losses,,2046000.0,-68829000.0,
Gain Loss On Investment Securities,,31854000.0,-68829000.0,
Gain Loss On Sale Of Business,0.0,-29808000.0,0.0,0.0
Net Income From Continuing Operations,245540000.0,313081000.0,476923000.0,130695000.0
