,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1630550000.0,1294321000.0,1010197000.0,882510000.0,
Repurchase Of Capital Stock,,,0.0,0.0,-9240000.0
Repayment Of Debt,-10379030000.0,-16291738000.0,-34970279000.0,-27140369000.0,
Issuance Of Debt,11535162000.0,17665533000.0,36226021000.0,27937051000.0,
Issuance Of Capital Stock,103846000.0,2346444000.0,3529097000.0,2315862000.0,
Interest Paid Supplemental Data,46583000.0,63193000.0,139471000.0,161351000.0,
End Cash Position,660771000.0,857975000.0,415227000.0,597705000.0,
Beginning Cash Position,857975000.0,415227000.0,597705000.0,242689000.0,
Effect Of Exchange Rate Changes,-1291000.0,-887000.0,-1712000.0,311000.0,
Changes In Cash,-195913000.0,443635000.0,-180766000.0,354705000.0,
Financing Cash Flow,674156000.0,4229772000.0,5916361000.0,2750356000.0,
Cash Flow From Continuing Financing Activities,674156000.0,4229772000.0,5916361000.0,2750356000.0,
Net Other Financing Charges,261661000.0,1267275000.0,1787490000.0,170792000.0,
Cash Dividends Paid,-847483000.0,-757742000.0,-655968000.0,-532980000.0,
Preferred Stock Dividend Paid,,,0.0,0.0,-4141000.0
Common Stock Dividend Paid,-847483000.0,-757742000.0,-655968000.0,-532980000.0,
Net Preferred Stock Issuance,,,0.0,0.0,-9240000.0
Preferred Stock Payments,,,0.0,0.0,-9240000.0
Net Common Stock Issuance,103846000.0,2346444000.0,3529097000.0,2315862000.0,
Common Stock Issuance,103846000.0,2346444000.0,3529097000.0,2315862000.0,
Net Issuance Payments Of Debt,1156132000.0,1373795000.0,1255742000.0,796682000.0,
Net Short Term Debt Issuance,100000000.0,-270000000.0,170000000.0,-284000000.0,
Short Term Debt Payments,-10379000000.0,-16092500000.0,-34302300000.0,-26523400000.0,
Short Term Debt Issuance,10479000000.0,15822500000.0,34472300000.0,26239400000.0,
Net Long Term Debt Issuance,1056132000.0,1643795000.0,1085742000.0,1080682000.0,
Long Term Debt Payments,-30000.0,-199238000.0,-667979000.0,-616969000.0,
Long Term Debt Issuance,1056162000.0,1843033000.0,1753721000.0,1697651000.0,
Investing Cash Flow,-2500619000.0,-5080458000.0,-7107324000.0,-3278161000.0,
Cash Flow From Continuing Investing Activities,-2500619000.0,-5080458000.0,-7107324000.0,-3278161000.0,
Net Other Investing Changes,-5582000.0,155968000.0,-161696000.0,7408000.0,
Net Investment Purchase And Sale,-6076000.0,-44612000.0,16059000.0,-33506000.0,
Sale Of Investment,183396000.0,198320000.0,424623000.0,141149000.0,
Purchase Of Investment,-189472000.0,-242932000.0,-408564000.0,-174655000.0,
Net Investment Properties Purchase And Sale,-2488303000.0,-5190843000.0,-7333925000.0,-3268844000.0,
Sale Of Investment Properties,1195743000.0,994331000.0,190576000.0,747020000.0,
Purchase Of Investment Properties,-3684046000.0,-6185174000.0,-7524501000.0,-4015864000.0,
Net Business Purchase And Sale,-658000.0,-971000.0,372238000.0,16781000.0,
Sale Of Business,0.0,471000.0,394952000.0,20225000.0,
Purchase Of Business,-658000.0,-1442000.0,-22714000.0,-3444000.0,
Operating Cash Flow,1630550000.0,1294321000.0,1010197000.0,882510000.0,
Cash Flow From Continuing Operating Activities,1630550000.0,1294321000.0,1010197000.0,882510000.0,
Dividend Received Cfo,3257000.0,3374000.0,20350000.0,5908000.0,
Change In Working Capital,2029000.0,-122705000.0,-95266000.0,-70382000.0,
Change In Other Working Capital,-109339000.0,-181322000.0,-131560000.0,-61067000.0,
Change In Other Current Assets,798000.0,-18960000.0,-24591000.0,-10997000.0,
Change In Payables And Accrued Expense,110672000.0,77850000.0,60929000.0,-1122000.0,
Change In Payable,110672000.0,77850000.0,60929000.0,-1122000.0,
Change In Account Payable,110672000.0,77850000.0,60929000.0,-1122000.0,
Change In Receivables,-102000.0,-273000.0,-44000.0,2804000.0,
Changes In Account Receivables,-102000.0,-273000.0,-44000.0,2804000.0,
Other Non Cash Items,-117224000.0,-104070000.0,-105745000.0,-89737000.0,
Stock Based Compensation,82858000.0,57740000.0,48669000.0,43502000.0,
Asset Impairment Charge,461114000.0,64969000.0,52675000.0,48078000.0,
Depreciation Amortization Depletion,1000142000.0,927800000.0,766281000.0,640860000.0,
Depreciation And Amortization,1000142000.0,927800000.0,766281000.0,640860000.0,
Amortization Cash Flow,-93331000.0,-74346000.0,-54780000.0,-57244000.0,
Amortization Of Intangibles,-93331000.0,-74346000.0,-54780000.0,-57244000.0,
Depreciation,1093473000.0,1002146000.0,821061000.0,698104000.0,
Operating Gains Losses,-82620000.0,-203488000.0,-331049000.0,-522890000.0,
Earnings Losses From Equity Investments,-980000.0,-645000.0,-12255000.0,-8148000.0,
Gain Loss On Investment Securities,-81640000.0,-206160000.0,-386047000.0,-575410000.0,
Net Income From Continuing Operations,280994000.0,670701000.0,654282000.0,827171000.0,
