,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1489000000.0,1445000000.0,1594000000.0,1297000000.0,
Repurchase Of Capital Stock,-800000000.0,-850000000.0,-725000000.0,0.0,
Repayment Of Debt,-534000000.0,-500000000.0,-503000000.0,-1000000000.0,
Issuance Of Debt,747000000.0,0.0,2182000000.0,6300000000.0,
Capital Expenditure,-138000000.0,-115000000.0,-156000000.0,-183000000.0,
Interest Paid Supplemental Data,132000000.0,134000000.0,129000000.0,81000000.0,
Income Tax Paid Supplemental Data,546000000.0,562000000.0,552000000.0,561000000.0,
End Cash Position,1274000000.0,1189000000.0,1565000000.0,1782000000.0,
Other Cash Adjustment Outside Changein Cash,-6000000.0,-6000000.0,-1912000000.0,-19000000.0,
Beginning Cash Position,1195000000.0,3477000000.0,1801000000.0,1459000000.0,
Effect Of Exchange Rate Changes,-9000000.0,-157000000.0,-43000000.0,59000000.0,
Changes In Cash,94000000.0,-2125000000.0,1719000000.0,283000000.0,
Financing Cash Flow,-1350000000.0,-3652000000.0,58000000.0,-844000000.0,
Cash Flow From Continuing Financing Activities,-1350000000.0,-3652000000.0,58000000.0,-844000000.0,
Net Other Financing Charges,-111000000.0,-1950000000.0,-199000000.0,-6531000000.0,
Cash Dividends Paid,-539000000.0,-465000000.0,-393000000.0,-260000000.0,
Common Stock Dividend Paid,-539000000.0,-465000000.0,-393000000.0,-260000000.0,
Net Common Stock Issuance,-800000000.0,-850000000.0,-725000000.0,0.0,
Common Stock Payments,-800000000.0,-850000000.0,-725000000.0,0.0,
Net Issuance Payments Of Debt,100000000.0,-387000000.0,1375000000.0,5947000000.0,
Net Short Term Debt Issuance,-113000000.0,113000000.0,-304000000.0,647000000.0,
Net Long Term Debt Issuance,213000000.0,-500000000.0,1679000000.0,5300000000.0,
Long Term Debt Payments,-534000000.0,-500000000.0,-503000000.0,-1000000000.0,
Long Term Debt Issuance,747000000.0,0.0,2182000000.0,6300000000.0,
Investing Cash Flow,-183000000.0,-33000000.0,-89000000.0,-353000000.0,
Cash Flow From Continuing Investing Activities,-183000000.0,-33000000.0,-89000000.0,-353000000.0,
Net Other Investing Changes,15000000.0,9000000.0,34000000.0,3000000.0,
Net Investment Purchase And Sale,-24000000.0,58000000.0,113000000.0,-120000000.0,
Sale Of Investment,,,113000000.0,,
Purchase Of Investment,,,,-120000000.0,-5000000.0
Net Business Purchase And Sale,-36000000.0,15000000.0,-80000000.0,-53000000.0,
Sale Of Business,0.0,61000000.0,0.0,0.0,
Purchase Of Business,-36000000.0,-46000000.0,-80000000.0,-53000000.0,
Capital Expenditure Reported,-138000000.0,-115000000.0,-156000000.0,-183000000.0,
Operating Cash Flow,1627000000.0,1560000000.0,1750000000.0,1480000000.0,
Cash Flow From Continuing Operating Activities,1627000000.0,1560000000.0,1750000000.0,1480000000.0,
Change In Working Capital,-31000000.0,-96000000.0,160000000.0,77000000.0,
Change In Other Working Capital,-30000000.0,38000000.0,53000000.0,282000000.0,
Change In Other Current Assets,38000000.0,52000000.0,43000000.0,28000000.0,
Change In Payables And Accrued Expense,185000000.0,188000000.0,202000000.0,6000000.0,
Change In Accrued Expense,33000000.0,-84000000.0,72000000.0,-14000000.0,
Change In Payable,152000000.0,272000000.0,130000000.0,20000000.0,
Change In Account Payable,152000000.0,272000000.0,130000000.0,20000000.0,
Change In Inventory,15000000.0,-65000000.0,14000000.0,-76000000.0,
Change In Receivables,-239000000.0,-309000000.0,-152000000.0,-163000000.0,
Changes In Account Receivables,-239000000.0,-309000000.0,-152000000.0,-163000000.0,
Other Non Cash Items,-36000000.0,45000000.0,-6000000.0,73000000.0,
Stock Based Compensation,64000000.0,67000000.0,65000000.0,63000000.0,
Asset Impairment Charge,,0.0,0.0,71000000.0,26000000.0
Deferred Tax,-61000000.0,-16000000.0,-92000000.0,-51000000.0,
Deferred Income Tax,-61000000.0,-16000000.0,-92000000.0,-51000000.0,
Depreciation Amortization Depletion,193000000.0,191000000.0,203000000.0,191000000.0,
Depreciation And Amortization,193000000.0,191000000.0,203000000.0,191000000.0,
Amortization Cash Flow,67000000.0,73000000.0,87000000.0,91000000.0,
Amortization Of Intangibles,67000000.0,73000000.0,87000000.0,91000000.0,
Depreciation,126000000.0,118000000.0,116000000.0,100000000.0,
Operating Gains Losses,,,,,26000000.0
Gain Loss On Sale Of Business,,,,0.0,26000000.0
Net Income From Continuing Operations,1498000000.0,1369000000.0,1420000000.0,1056000000.0,
