,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,464678000.0,503421000.0,416248000.0,342927000.0
Repurchase Of Capital Stock,-405526000.0,-1104180000.0,-874179000.0,-235223000.0
Repayment Of Debt,-402000000.0,-988250000.0,-259176000.0,-599716000.0
Issuance Of Debt,407000000.0,1589000000.0,682000000.0,613000000.0
Capital Expenditure,-4237000.0,-6029000.0,-7569000.0,-21989000.0
Interest Paid Supplemental Data,96877000.0,57208000.0,37955000.0,37735000.0
Income Tax Paid Supplemental Data,152775000.0,65332000.0,71486000.0,10152000.0
End Cash Position,136778000.0,133202000.0,195354000.0,157394000.0
Beginning Cash Position,133202000.0,195354000.0,157394000.0,106426000.0
Effect Of Exchange Rate Changes,5616000.0,-18766000.0,-136000.0,59000.0
Changes In Cash,-2040000.0,-43386000.0,38096000.0,50909000.0
Financing Cash Flow,-455001000.0,-547165000.0,-523571000.0,-289424000.0
Cash Flow From Continuing Financing Activities,-455001000.0,-547165000.0,-523571000.0,-289424000.0
Net Other Financing Charges,-76673000.0,-59761000.0,-93097000.0,-109743000.0
Proceeds From Stock Option Exercised,22198000.0,16026000.0,20881000.0,42258000.0
Net Common Stock Issuance,-405526000.0,-1104180000.0,-874179000.0,-235223000.0
Common Stock Payments,-405526000.0,-1104180000.0,-874179000.0,-235223000.0
Net Issuance Payments Of Debt,5000000.0,600750000.0,422824000.0,13284000.0
Net Short Term Debt Issuance,,,423000000.0,-250000000.0
Short Term Debt Payments,,,-259000000.0,-513000000.0
Short Term Debt Issuance,,,682000000.0,263000000.0
Net Long Term Debt Issuance,5000000.0,600750000.0,422824000.0,13284000.0
Long Term Debt Payments,-402000000.0,-988250000.0,-259176000.0,-599716000.0
Long Term Debt Issuance,407000000.0,1589000000.0,682000000.0,613000000.0
Investing Cash Flow,-15954000.0,-5671000.0,137850000.0,-24583000.0
Cash Flow From Continuing Investing Activities,-15954000.0,-5671000.0,137850000.0,-24583000.0
Net Other Investing Changes,-6126000.0,2258000.0,147431000.0,
Dividends Received Cfi,,0.0,-210000.0,55000.0
Net Investment Purchase And Sale,-5591000.0,-1900000.0,-1802000.0,-2649000.0
Sale Of Investment,5032000.0,8063000.0,7237000.0,3470000.0
Purchase Of Investment,-10623000.0,-9963000.0,-9039000.0,-6119000.0
Net Business Purchase And Sale,0.0,0.0,-210000.0,0.0
Sale Of Business,,,147431000.0,0.0
Purchase Of Business,0.0,0.0,-210000.0,0.0
Net PPE Purchase And Sale,-4237000.0,-6029000.0,-7569000.0,-21989000.0
Purchase Of PPE,-4237000.0,-6029000.0,-7569000.0,-21989000.0
Operating Cash Flow,468915000.0,509450000.0,423817000.0,364916000.0
Cash Flow From Continuing Operating Activities,468915000.0,509450000.0,423817000.0,364916000.0
Change In Working Capital,-63448000.0,-35911000.0,-12740000.0,-41308000.0
Change In Other Working Capital,23394000.0,19910000.0,-8658000.0,17789000.0
Change In Other Current Liabilities,-7057000.0,-28830000.0,-20502000.0,693000.0
Change In Payables And Accrued Expense,2236000.0,-2802000.0,-2354000.0,1059000.0
Change In Payable,2236000.0,-2802000.0,-2354000.0,1059000.0
Change In Account Payable,2236000.0,-2802000.0,-2354000.0,1059000.0
Change In Prepaid Assets,-11904000.0,7368000.0,-5722000.0,-960000.0
Change In Receivables,-70117000.0,-31557000.0,24496000.0,-59889000.0
Changes In Account Receivables,-70117000.0,-31557000.0,24496000.0,-59889000.0
Other Non Cash Items,14708000.0,15922000.0,16102000.0,20011000.0
Stock Based Compensation,123847000.0,115355000.0,112457000.0,93681000.0
Provisionand Write Offof Assets,1475000.0,2800000.0,652000.0,3199000.0
Asset Impairment Charge,,0.0,0.0,28016000.0
Deferred Tax,-47378000.0,7816000.0,-5955000.0,-8639000.0
Deferred Income Tax,-47378000.0,7816000.0,-5955000.0,-8639000.0
Depreciation Amortization Depletion,14638000.0,20465000.0,25592000.0,30367000.0
Depreciation And Amortization,14638000.0,20465000.0,25592000.0,30367000.0
Operating Gains Losses,-4302000.0,9462000.0,-104375000.0,3178000.0
Earnings Losses From Equity Investments,,,,0.0
Gain Loss On Investment Securities,-2908000.0,9269000.0,-4569000.0,-2071000.0
Gain Loss On Sale Of PPE,547000.0,193000.0,333000.0,5249000.0
Gain Loss On Sale Of Business,,,-100139000.0,0.0
Net Income From Continuing Operations,429375000.0,373541000.0,392084000.0,236411000.0
