,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2699000000.0,2150000000.0,39000000.0,3168000000.0,
Repayment Of Debt,-14000000.0,,-7000000.0,-11000000.0,-40000000.0
Issuance Of Debt,8260000000.0,14000000.0,0.0,0.0,
Issuance Of Capital Stock,4241000000.0,0.0,0.0,,
Capital Expenditure,-469000000.0,-375000000.0,-295000000.0,-229000000.0,
Interest Paid Supplemental Data,224000000.0,0.0,0.0,,
Income Tax Paid Supplemental Data,699000000.0,316000000.0,363000000.0,448000000.0,
End Cash Position,1382000000.0,1231000000.0,740000000.0,618000000.0,
Beginning Cash Position,1231000000.0,740000000.0,618000000.0,752000000.0,
Effect Of Exchange Rate Changes,-2000000.0,-61000000.0,-41000000.0,9000000.0,
Changes In Cash,153000000.0,552000000.0,163000000.0,-143000000.0,
Financing Cash Flow,-2527000000.0,-1583000000.0,0.0,-3457000000.0,
Cash Flow From Continuing Financing Activities,-2527000000.0,-1583000000.0,0.0,-3457000000.0,
Net Other Financing Charges,-460000000.0,-1597000000.0,7000000.0,-3446000000.0,
Cash Dividends Paid,-14554000000.0,0.0,0.0,,
Common Stock Dividend Paid,-14554000000.0,0.0,0.0,,
Net Common Stock Issuance,4241000000.0,0.0,0.0,,
Common Stock Issuance,4241000000.0,0.0,0.0,,
Net Issuance Payments Of Debt,8246000000.0,14000000.0,-7000000.0,-11000000.0,
Net Short Term Debt Issuance,574000000.0,0.0,0.0,,
Short Term Debt Issuance,574000000.0,0.0,0.0,,
Net Long Term Debt Issuance,7672000000.0,14000000.0,-7000000.0,-11000000.0,
Long Term Debt Payments,-14000000.0,,-7000000.0,-11000000.0,-40000000.0
Long Term Debt Issuance,7686000000.0,14000000.0,0.0,0.0,
Investing Cash Flow,-488000000.0,-390000000.0,-171000000.0,-83000000.0,
Cash Flow From Continuing Investing Activities,-488000000.0,-390000000.0,-171000000.0,-83000000.0,
Net Other Investing Changes,-19000000.0,-15000000.0,124000000.0,,
Net Investment Purchase And Sale,,-5000000.0,-12000000.0,-30000000.0,-20000000.0
Purchase Of Investment,,-5000000.0,-12000000.0,-30000000.0,-20000000.0
Net Business Purchase And Sale,,-10000000.0,136000000.0,176000000.0,-1846000000.0
Sale Of Business,,8000000.0,136000000.0,176000000.0,83000000.0
Purchase Of Business,,-18000000.0,0.0,,-1929000000.0
Net PPE Purchase And Sale,-469000000.0,-375000000.0,-295000000.0,-229000000.0,
Purchase Of PPE,-469000000.0,-375000000.0,-295000000.0,-229000000.0,
Operating Cash Flow,3168000000.0,2525000000.0,334000000.0,3397000000.0,
Cash Flow From Continuing Operating Activities,3168000000.0,2525000000.0,334000000.0,3397000000.0,
Change In Working Capital,797000000.0,-513000000.0,-3132000000.0,4242000000.0,
Change In Other Working Capital,-78000000.0,2000000.0,14000000.0,,3000000.0
Change In Other Current Liabilities,-212000000.0,48000000.0,-32000000.0,236000000.0,
Change In Other Current Assets,-429000000.0,131000000.0,-68000000.0,32000000.0,
Change In Payables And Accrued Expense,1123000000.0,30000000.0,-2666000000.0,3600000000.0,
Change In Accrued Expense,1064000000.0,-17000000.0,-2977000000.0,3542000000.0,
Change In Payable,59000000.0,47000000.0,311000000.0,58000000.0,
Change In Account Payable,390000000.0,52000000.0,330000000.0,154000000.0,
Change In Tax Payable,-331000000.0,-5000000.0,-19000000.0,-96000000.0,
Change In Income Tax Payable,-331000000.0,-5000000.0,-19000000.0,-96000000.0,
Change In Inventory,349000000.0,-582000000.0,-77000000.0,109000000.0,
Change In Receivables,44000000.0,-142000000.0,-303000000.0,265000000.0,
Changes In Account Receivables,44000000.0,-142000000.0,-303000000.0,265000000.0,
Other Non Cash Items,6000000.0,13000000.0,-5000000.0,,
Stock Based Compensation,188000000.0,137000000.0,141000000.0,115000000.0,
Provisionand Write Offof Assets,,9000000.0,4000000.0,9000000.0,13000000.0
Asset Impairment Charge,,4000000.0,-9000000.0,-35000000.0,113000000.0
Deferred Tax,-114000000.0,180000000.0,521000000.0,-801000000.0,
Deferred Income Tax,-114000000.0,180000000.0,521000000.0,-801000000.0,
Depreciation Amortization Depletion,627000000.0,644000000.0,731000000.0,746000000.0,
Depreciation And Amortization,627000000.0,644000000.0,731000000.0,746000000.0,
Amortization Cash Flow,322000000.0,348000000.0,414000000.0,415000000.0,
Amortization Of Intangibles,322000000.0,348000000.0,414000000.0,415000000.0,
Depreciation,305000000.0,296000000.0,317000000.0,331000000.0,
Operating Gains Losses,,,,,-275000000.0
Earnings Losses From Equity Investments,,,0.0,,-275000000.0
Net Income From Continuing Operations,1664000000.0,2064000000.0,2078000000.0,-879000000.0,
