,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,-3687000000.0,-19000000.0,6573000000.0,3949000000.0
Repurchase Of Capital Stock,-902000000.0,-216000000.0,-150000000.0,-291000000.0
Repayment Of Debt,-3391000000.0,-967000000.0,-875000000.0,-855000000.0
Issuance Of Debt,3200000000.0,1025000000.0,737000000.0,1344000000.0
Capital Expenditure,-173000000.0,-91000000.0,-74000000.0,-124000000.0
Interest Paid Supplemental Data,1310000000.0,323000000.0,145000000.0,164000000.0
Income Tax Paid Supplemental Data,565000000.0,524000000.0,437000000.0,246000000.0
End Cash Position,12548000000.0,14659000000.0,16449000000.0,9634000000.0
Beginning Cash Position,14659000000.0,16449000000.0,9634000000.0,5971000000.0
Effect Of Exchange Rate Changes,239000000.0,-590000000.0,76000000.0,1000000.0
Changes In Cash,-2350000000.0,-1200000000.0,6739000000.0,3662000000.0
Financing Cash Flow,1438000000.0,5879000000.0,5232000000.0,4574000000.0
Cash Flow From Continuing Financing Activities,1438000000.0,5879000000.0,5232000000.0,4574000000.0
Net Other Financing Charges,-2000000.0,-7000000.0,-9000000.0,-1000000.0
Proceeds From Stock Option Exercised,46000000.0,52000000.0,53000000.0,62000000.0
Cash Dividends Paid,-355000000.0,-277000000.0,-218000000.0,-205000000.0
Common Stock Dividend Paid,,,-218000000.0,-205000000.0
Net Preferred Stock Issuance,-40000000.0,0.0,0.0,
Preferred Stock Payments,-40000000.0,0.0,0.0,
Net Common Stock Issuance,-862000000.0,-216000000.0,-150000000.0,-291000000.0
Common Stock Payments,-862000000.0,-216000000.0,-150000000.0,-291000000.0
Net Issuance Payments Of Debt,-191000000.0,58000000.0,-138000000.0,489000000.0
Net Short Term Debt Issuance,,,0.0,0.0
Short Term Debt Payments,,,0.0,0.0
Short Term Debt Issuance,,,0.0,0.0
Net Long Term Debt Issuance,-191000000.0,58000000.0,-138000000.0,489000000.0
Long Term Debt Payments,-3391000000.0,-967000000.0,-875000000.0,-855000000.0
Long Term Debt Issuance,3200000000.0,1025000000.0,737000000.0,1344000000.0
Investing Cash Flow,-274000000.0,-7151000000.0,-5140000000.0,-4985000000.0
Cash Flow From Continuing Investing Activities,-274000000.0,-7151000000.0,-5140000000.0,-4985000000.0
Net Other Investing Changes,-69000000.0,-218000000.0,-19000000.0,-59000000.0
Net Investment Purchase And Sale,550000000.0,-1281000000.0,-1041000000.0,-4295000000.0
Sale Of Investment,1262000000.0,1788000000.0,3177000000.0,1415000000.0
Purchase Of Investment,-712000000.0,-3069000000.0,-4218000000.0,-5710000000.0
Net Business Purchase And Sale,0.0,1461000000.0,-266000000.0,-5000000.0
Sale Of Business,,1461000000.0,,
Purchase Of Business,0.0,,-266000000.0,-5000000.0
Net PPE Purchase And Sale,-173000000.0,-91000000.0,-74000000.0,-124000000.0
Purchase Of PPE,-173000000.0,-91000000.0,-74000000.0,-124000000.0
Operating Cash Flow,-3514000000.0,72000000.0,6647000000.0,4073000000.0
Cash Flow From Continuing Operating Activities,-3514000000.0,72000000.0,6647000000.0,4073000000.0
Change In Working Capital,-5773000000.0,-2148000000.0,5011000000.0,2684000000.0
Change In Other Working Capital,-163000000.0,527000000.0,-88000000.0,99000000.0
Change In Other Current Liabilities,123000000.0,-76000000.0,416000000.0,70000000.0
Change In Other Current Assets,-52000000.0,1974000000.0,-2084000000.0,-13000000.0
Change In Payables And Accrued Expense,-6088000000.0,-4213000000.0,7306000000.0,2505000000.0
Change In Payable,-6088000000.0,-4213000000.0,7306000000.0,2505000000.0
Change In Account Payable,,,,2486000000.0
Change In Receivables,257000000.0,-203000000.0,-420000000.0,127000000.0
Changes In Account Receivables,,,,127000000.0
Other Non Cash Items,-37000000.0,256000000.0,-89000000.0,57000000.0
Stock Based Compensation,237000000.0,192000000.0,132000000.0,120000000.0
Asset Impairment Charge,,,0.0,0.0
Deferred Tax,-88000000.0,-16000000.0,-37000000.0,-39000000.0
Deferred Income Tax,-88000000.0,-16000000.0,-37000000.0,-39000000.0
Depreciation Amortization Depletion,165000000.0,145000000.0,134000000.0,119000000.0
Depreciation And Amortization,165000000.0,145000000.0,134000000.0,119000000.0
Operating Gains Losses,,,98000000.0,
Net Income From Continuing Operations,1739000000.0,1509000000.0,1403000000.0,818000000.0
