,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1838000000.0,899000000.0,1518000000.0,330000000.0,
Repurchase Of Capital Stock,-538000000.0,-828000000.0,-434000000.0,0.0,
Repayment Of Debt,-651000000.0,0.0,-2145000000.0,-246000000.0,
Issuance Of Debt,0.0,0.0,1250000000.0,1237000000.0,
Capital Expenditure,-1224000000.0,-989000000.0,-856000000.0,-974000000.0,
Interest Paid Supplemental Data,309000000.0,291000000.0,305000000.0,289000000.0,
Income Tax Paid Supplemental Data,595000000.0,498000000.0,314000000.0,441000000.0,
End Cash Position,2646000000.0,2488000000.0,3853000000.0,4132000000.0,
Beginning Cash Position,2488000000.0,3853000000.0,4132000000.0,3249000000.0,
Effect Of Exchange Rate Changes,-59000000.0,-97000000.0,-47000000.0,-28000000.0,
Changes In Cash,217000000.0,-1268000000.0,-232000000.0,911000000.0,
Financing Cash Flow,-2028000000.0,-1592000000.0,-2143000000.0,225000000.0,
Cash Flow From Continuing Financing Activities,-2028000000.0,-1592000000.0,-2143000000.0,225000000.0,
Net Other Financing Charges,-53000000.0,-21000000.0,-65000000.0,-22000000.0,
Cash Dividends Paid,-786000000.0,-743000000.0,-749000000.0,-744000000.0,
Common Stock Dividend Paid,,-743000000.0,-749000000.0,-744000000.0,-745000000.0
Net Common Stock Issuance,-538000000.0,-828000000.0,-434000000.0,0.0,
Common Stock Payments,-538000000.0,-828000000.0,-434000000.0,0.0,
Net Issuance Payments Of Debt,-651000000.0,0.0,-895000000.0,991000000.0,
Net Short Term Debt Issuance,0.0,0.0,-832000000.0,533000000.0,
Short Term Debt Payments,0.0,0.0,-832000000.0,-204000000.0,
Short Term Debt Issuance,,0.0,,737000000.0,0.0
Net Long Term Debt Issuance,-651000000.0,0.0,-63000000.0,458000000.0,
Long Term Debt Payments,-651000000.0,0.0,-1313000000.0,-42000000.0,
Long Term Debt Issuance,0.0,0.0,1250000000.0,500000000.0,
Investing Cash Flow,-817000000.0,-1564000000.0,-463000000.0,-618000000.0,
Cash Flow From Continuing Investing Activities,-817000000.0,-1564000000.0,-463000000.0,-618000000.0,
Net Other Investing Changes,43000000.0,166000000.0,263000000.0,226000000.0,
Net Investment Purchase And Sale,372000000.0,26000000.0,147000000.0,,
Sale Of Investment,372000000.0,26000000.0,147000000.0,,
Net Business Purchase And Sale,-8000000.0,-767000000.0,-17000000.0,130000000.0,
Sale Of Business,293000000.0,0.0,70000000.0,187000000.0,
Purchase Of Business,-301000000.0,-767000000.0,-87000000.0,-57000000.0,
Capital Expenditure Reported,-1224000000.0,-989000000.0,-856000000.0,-974000000.0,
Operating Cash Flow,3062000000.0,1888000000.0,2374000000.0,1304000000.0,
Cash Flow From Continuing Operating Activities,3062000000.0,1888000000.0,2374000000.0,1304000000.0,
Change In Working Capital,428000000.0,180000000.0,409000000.0,393000000.0,
Change In Other Working Capital,2025000000.0,1161000000.0,-143000000.0,573000000.0,
Change In Other Current Liabilities,,,-72000000.0,396000000.0,1147000000.0
Change In Other Current Assets,,,,-69000000.0,-60000000.0
Change In Payables And Accrued Expense,61000000.0,605000000.0,246000000.0,-711000000.0,
Change In Payable,61000000.0,605000000.0,246000000.0,-711000000.0,
Change In Account Payable,61000000.0,605000000.0,246000000.0,-711000000.0,
Change In Inventory,-461000000.0,-885000000.0,170000000.0,-80000000.0,
Change In Receivables,-1197000000.0,-701000000.0,136000000.0,611000000.0,
Changes In Account Receivables,-986000000.0,-625000000.0,-126000000.0,680000000.0,
Other Non Cash Items,,,,,-305000000.0
Stock Based Compensation,197000000.0,207000000.0,205000000.0,210000000.0,
Unrealized Gain Loss On Investment Securities,,,,-1417000000.0,0.0
Asset Impairment Charge,34000000.0,197000000.0,7000000.0,16209000000.0,
Deferred Tax,-59000000.0,105000000.0,133000000.0,160000000.0,
Deferred Income Tax,-59000000.0,105000000.0,133000000.0,160000000.0,
Depreciation Amortization Depletion,1087000000.0,1061000000.0,1105000000.0,1317000000.0,
Depreciation And Amortization,1087000000.0,1061000000.0,1105000000.0,1317000000.0,
Amortization Cash Flow,257000000.0,222000000.0,253000000.0,308000000.0,
Amortization Of Intangibles,257000000.0,222000000.0,253000000.0,308000000.0,
Depreciation,830000000.0,839000000.0,852000000.0,1009000000.0,
Operating Gains Losses,-595000000.0,716000000.0,845000000.0,-1064000000.0,
Earnings Losses From Equity Investments,,,,0.0,0.0
Gain Loss On Investment Securities,-555000000.0,265000000.0,845000000.0,-1417000000.0,
Gain Loss On Sale Of Business,-40000000.0,451000000.0,0.0,353000000.0,
Net Income From Continuing Operations,1970000000.0,-578000000.0,-330000000.0,-15761000000.0,
