,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,274000000.0,2623000000.0,3171000000.0,2545000000.0
Repurchase Of Capital Stock,-2214000000.0,-500000000.0,-500000000.0,-942000000.0
Repayment Of Debt,-3637000000.0,-1687000000.0,-883000000.0,-1636000000.0
Issuance Of Debt,395000000.0,5378000000.0,71000000.0,3276000000.0
Capital Expenditure,-363000000.0,-299000000.0,-404000000.0,-538000000.0
End Cash Position,8051000000.0,1804000000.0,2354000000.0,3315000000.0
Beginning Cash Position,1804000000.0,2354000000.0,3315000000.0,1494000000.0
Effect Of Exchange Rate Changes,18000000.0,-186000000.0,6000000.0,-13000000.0
Changes In Cash,6229000000.0,-364000000.0,-967000000.0,1834000000.0
Financing Cash Flow,-6823000000.0,2048000000.0,-2422000000.0,-509000000.0
Cash Flow From Continuing Financing Activities,-6823000000.0,2048000000.0,-2422000000.0,-509000000.0
Net Other Financing Charges,-169000000.0,80000000.0,100000000.0,2000000.0
Cash Dividends Paid,-1198000000.0,-1223000000.0,-1210000000.0,-1209000000.0
Common Stock Dividend Paid,-1198000000.0,-1223000000.0,-1210000000.0,-1209000000.0
Net Common Stock Issuance,-2214000000.0,-500000000.0,-500000000.0,-942000000.0
Common Stock Payments,-2214000000.0,-500000000.0,-500000000.0,-942000000.0
Net Issuance Payments Of Debt,-3242000000.0,3691000000.0,-812000000.0,1640000000.0
Net Short Term Debt Issuance,-1583000000.0,1238000000.0,-504000000.0,-90000000.0
Short Term Debt Payments,-1978000000.0,-1165000000.0,-575000000.0,-1133000000.0
Short Term Debt Issuance,395000000.0,2403000000.0,71000000.0,1043000000.0
Net Long Term Debt Issuance,-1659000000.0,2453000000.0,-308000000.0,1730000000.0
Long Term Debt Payments,-1659000000.0,-522000000.0,-308000000.0,-503000000.0
Long Term Debt Issuance,0.0,2975000000.0,0.0,2233000000.0
Investing Cash Flow,12415000000.0,-5334000000.0,-2120000000.0,-740000000.0
Cash From Discontinued Investing Activities,12530000000.0,350000000.0,-129000000.0,
Cash Flow From Continuing Investing Activities,-115000000.0,-5684000000.0,-1991000000.0,-740000000.0
Net Other Investing Changes,777000000.0,-138000000.0,-25000000.0,-76000000.0
Net Investment Purchase And Sale,176000000.0,438000000.0,0.0,
Sale Of Investment,176000000.0,438000000.0,0.0,
Net Business Purchase And Sale,-705000000.0,-5685000000.0,-1562000000.0,-126000000.0
Sale Of Business,0.0,17000000.0,30000000.0,0.0
Purchase Of Business,-705000000.0,-5702000000.0,-1592000000.0,-126000000.0
Capital Expenditure Reported,-363000000.0,-299000000.0,-404000000.0,-538000000.0
Operating Cash Flow,637000000.0,2922000000.0,3575000000.0,3083000000.0
Cash From Discontinued Operating Activities,-2089000000.0,874000000.0,1117000000.0,
Cash Flow From Continuing Operating Activities,2726000000.0,2048000000.0,2458000000.0,3083000000.0
Change In Working Capital,-190000000.0,-312000000.0,167000000.0,148000000.0
Change In Other Current Assets,-1000000.0,-56000000.0,-91000000.0,33000000.0
Change In Payables And Accrued Expense,162000000.0,221000000.0,287000000.0,-86000000.0
Change In Accrued Expense,179000000.0,74000000.0,180000000.0,110000000.0
Change In Payable,-17000000.0,147000000.0,107000000.0,-196000000.0
Change In Account Payable,-17000000.0,147000000.0,107000000.0,-196000000.0
Change In Inventory,-160000000.0,-334000000.0,-11000000.0,-6000000.0
Change In Receivables,-191000000.0,-143000000.0,-18000000.0,207000000.0
Other Non Cash Items,-237000000.0,4000000.0,-71000000.0,-20000000.0
Stock Based Compensation,250000000.0,125000000.0,197000000.0,110000000.0
Depreciation Amortization Depletion,1051000000.0,842000000.0,762000000.0,854000000.0
Depreciation And Amortization,1051000000.0,842000000.0,762000000.0,854000000.0
Amortization Cash Flow,,563000000.0,470000000.0,369000000.0
Amortization Of Intangibles,,563000000.0,470000000.0,369000000.0
Depreciation,,476000000.0,499000000.0,485000000.0
Operating Gains Losses,-275000000.0,-494000000.0,-13000000.0,1000000.0
Pension And Employee Benefit Expense,-114000000.0,-41000000.0,-13000000.0,1000000.0
Gain Loss On Investment Securities,-161000000.0,-453000000.0,,
Gain Loss On Sale Of Business,,-939000000.0,0.0,0.0
Net Income From Continuing Operations,2127000000.0,1883000000.0,1416000000.0,1990000000.0
