,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,12651000000.0,11948000000.0,15234000000.0,13299000000.0,
Repurchase Of Capital Stock,-5155000000.0,-8001000000.0,-6287000000.0,-1546000000.0,
Repayment Of Debt,-3879000000.0,-11431000000.0,-6022000000.0,-2750000000.0,
Issuance Of Debt,4455000000.0,5926000000.0,0.0,6945000000.0,
Capital Expenditure,-1209000000.0,-1118000000.0,-973000000.0,-753000000.0,
End Cash Position,11519000000.0,9325000000.0,14316000000.0,14973000000.0,
Beginning Cash Position,9325000000.0,14316000000.0,14973000000.0,12820000000.0,
Effect Of Exchange Rate Changes,45000000.0,-33000000.0,-102000000.0,111000000.0,
Changes In Cash,2149000000.0,-4958000000.0,-555000000.0,2042000000.0,
Financing Cash Flow,-9416000000.0,-16962000000.0,-16224000000.0,-1151000000.0,
Cash Flow From Continuing Financing Activities,-9416000000.0,-16962000000.0,-16224000000.0,-1151000000.0,
Net Other Financing Charges,,,641000000.0,542000000.0,-53000000.0
Proceeds From Stock Option Exercised,27000000.0,984000000.0,641000000.0,,
Cash Dividends Paid,-4744000000.0,-4634000000.0,-4396000000.0,-4075000000.0,
Common Stock Dividend Paid,-4744000000.0,-4634000000.0,-4396000000.0,-4075000000.0,
Net Common Stock Issuance,-5155000000.0,-8001000000.0,-6287000000.0,-1546000000.0,
Common Stock Payments,-5155000000.0,-8001000000.0,-6287000000.0,-1546000000.0,
Net Issuance Payments Of Debt,456000000.0,-5311000000.0,-6182000000.0,3928000000.0,
Net Short Term Debt Issuance,-120000000.0,194000000.0,-160000000.0,-267000000.0,
Net Long Term Debt Issuance,576000000.0,-5505000000.0,-6022000000.0,4195000000.0,
Long Term Debt Payments,-3879000000.0,-11431000000.0,-6022000000.0,-2750000000.0,
Long Term Debt Issuance,4455000000.0,5926000000.0,0.0,6945000000.0,
Investing Cash Flow,-2295000000.0,-1062000000.0,-538000000.0,-10859000000.0,
Cash Flow From Continuing Investing Activities,-2295000000.0,-1062000000.0,-538000000.0,-10859000000.0,
Net Investment Purchase And Sale,-826000000.0,3037000000.0,1297000000.0,2237000000.0,
Sale Of Investment,948000000.0,6629000000.0,6775000000.0,6409000000.0,
Purchase Of Investment,-1774000000.0,-3592000000.0,-5478000000.0,-4172000000.0,
Net Business Purchase And Sale,-260000000.0,-2981000000.0,-862000000.0,-12343000000.0,
Sale Of Business,909000000.0,1305000000.0,748000000.0,741000000.0,
Purchase Of Business,-1169000000.0,-4286000000.0,-1610000000.0,-13084000000.0,
Capital Expenditure Reported,-1209000000.0,-1118000000.0,-973000000.0,-753000000.0,
Operating Cash Flow,13860000000.0,13066000000.0,16207000000.0,14052000000.0,
Cash Flow From Continuing Operating Activities,13860000000.0,13066000000.0,16207000000.0,14052000000.0,
Change In Working Capital,-1914000000.0,-2229000000.0,-1261000000.0,983000000.0,
Change In Other Working Capital,237000000.0,-183000000.0,598000000.0,1074000000.0,
Change In Payables And Accrued Expense,-405000000.0,-1314000000.0,-818000000.0,-2117000000.0,
Change In Payable,-405000000.0,-1314000000.0,-818000000.0,-2117000000.0,
Change In Account Payable,198000000.0,109000000.0,245000000.0,188000000.0,
Change In Tax Payable,-603000000.0,-1423000000.0,-1063000000.0,-2305000000.0,
Change In Income Tax Payable,-603000000.0,-1423000000.0,-1063000000.0,-2305000000.0,
Change In Inventory,-751000000.0,-69000000.0,13000000.0,2672000000.0,
Change In Receivables,-995000000.0,-663000000.0,-1054000000.0,-646000000.0,
Other Non Cash Items,1213000000.0,1038000000.0,800000000.0,9504000000.0,
Stock Based Compensation,518000000.0,457000000.0,583000000.0,779000000.0,
Asset Impairment Charge,255000000.0,179000000.0,1207000000.0,1203000000.0,
Deferred Tax,-3288000000.0,-2738000000.0,-1393000000.0,983000000.0,
Deferred Income Tax,-3288000000.0,-2738000000.0,-1393000000.0,983000000.0,
Depreciation Amortization Depletion,9760000000.0,10276000000.0,10686000000.0,10380000000.0,
Depreciation And Amortization,9760000000.0,10276000000.0,10686000000.0,10380000000.0,
Operating Gains Losses,-724000000.0,-262000000.0,-1429000000.0,-785000000.0,
Pension And Employee Benefit Expense,,,35000000.0,43000000.0,1688000000.0
Earnings Losses From Equity Investments,160000000.0,801000000.0,-745000000.0,-1228000000.0,
Gain Loss On Sale Of Business,-884000000.0,-1063000000.0,-684000000.0,-699000000.0,
Net Income From Continuing Operations,8040000000.0,6345000000.0,7014000000.0,-8995000000.0,
