,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,837277000.0,347094000.0,633462000.0,688580000.0
Repurchase Of Capital Stock,-265714000.0,-281926000.0,-274948000.0,-337251000.0
Repayment Of Debt,-4490032000.0,-2426525000.0,-3224640000.0,-2721475000.0
Issuance Of Debt,3873479000.0,3145500000.0,4445080000.0,2986739000.0
Issuance Of Capital Stock,47782000.0,51034000.0,38077000.0,37235000.0
Capital Expenditure,-137486000.0,-127615000.0,-92814000.0,-118269000.0
End Cash Position,929445000.0,1154207000.0,1026575000.0,862424000.0
Beginning Cash Position,1154207000.0,1026575000.0,862424000.0,631068000.0
Effect Of Exchange Rate Changes,32548000.0,-128892000.0,19635000.0,61914000.0
Changes In Cash,-257310000.0,256524000.0,144516000.0,169442000.0
Financing Cash Flow,-1086410000.0,320234000.0,798983000.0,-208315000.0
Cash Flow From Continuing Financing Activities,-1086410000.0,320234000.0,798983000.0,-208315000.0
Net Other Financing Charges,-123505000.0,-51901000.0,-77398000.0,-75663000.0
Cash Dividends Paid,-128420000.0,-115948000.0,-107188000.0,-97900000.0
Common Stock Dividend Paid,-128420000.0,-115948000.0,-107188000.0,-97900000.0
Net Common Stock Issuance,-217932000.0,-230892000.0,-236871000.0,-300016000.0
Common Stock Payments,-265714000.0,-281926000.0,-274948000.0,-337251000.0
Common Stock Issuance,47782000.0,51034000.0,38077000.0,37235000.0
Net Issuance Payments Of Debt,-616553000.0,718975000.0,1220440000.0,265264000.0
Net Short Term Debt Issuance,9658000.0,-6359000.0,-7675000.0,-199930000.0
Short Term Debt Payments,-3353000.0,-6359000.0,-7675000.0,-200008000.0
Short Term Debt Issuance,13011000.0,0.0,0.0,78000.0
Net Long Term Debt Issuance,-626211000.0,725334000.0,1228115000.0,465194000.0
Long Term Debt Payments,-4486679000.0,-2420166000.0,-3216965000.0,-2521467000.0
Long Term Debt Issuance,3860468000.0,3145500000.0,4445080000.0,2986661000.0
Investing Cash Flow,-145663000.0,-538419000.0,-1380743000.0,-429092000.0
Cash Flow From Continuing Investing Activities,-145663000.0,-538419000.0,-1380743000.0,-429092000.0
Net Investment Purchase And Sale,0.0,13862000.0,421315000.0,0.0
Sale Of Investment,0.0,13862000.0,421315000.0,0.0
Net Business Purchase And Sale,-9721000.0,-434058000.0,-1709718000.0,-310919000.0
Sale Of Business,7964000.0,3025000.0,36360000.0,
Purchase Of Business,-17685000.0,-437083000.0,-1746078000.0,-310919000.0
Net PPE Purchase And Sale,-135942000.0,-118223000.0,-92340000.0,-118173000.0
Sale Of PPE,1544000.0,9392000.0,474000.0,96000.0
Purchase Of PPE,-137486000.0,-127615000.0,-92814000.0,-118269000.0
Operating Cash Flow,974763000.0,474709000.0,726276000.0,806849000.0
Cash Flow From Continuing Operating Activities,974763000.0,474709000.0,726276000.0,806849000.0
Change In Working Capital,-103832000.0,-762680000.0,-95710000.0,-174269000.0
Change In Other Current Liabilities,-49957000.0,-73697000.0,-63915000.0,-64390000.0
Change In Other Current Assets,92050000.0,113850000.0,116097000.0,110678000.0
Change In Payables And Accrued Expense,-103534000.0,-534892000.0,-396846000.0,-85493000.0
Change In Accrued Expense,-279136000.0,-552036000.0,-252305000.0,-27849000.0
Change In Payable,175602000.0,17144000.0,-144541000.0,-57644000.0
Change In Account Payable,166194000.0,87402000.0,-165502000.0,-92838000.0
Change In Tax Payable,9408000.0,-70258000.0,20961000.0,35194000.0
Change In Income Tax Payable,9408000.0,-70258000.0,20961000.0,35194000.0
Change In Prepaid Assets,-33996000.0,6000.0,6800000.0,-27280000.0
Change In Receivables,-8395000.0,-267947000.0,242154000.0,-107784000.0
Changes In Account Receivables,,,242154000.0,-107784000.0
Other Non Cash Items,-1572000.0,-22472000.0,2079000.0,-24968000.0
Stock Based Compensation,74337000.0,53383000.0,56221000.0,48150000.0
Asset Impairment Charge,48163000.0,78292000.0,40640000.0,162238000.0
Deferred Tax,-76815000.0,111846000.0,113623000.0,82275000.0
Deferred Income Tax,-76815000.0,111846000.0,113623000.0,82275000.0
Depreciation Amortization Depletion,307252000.0,301056000.0,250800000.0,181633000.0
Depreciation And Amortization,307252000.0,301056000.0,250800000.0,181633000.0
Amortization Cash Flow,203906000.0,198602000.0,149776000.0,90563000.0
Amortization Of Intangibles,203906000.0,198602000.0,149776000.0,90563000.0
Depreciation,103346000.0,102454000.0,101024000.0,91070000.0
Operating Gains Losses,7574000.0,-128000.0,-72206000.0,7923000.0
Pension And Employee Benefit Expense,208000.0,123000.0,2783000.0,4598000.0
Earnings Losses From Equity Investments,-324000.0,18291000.0,10941000.0,9172000.0
Gain Loss On Investment Securities,,-13862000.0,-71325000.0,103623000.0
Gain Loss On Sale Of Business,0.0,0.0,-15608000.0,-110236000.0
Net Income From Continuing Operations,719656000.0,715412000.0,430829000.0,523867000.0
