,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,2753000000.0,1046000000.0,1522000000.0,2147000000.0,
Repurchase Of Capital Stock,0.0,-374000000.0,-1402000000.0,-641000000.0,
Repayment Of Debt,-1136000000.0,-1550000000.0,-73000000.0,-73000000.0,
Issuance Of Debt,861000000.0,2103000000.0,79000000.0,2014000000.0,
Issuance Of Capital Stock,,,56000000.0,88000000.0,76000000.0
Capital Expenditure,-1213000000.0,-916000000.0,-734000000.0,-575000000.0,
End Cash Position,2179000000.0,2101000000.0,2592000000.0,3401000000.0,
Beginning Cash Position,2101000000.0,2592000000.0,3401000000.0,1129000000.0,
Effect Of Exchange Rate Changes,-68000000.0,50000000.0,35000000.0,-11000000.0,
Changes In Cash,146000000.0,-541000000.0,-844000000.0,2283000000.0,
Financing Cash Flow,-2177000000.0,1669000000.0,-2227000000.0,280000000.0,
Cash Flow From Continuing Financing Activities,-2177000000.0,1669000000.0,-2227000000.0,280000000.0,
Net Other Financing Charges,-202000000.0,84000000.0,-12000000.0,1000000.0,
Cash Dividends Paid,-921000000.0,-855000000.0,-809000000.0,-782000000.0,
Common Stock Dividend Paid,-921000000.0,-855000000.0,-809000000.0,-782000000.0,
Net Common Stock Issuance,0.0,-374000000.0,-1402000000.0,-553000000.0,
Common Stock Payments,0.0,-374000000.0,-1402000000.0,-641000000.0,
Common Stock Issuance,,,56000000.0,88000000.0,76000000.0
Net Issuance Payments Of Debt,-1054000000.0,2814000000.0,-4000000.0,1614000000.0,
Net Short Term Debt Issuance,-779000000.0,2261000000.0,-10000000.0,-327000000.0,
Short Term Debt Payments,,,,-337000000.0,-120000000.0
Short Term Debt Issuance,,,,10000000.0,53000000.0
Net Long Term Debt Issuance,-275000000.0,553000000.0,6000000.0,1941000000.0,
Long Term Debt Payments,-1136000000.0,-1550000000.0,-73000000.0,-73000000.0,
Long Term Debt Issuance,861000000.0,2103000000.0,79000000.0,2014000000.0,
Investing Cash Flow,-1643000000.0,-4172000000.0,-873000000.0,-719000000.0,
Cash Flow From Continuing Investing Activities,-1643000000.0,-4172000000.0,-873000000.0,-719000000.0,
Net Other Investing Changes,-63000000.0,-143000000.0,-6000000.0,27000000.0,
Net Investment Purchase And Sale,-75000000.0,78000000.0,-133000000.0,-120000000.0,
Sale Of Investment,1334000000.0,1151000000.0,673000000.0,473000000.0,
Purchase Of Investment,-1409000000.0,-1073000000.0,-806000000.0,-593000000.0,
Net Business Purchase And Sale,-292000000.0,-3191000000.0,0.0,-51000000.0,
Purchase Of Business,-292000000.0,-3191000000.0,0.0,-51000000.0,
Net Intangibles Purchase And Sale,,,-52000000.0,-47000000.0,-75000000.0
Purchase Of Intangibles,,,-52000000.0,-47000000.0,-75000000.0
Net PPE Purchase And Sale,,,20000000.0,0.0,0.0
Sale Of PPE,,,20000000.0,0.0,0.0
Capital Expenditure Reported,-1213000000.0,-916000000.0,-734000000.0,-528000000.0,
Operating Cash Flow,3966000000.0,1962000000.0,2256000000.0,2722000000.0,
Cash Flow From Continuing Operating Activities,3966000000.0,1962000000.0,2256000000.0,2722000000.0,
Change In Working Capital,2418000000.0,-1005000000.0,-359000000.0,554000000.0,
Change In Other Working Capital,,,,189000000.0,240000000.0
Change In Other Current Liabilities,,-1000000.0,-6000000.0,189000000.0,240000000.0
Change In Other Current Assets,-120000000.0,-109000000.0,2000000.0,-39000000.0,
Change In Payables And Accrued Expense,2868000000.0,368000000.0,758000000.0,409000000.0,
Change In Accrued Expense,2934000000.0,-170000000.0,541000000.0,121000000.0,
Change In Payable,-66000000.0,538000000.0,217000000.0,288000000.0,
Change In Account Payable,-66000000.0,538000000.0,217000000.0,288000000.0,
Change In Inventory,0.0,-567000000.0,-945000000.0,46000000.0,
Change In Receivables,-330000000.0,-697000000.0,-174000000.0,-51000000.0,
Other Non Cash Items,214000000.0,186000000.0,-218000000.0,-302000000.0,
Stock Based Compensation,,,37000000.0,31000000.0,49000000.0
Deferred Tax,-457000000.0,-274000000.0,7000000.0,7000000.0,
Deferred Income Tax,-457000000.0,-274000000.0,7000000.0,7000000.0,
Depreciation Amortization Depletion,1024000000.0,784000000.0,662000000.0,673000000.0,
Depreciation And Amortization,1024000000.0,784000000.0,662000000.0,673000000.0,
Operating Gains Losses,-73000000.0,88000000.0,37000000.0,-52000000.0,
Pension And Employee Benefit Expense,8000000.0,24000000.0,83000000.0,108000000.0,
Earnings Losses From Equity Investments,-81000000.0,64000000.0,-83000000.0,-105000000.0,
Gain Loss On Investment Securities,,,,-57000000.0,-61000000.0
Net Foreign Currency Exchange Gain Loss,,-27000000.0,37000000.0,2000000.0,-105000000.0
Net Income From Continuing Operations,840000000.0,2183000000.0,2164000000.0,1811000000.0,
