,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,4121000000.0,911000000.0,5146000000.0,4827000000.0
Repurchase Of Capital Stock,-7216000000.0,-3597000000.0,-2538000000.0,-750000000.0
Repayment Of Debt,-7913000000.0,-8445000000.0,-7090000000.0,-7383000000.0
Issuance Of Debt,19437000000.0,14210000000.0,9540000000.0,9271000000.0
Issuance Of Capital Stock,,63000000.0,148000000.0,331000000.0
Capital Expenditure,-4468000000.0,-3788000000.0,-2580000000.0,-2656000000.0
Interest Paid Supplemental Data,2227000000.0,1101000000.0,1041000000.0,
Income Tax Paid Supplemental Data,3578000000.0,1940000000.0,2075000000.0,
End Cash Position,7620000000.0,4941000000.0,8125000000.0,7172000000.0
Beginning Cash Position,4941000000.0,8125000000.0,7172000000.0,3956000000.0
Effect Of Exchange Rate Changes,31000000.0,-224000000.0,55000000.0,32000000.0
Changes In Cash,2648000000.0,-2960000000.0,898000000.0,3184000000.0
Financing Cash Flow,2808000000.0,826000000.0,-1078000000.0,-980000000.0
Cash Flow From Continuing Financing Activities,2808000000.0,826000000.0,-1078000000.0,-980000000.0
Net Other Financing Charges,-73000000.0,-29000000.0,50000000.0,-133000000.0
Cash Dividends Paid,-1427000000.0,-1313000000.0,-1040000000.0,-956000000.0
Common Stock Dividend Paid,-1427000000.0,-1313000000.0,-1040000000.0,-956000000.0
Net Common Stock Issuance,-7216000000.0,-3597000000.0,-2538000000.0,-419000000.0
Common Stock Payments,-7216000000.0,-3597000000.0,-2538000000.0,-750000000.0
Common Stock Issuance,,63000000.0,148000000.0,331000000.0
Net Issuance Payments Of Debt,11524000000.0,5765000000.0,2450000000.0,528000000.0
Net Short Term Debt Issuance,4008000000.0,3852000000.0,818000000.0,-1360000000.0
Short Term Debt Issuance,4008000000.0,3852000000.0,818000000.0,
Net Long Term Debt Issuance,7516000000.0,1913000000.0,1632000000.0,1888000000.0
Long Term Debt Payments,-7913000000.0,-8445000000.0,-7090000000.0,-7383000000.0
Long Term Debt Issuance,15429000000.0,10358000000.0,8722000000.0,9271000000.0
Investing Cash Flow,-8749000000.0,-8485000000.0,-5750000000.0,-3319000000.0
Cash Flow From Continuing Investing Activities,-8749000000.0,-8485000000.0,-5750000000.0,-3319000000.0
Net Other Investing Changes,-6180000000.0,-6292000000.0,-5020000000.0,-2380000000.0
Net Investment Purchase And Sale,,,-85000000.0,-37000000.0
Sale Of Investment,,,109000000.0,93000000.0
Purchase Of Investment,,,-194000000.0,-130000000.0
Net Business Purchase And Sale,-82000000.0,-498000000.0,-244000000.0,-66000000.0
Purchase Of Business,-82000000.0,-498000000.0,-244000000.0,-66000000.0
Net PPE Purchase And Sale,-2487000000.0,-1695000000.0,-486000000.0,-873000000.0
Sale Of PPE,1981000000.0,2093000000.0,2094000000.0,1783000000.0
Purchase Of PPE,-4468000000.0,-3788000000.0,-2580000000.0,-2656000000.0
Operating Cash Flow,8589000000.0,4699000000.0,7726000000.0,7483000000.0
Cash Flow From Continuing Operating Activities,8589000000.0,4699000000.0,7726000000.0,7483000000.0
Change In Working Capital,-3337000000.0,-4315000000.0,396000000.0,1870000000.0
Change In Other Working Capital,-193000000.0,-874000000.0,40000000.0,-529000000.0
Change In Payables And Accrued Expense,830000000.0,1133000000.0,1884000000.0,-7000000.0
Change In Inventory,279000000.0,-2091000000.0,-2497000000.0,397000000.0
Change In Receivables,-4253000000.0,-2483000000.0,969000000.0,2009000000.0
Changes In Account Receivables,-4253000000.0,-2483000000.0,969000000.0,2009000000.0
Other Non Cash Items,252000000.0,16000000.0,-370000000.0,344000000.0
Stock Based Compensation,130000000.0,85000000.0,82000000.0,81000000.0
Provisionand Write Offof Assets,-16000000.0,192000000.0,-6000000.0,110000000.0
Asset Impairment Charge,191000000.0,88000000.0,50000000.0,194000000.0
Deferred Tax,-790000000.0,-66000000.0,-441000000.0,-11000000.0
Deferred Income Tax,-790000000.0,-66000000.0,-441000000.0,-11000000.0
Depreciation Amortization Depletion,2004000000.0,1895000000.0,2050000000.0,2118000000.0
Depreciation And Amortization,2004000000.0,1895000000.0,2050000000.0,2118000000.0
Operating Gains Losses,,-326000000.0,2000000.0,24000000.0
Earnings Losses From Equity Investments,,-326000000.0,2000000.0,-7000000.0
Gain Loss On Sale Of Business,,,,24000000.0
Net Income From Continuing Operations,10155000000.0,7130000000.0,5965000000.0,2753000000.0
