,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1970000000.0,-1575000000.0,-824000000.0,-2539000000.0,
Repurchase Of Capital Stock,-505000000.0,0.0,0.0,0.0,
Repayment Of Debt,-2069000000.0,-66000000.0,-1998000000.0,-467000000.0,
Issuance Of Debt,0.0,1200000000.0,2702000000.0,1945000000.0,
Capital Expenditure,-1257000000.0,-780000000.0,-839000000.0,-1227000000.0,
Interest Paid Supplemental Data,746000000.0,614000000.0,591000000.0,419000000.0,
Income Tax Paid Supplemental Data,176000000.0,649000000.0,86000000.0,196000000.0,
End Cash Position,5229000000.0,6436000000.0,1925000000.0,2137000000.0,
Beginning Cash Position,6436000000.0,1925000000.0,2137000000.0,4242000000.0,
Effect Of Exchange Rate Changes,8000000.0,22000000.0,-16000000.0,-24000000.0,
Changes In Cash,-1215000000.0,4489000000.0,-196000000.0,-2081000000.0,
Cash Flow From Discontinued Operation,0.0,0.0,,,
Financing Cash Flow,-3188000000.0,1122000000.0,684000000.0,560000000.0,
Cash From Discontinued Financing Activities,0.0,0.0,-1000000.0,0.0,
Cash Flow From Continuing Financing Activities,-3188000000.0,1122000000.0,685000000.0,560000000.0,
Net Other Financing Charges,-313000000.0,-12000000.0,-38000000.0,-31000000.0,
Proceeds From Stock Option Exercised,4000000.0,0.0,19000000.0,24000000.0,
Cash Dividends Paid,-305000000.0,0.0,0.0,-911000000.0,
Common Stock Dividend Paid,-305000000.0,0.0,0.0,-911000000.0,
Net Common Stock Issuance,-505000000.0,0.0,0.0,0.0,
Common Stock Payments,-505000000.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-2069000000.0,1134000000.0,704000000.0,1478000000.0,
Net Short Term Debt Issuance,,,2702000000.0,1945000000.0,4000000000.0
Short Term Debt Issuance,,,2702000000.0,1945000000.0,4000000000.0
Net Long Term Debt Issuance,-2069000000.0,1134000000.0,704000000.0,1478000000.0,
Long Term Debt Payments,-2069000000.0,-66000000.0,-1998000000.0,-467000000.0,
Long Term Debt Issuance,0.0,1200000000.0,2702000000.0,1945000000.0,
Investing Cash Flow,-1254000000.0,4162000000.0,-895000000.0,-1329000000.0,
Cash From Discontinued Investing Activities,0.0,4883000000.0,-63000000.0,-103000000.0,
Cash Flow From Continuing Investing Activities,-1254000000.0,-721000000.0,-832000000.0,-1226000000.0,
Net Other Investing Changes,,50000000.0,,,
Net Business Purchase And Sale,,,0.0,0.0,1161000000.0
Sale Of Business,,,0.0,0.0,1161000000.0
Net Intangibles Purchase And Sale,-240000000.0,-129000000.0,-11000000.0,0.0,
Purchase Of Intangibles,-240000000.0,-129000000.0,-11000000.0,0.0,
Net PPE Purchase And Sale,3000000.0,9000000.0,7000000.0,1000000.0,
Sale Of PPE,3000000.0,9000000.0,7000000.0,1000000.0,
Capital Expenditure Reported,-1017000000.0,-651000000.0,-828000000.0,-1227000000.0,
Operating Cash Flow,3227000000.0,-795000000.0,15000000.0,-1312000000.0,
Cash From Discontinued Operating Activities,0.0,149000000.0,258000000.0,-121000000.0,
Cash Flow From Continuing Operating Activities,3227000000.0,-944000000.0,-243000000.0,-1191000000.0,
Change In Working Capital,390000000.0,164000000.0,-89000000.0,-537000000.0,
Change In Other Working Capital,,,,-881000000.0,-969000000.0
Change In Other Current Liabilities,581000000.0,229000000.0,-116000000.0,-848000000.0,
Change In Other Current Assets,-50000000.0,2000000.0,-5000000.0,14000000.0,
Change In Payables And Accrued Expense,76000000.0,11000000.0,-11000000.0,-42000000.0,
Change In Payable,76000000.0,11000000.0,-11000000.0,-42000000.0,
Change In Account Payable,76000000.0,11000000.0,-11000000.0,-42000000.0,
Change In Receivables,-217000000.0,-78000000.0,43000000.0,339000000.0,
Changes In Account Receivables,-217000000.0,-78000000.0,43000000.0,339000000.0,
Other Non Cash Items,31000000.0,42000000.0,52000000.0,43000000.0,
Stock Based Compensation,44000000.0,39000000.0,22000000.0,22000000.0,
Provisionand Write Offof Assets,4000000.0,15000000.0,3000000.0,86000000.0,
Deferred Tax,44000000.0,-752000000.0,-45000000.0,24000000.0,
Deferred Income Tax,44000000.0,-752000000.0,-45000000.0,24000000.0,
Depreciation Amortization Depletion,1266000000.0,1091000000.0,1097000000.0,1052000000.0,
Depreciation And Amortization,1266000000.0,1091000000.0,1097000000.0,1052000000.0,
Depreciation,1266000000.0,1091000000.0,1097000000.0,1052000000.0,
Operating Gains Losses,17000000.0,-2000000.0,186000000.0,19000000.0,
Gain Loss On Investment Securities,-1000000.0,1000000.0,-1000000.0,,
Net Foreign Currency Exchange Gain Loss,7000000.0,-10000000.0,34000000.0,-20000000.0,
Gain Loss On Sale Of Business,,,0.0,0.0,-556000000.0
Net Income From Continuing Operations,1431000000.0,-1541000000.0,-1469000000.0,-1900000000.0,
