,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.205,0.194,0.174164,0.194
Normalized EBITDA,613592000.0,1359558000.0,1173367000.0,774995000.0
Net Income From Continuing Operation Net Minority Interest,325129000.0,940524000.0,844245000.0,506421000.0
Reconciled Depreciation,98985000.0,92776000.0,91259000.0,101727000.0
Reconciled Cost Of Revenue,16457570000.0,22826428000.0,21493659000.0,15037716000.0
EBITDA,613592000.0,1359558000.0,1173367000.0,774995000.0
EBIT,514607000.0,1266782000.0,1082108000.0,673268000.0
Net Interest Income,-105421000.0,-100017000.0,-59817000.0,-44937000.0
Interest Expense,105421000.0,100017000.0,59817000.0,44937000.0
Normalized Income,325129000.0,940524000.0,844245000.0,506421000.0
Net Income From Continuing And Discontinued Operation,325129000.0,940524000.0,844245000.0,506421000.0
Total Expenses,17081836000.0,23429843000.0,22020030000.0,15533838000.0
Total Operating Income As Reported,514607000.0,1266782000.0,1082108000.0,673268000.0
Diluted Average Shares,119677000.0,127150000.0,133834000.0,136173000.0
Basic Average Shares,118551000.0,125743000.0,132482000.0,135532000.0
Diluted EPS,2.72,7.4,6.31,3.72
Basic EPS,2.74,7.48,6.37,3.74
Diluted NI Availto Com Stockholders,325129000.0,940524000.0,844245000.0,506421000.0
Net Income Common Stockholders,325129000.0,940524000.0,844245000.0,506421000.0
Net Income,325129000.0,940524000.0,844245000.0,506421000.0
Net Income Including Noncontrolling Interests,325129000.0,940524000.0,844245000.0,506421000.0
Net Income Continuous Operations,325129000.0,940524000.0,844245000.0,506421000.0
Tax Provision,84057000.0,226241000.0,178046000.0,121910000.0
Pretax Income,409186000.0,1166765000.0,1022291000.0,628331000.0
Net Non Operating Interest Income Expense,-105421000.0,-100017000.0,-59817000.0,-44937000.0
Interest Expense Non Operating,105421000.0,100017000.0,59817000.0,44937000.0
Operating Income,514607000.0,1266782000.0,1082108000.0,673268000.0
Operating Expense,624266000.0,603415000.0,526371000.0,496122000.0
Selling General And Administration,624266000.0,603415000.0,526371000.0,496122000.0
Gross Profit,1138873000.0,1870197000.0,1608479000.0,1169390000.0
Cost Of Revenue,16457570000.0,22826428000.0,21493659000.0,15037716000.0
Total Revenue,17596443000.0,24696625000.0,23102138000.0,16207106000.0
Operating Revenue,17596443000.0,24696625000.0,23102138000.0,16207106000.0
