,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,47306000.0,538135000.0,998817000.0,-1397808000.0
Tax Rate For Calcs,0.218,0.221,0.223,0.272
Normalized EBITDA,12507000000.0,16282000000.0,15763000000.0,10382000000.0
Total Unusual Items,217000000.0,2435000000.0,4479000000.0,-5139000000.0
Total Unusual Items Excluding Goodwill,217000000.0,2435000000.0,4479000000.0,-5139000000.0
Net Income From Continuing Operation Net Minority Interest,6708000000.0,11548000000.0,12890000000.0,1343000000.0
Reconciled Depreciation,3366000000.0,3188000000.0,2953000000.0,2698000000.0
Reconciled Cost Of Revenue,73727000000.0,79329000000.0,77007000000.0,69344000000.0
EBITDA,12724000000.0,18717000000.0,20242000000.0,5243000000.0
EBIT,9358000000.0,15529000000.0,17289000000.0,2545000000.0
Net Interest Income,-785000000.0,-704000000.0,-694000000.0,-701000000.0
Interest Expense,785000000.0,704000000.0,694000000.0,701000000.0
Normalized Income,6538306000.0,9651135000.0,9409817000.0,5084192000.0
Net Income From Continuing And Discontinued Operation,6708000000.0,11548000000.0,12890000000.0,1343000000.0
Total Expenses,81817000000.0,87244000000.0,84477000000.0,76944000000.0
Rent Expense Supplemental,2019000000.0,1844000000.0,1719000000.0,1539000000.0
Total Operating Income As Reported,9141000000.0,13094000000.0,12810000000.0,7684000000.0
Diluted Average Shares,860000000.0,875000000.0,878000000.0,871000000.0
Basic Average Shares,859000000.0,871000000.0,874000000.0,867000000.0
Diluted EPS,7.8,13.2,14.68,1.64
Basic EPS,7.81,13.26,14.75,1.65
Diluted NI Availto Com Stockholders,6708000000.0,11548000000.0,12890000000.0,1343000000.0
Net Income Common Stockholders,6708000000.0,11548000000.0,12890000000.0,1343000000.0
Net Income,6708000000.0,11548000000.0,12890000000.0,1343000000.0
Net Income Including Noncontrolling Interests,6708000000.0,11548000000.0,12890000000.0,1343000000.0
Net Income Continuous Operations,6708000000.0,11548000000.0,12890000000.0,1343000000.0
Tax Provision,1865000000.0,3277000000.0,3705000000.0,501000000.0
Pretax Income,8573000000.0,14825000000.0,16595000000.0,1844000000.0
Other Income Expense,217000000.0,2435000000.0,4479000000.0,-5139000000.0
Gain On Sale Of Security,217000000.0,2435000000.0,4479000000.0,-5139000000.0
Net Non Operating Interest Income Expense,-785000000.0,-704000000.0,-694000000.0,-701000000.0
Interest Expense Non Operating,785000000.0,704000000.0,694000000.0,701000000.0
Operating Income,9141000000.0,13094000000.0,12810000000.0,7684000000.0
Operating Expense,8090000000.0,7915000000.0,7470000000.0,7600000000.0
Other Operating Expenses,8090000000.0,7915000000.0,7470000000.0,7600000000.0
Gross Profit,17231000000.0,21009000000.0,20280000000.0,15284000000.0
Cost Of Revenue,73727000000.0,79329000000.0,77007000000.0,69344000000.0
Total Revenue,90958000000.0,100338000000.0,97287000000.0,84628000000.0
Operating Revenue,90958000000.0,100338000000.0,97287000000.0,84628000000.0
