,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.214,0.184,0.395,0.125
Normalized EBITDA,1392039000.0,1277649000.0,1019116000.0,685042000.0
Net Income From Continuing Operation Net Minority Interest,666619000.0,644071000.0,467022000.0,353861000.0
Reconciled Depreciation,307252000.0,301056000.0,250800000.0,181633000.0
Reconciled Cost Of Revenue,12879099000.0,11595785000.0,11048860000.0,10980307000.0
EBITDA,1392039000.0,1277649000.0,1019116000.0,685042000.0
EBIT,1084787000.0,976593000.0,768316000.0,503409000.0
Net Interest Income,-142095000.0,-95757000.0,-69211000.0,-57477000.0
Interest Expense,168108000.0,100246000.0,72714000.0,62206000.0
Interest Income,26013000.0,4489000.0,3503000.0,4729000.0
Normalized Income,666619000.0,644071000.0,467022000.0,353861000.0
Net Income From Continuing And Discontinued Operation,665777000.0,644039000.0,477030000.0,491845000.0
Total Expenses,15277177000.0,14004975000.0,13404543000.0,13031002000.0
Total Operating Income As Reported,1075237000.0,917850000.0,688089000.0,535973000.0
Diluted Average Shares,127214000.0,129445000.0,130274000.0,132721000.0
Basic Average Shares,126607000.0,128665000.0,130194000.0,131541000.0
Diluted EPS,5.3,4.98,3.2,3.71
Basic EPS,5.32,5.01,3.22,3.74
Diluted NI Availto Com Stockholders,665777000.0,644039000.0,477030000.0,491845000.0
Net Income Common Stockholders,665777000.0,644039000.0,477030000.0,491845000.0
Otherunder Preferred Stock Dividend,,,,100000.0
Net Income,665777000.0,644039000.0,477030000.0,491845000.0
Minority Interests,-53879000.0,-71373000.0,46201000.0,-32022000.0
Net Income Including Noncontrolling Interests,719656000.0,715412000.0,430829000.0,523867000.0
Net Income Discontinuous Operations,-842000.0,-32000.0,10008000.0,137984000.0
Net Income Continuous Operations,720498000.0,715444000.0,420821000.0,385883000.0
Tax Provision,196181000.0,160903000.0,274781000.0,55320000.0
Pretax Income,916679000.0,876347000.0,695602000.0,441203000.0
Other Income Expense,-16463000.0,54254000.0,76724000.0,-37293000.0
Other Non Operating Income Expenses,-16463000.0,54254000.0,76724000.0,-37293000.0
Net Non Operating Interest Income Expense,-142095000.0,-95757000.0,-69211000.0,-57477000.0
Interest Expense Non Operating,168108000.0,100246000.0,72714000.0,62206000.0
Interest Income Non Operating,26013000.0,4489000.0,3503000.0,4729000.0
Operating Income,1075237000.0,917850000.0,688089000.0,535973000.0
Operating Expense,2398078000.0,2409190000.0,2355683000.0,2050695000.0
Selling General And Administration,2398078000.0,2409190000.0,2355683000.0,2050695000.0
Gross Profit,3473315000.0,3327040000.0,3043772000.0,2586668000.0
Cost Of Revenue,12879099000.0,11595785000.0,11048860000.0,10980307000.0
Total Revenue,16352414000.0,14922825000.0,14092632000.0,13566975000.0
Operating Revenue,16352414000.0,14922825000.0,14092632000.0,13566975000.0
