,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,4897000000.0,1067000000.0,1989000000.0,3596000000.0
Repurchase Of Capital Stock,,,,0.0
Repayment Of Debt,-1675000000.0,-4016000000.0,-3737000000.0,-3533000000.0
Issuance Of Debt,83000000.0,333000000.0,64000000.0,18120000000.0
Capital Expenditure,-4969000000.0,-4943000000.0,-3578000000.0,-4022000000.0
Interest Paid Supplemental Data,2110000000.0,1685000000.0,1892000000.0,1559000000.0
Income Tax Paid Supplemental Data,1193000000.0,1097000000.0,1638000000.0,738000000.0
End Cash Position,14235000000.0,11661000000.0,16003000000.0,17954000000.0
Beginning Cash Position,11661000000.0,16003000000.0,17954000000.0,5455000000.0
Effect Of Exchange Rate Changes,73000000.0,-603000000.0,30000000.0,38000000.0
Changes In Cash,2501000000.0,-3739000000.0,-1981000000.0,12461000000.0
Cash Flow From Discontinued Operation,,,,2000000.0
Financing Cash Flow,-2724000000.0,-4741000000.0,-4385000000.0,8480000000.0
Cash From Discontinued Financing Activities,0.0,-12000000.0,0.0,0.0
Cash Flow From Continuing Financing Activities,-2724000000.0,-4729000000.0,-4385000000.0,8480000000.0
Net Other Financing Charges,-993000000.0,-839000000.0,-1121000000.0,-1471000000.0
Proceeds From Stock Option Exercised,52000000.0,127000000.0,435000000.0,305000000.0
Cash Dividends Paid,,0.0,0.0,-1587000000.0
Common Stock Dividend Paid,,0.0,0.0,-1587000000.0
Net Common Stock Issuance,,,,0.0
Common Stock Payments,,,,0.0
Net Issuance Payments Of Debt,-1783000000.0,-4017000000.0,-3699000000.0,11233000000.0
Net Short Term Debt Issuance,-191000000.0,-334000000.0,-26000000.0,-3354000000.0
Net Long Term Debt Issuance,-1592000000.0,-3683000000.0,-3673000000.0,14587000000.0
Long Term Debt Payments,-1675000000.0,-4016000000.0,-3737000000.0,-3533000000.0
Long Term Debt Issuance,83000000.0,333000000.0,64000000.0,18120000000.0
Investing Cash Flow,-4641000000.0,-5008000000.0,-3163000000.0,-3637000000.0
Cash From Discontinued Investing Activities,0.0,0.0,8000000.0,213000000.0
Cash Flow From Continuing Investing Activities,-4641000000.0,-5008000000.0,-3171000000.0,-3850000000.0
Net Other Investing Changes,-130000000.0,-117000000.0,70000000.0,172000000.0
Net Investment Purchase And Sale,458000000.0,52000000.0,337000000.0,
Sale Of Investment,458000000.0,52000000.0,337000000.0,
Net Business Purchase And Sale,,,0.0,0.0
Purchase Of Business,,,0.0,0.0
Net PPE Purchase And Sale,-4969000000.0,-4943000000.0,-3578000000.0,-4022000000.0
Purchase Of PPE,-4969000000.0,-4943000000.0,-3578000000.0,-4022000000.0
Operating Cash Flow,9866000000.0,6010000000.0,5567000000.0,7618000000.0
Cash From Discontinued Operating Activities,0.0,8000000.0,1000000.0,2000000.0
Cash Flow From Continuing Operating Activities,9866000000.0,6002000000.0,5566000000.0,7616000000.0
Dividend Received Cfo,720000000.0,779000000.0,754000000.0,774000000.0
Change In Working Capital,177000000.0,488000000.0,2194000000.0,-645000000.0
Change In Other Working Capital,1345000000.0,46000000.0,-282000000.0,-152000000.0
Change In Other Current Assets,-201000000.0,-707000000.0,171000000.0,-157000000.0
Change In Payables And Accrued Expense,-1142000000.0,964000000.0,2410000000.0,-2293000000.0
Change In Payable,-1142000000.0,964000000.0,2410000000.0,-2293000000.0
Change In Account Payable,-1142000000.0,964000000.0,2410000000.0,-2293000000.0
Change In Inventory,-183000000.0,-420000000.0,252000000.0,14000000.0
Change In Receivables,358000000.0,605000000.0,-357000000.0,1943000000.0
Other Non Cash Items,-1630000000.0,-5676000000.0,-4111000000.0,522000000.0
Stock Based Compensation,1143000000.0,977000000.0,600000000.0,525000000.0
Asset Impairment Charge,2987000000.0,0.0,0.0,4953000000.0
Deferred Tax,-1346000000.0,200000000.0,-1241000000.0,-392000000.0
Deferred Income Tax,-1346000000.0,200000000.0,-1241000000.0,-392000000.0
Depreciation Amortization Depletion,5369000000.0,5163000000.0,5111000000.0,5345000000.0
Depreciation And Amortization,5369000000.0,5163000000.0,5111000000.0,5345000000.0
Amortization Cash Flow,3626000000.0,3183000000.0,3068000000.0,2205000000.0
Amortization Of Intangibles,3626000000.0,3183000000.0,3068000000.0,2205000000.0
Depreciation,1743000000.0,1980000000.0,2043000000.0,3140000000.0
Operating Gains Losses,-944000000.0,518000000.0,-277000000.0,-1024000000.0
Pension And Employee Benefit Expense,4000000.0,620000000.0,816000000.0,547000000.0
Earnings Losses From Equity Investments,-782000000.0,-816000000.0,-761000000.0,-651000000.0
Gain Loss On Investment Securities,-166000000.0,714000000.0,-332000000.0,-920000000.0
Net Income From Continuing Operations,3390000000.0,3553000000.0,2536000000.0,-2442000000.0
