,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,6682000000.0,-13000000.0,9560000000.0,18527000000.0,
Repurchase Of Capital Stock,-335000000.0,-484000000.0,0.0,0.0,
Repayment Of Debt,-41965000000.0,-45655000000.0,-54164000000.0,-60514000000.0,
Issuance Of Debt,51659000000.0,45470000000.0,27901000000.0,65900000000.0,
Capital Expenditure,-8236000000.0,-6866000000.0,-6227000000.0,-5742000000.0,
End Cash Position,25110000000.0,25340000000.0,20737000000.0,25935000000.0,
Beginning Cash Position,25340000000.0,20737000000.0,25935000000.0,17741000000.0,
Effect Of Exchange Rate Changes,-104000000.0,-414000000.0,-232000000.0,225000000.0,
Changes In Cash,-126000000.0,5017000000.0,-4966000000.0,7969000000.0,
Financing Cash Flow,2584000000.0,2511000000.0,-23498000000.0,2315000000.0,
Cash Flow From Continuing Financing Activities,2584000000.0,2511000000.0,-23498000000.0,2315000000.0,
Net Other Financing Charges,-241000000.0,-271000000.0,-105000000.0,-184000000.0,
Cash Dividends Paid,-4995000000.0,-2009000000.0,-403000000.0,-596000000.0,
Common Stock Dividend Paid,-4995000000.0,-2009000000.0,-403000000.0,-596000000.0,
Net Common Stock Issuance,-335000000.0,-484000000.0,0.0,0.0,
Common Stock Payments,-335000000.0,-484000000.0,0.0,0.0,
Net Issuance Payments Of Debt,8155000000.0,5275000000.0,-22990000000.0,3095000000.0,
Net Short Term Debt Issuance,-1539000000.0,5460000000.0,3273000000.0,-2291000000.0,
Net Long Term Debt Issuance,9694000000.0,-185000000.0,-26263000000.0,5386000000.0,
Long Term Debt Payments,-41965000000.0,-45655000000.0,-54164000000.0,-60514000000.0,
Long Term Debt Issuance,51659000000.0,45470000000.0,27901000000.0,65900000000.0,
Investing Cash Flow,-17628000000.0,-4347000000.0,2745000000.0,-18615000000.0,
Cash Flow From Continuing Investing Activities,-17628000000.0,-4347000000.0,2745000000.0,-18615000000.0,
Net Other Investing Changes,-10631000000.0,1055000000.0,3418000000.0,-6657000000.0,
Net Investment Purchase And Sale,3972000000.0,1753000000.0,5466000000.0,-7552000000.0,
Sale Of Investment,12700000000.0,19211000000.0,33229000000.0,32395000000.0,
Purchase Of Investment,-8728000000.0,-17458000000.0,-27763000000.0,-39947000000.0,
Net Business Purchase And Sale,-2733000000.0,-289000000.0,88000000.0,1336000000.0,
Sale Of Business,0.0,449000000.0,145000000.0,1340000000.0,
Purchase Of Business,-2733000000.0,-738000000.0,-57000000.0,-4000000.0,
Capital Expenditure Reported,-8236000000.0,-6866000000.0,-6227000000.0,-5742000000.0,
Operating Cash Flow,14918000000.0,6853000000.0,15787000000.0,24269000000.0,
Cash Flow From Continuing Operating Activities,14918000000.0,6853000000.0,15787000000.0,24269000000.0,
Dividend Received Cfo,-33000000.0,3324000000.0,116000000.0,130000000.0,
Dividend Paid Cfo,-33000000.0,,,,
Change In Working Capital,1163000000.0,-7051000000.0,4701000000.0,18998000000.0,
Change In Payables And Accrued Expense,9829000000.0,7268000000.0,-36000000.0,6809000000.0,
Change In Payable,,,-36000000.0,6809000000.0,5260000000.0
Change In Account Payable,,,-36000000.0,6809000000.0,5260000000.0
Change In Inventory,-1219000000.0,-2576000000.0,-1778000000.0,148000000.0,
Change In Receivables,-7447000000.0,-11743000000.0,6515000000.0,12041000000.0,
Changes In Account Receivables,-7447000000.0,-11743000000.0,6515000000.0,12041000000.0,
Other Non Cash Items,673000000.0,386000000.0,-186000000.0,1231000000.0,
Stock Based Compensation,460000000.0,336000000.0,305000000.0,199000000.0,
Provisionand Write Offof Assets,438000000.0,46000000.0,-298000000.0,929000000.0,
Asset Impairment Charge,,32000000.0,0.0,23000000.0,804000000.0
Deferred Tax,-1649000000.0,-1910000000.0,-563000000.0,-269000000.0,
Deferred Income Tax,-1649000000.0,-1910000000.0,-563000000.0,-269000000.0,
Depreciation Amortization Depletion,6523000000.0,6493000000.0,5960000000.0,7457000000.0,
Depreciation And Amortization,6523000000.0,6493000000.0,5960000000.0,7457000000.0,
Amortization Cash Flow,-1167000000.0,-1149000000.0,-1358000000.0,-1294000000.0,
Amortization Of Intangibles,-1167000000.0,-1149000000.0,-1358000000.0,-1294000000.0,
Depreciation,7690000000.0,7642000000.0,7318000000.0,8751000000.0,
Operating Gains Losses,3014000000.0,7381000000.0,-12158000000.0,-3153000000.0,
Pension And Employee Benefit Expense,3052000000.0,-378000000.0,-4865000000.0,1027000000.0,
Earnings Losses From Equity Investments,-9000000.0,147000000.0,-368000000.0,-3446000000.0,
Gain Loss On Investment Securities,205000000.0,7518000000.0,-9159000000.0,-315000000.0,
Net Foreign Currency Exchange Gain Loss,-234000000.0,-27000000.0,532000000.0,-420000000.0,
Gain Loss On Sale Of Business,,,-368000000.0,-3446000000.0,-29000000.0
Net Income From Continuing Operations,4329000000.0,-2152000000.0,17910000000.0,-1276000000.0,
