,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,989900000.0,1866400000.0,1166100000.0,979600000.0
Repurchase Of Capital Stock,-256300000.0,-180800000.0,-208200000.0,-218200000.0
Repayment Of Debt,-1405000000.0,-3045800000.0,-2065700000.0,-334600000.0
Issuance Of Debt,3539900000.0,5184400000.0,4131800000.0,1390900000.0
Issuance Of Capital Stock,23300000.0,25100000.0,22300000.0,20600000.0
Capital Expenditure,-148800000.0,-90300000.0,-79300000.0,-103700000.0
Interest Paid Supplemental Data,501100000.0,281500000.0,219400000.0,84500000.0
Income Tax Paid Supplemental Data,233200000.0,467500000.0,498000000.0,359400000.0
End Cash Position,4402400000.0,4782500000.0,4647200000.0,3989800000.0
Beginning Cash Position,4782500000.0,4647200000.0,3989800000.0,6206600000.0
Effect Of Exchange Rate Changes,34300000.0,-77200000.0,-2200000.0,27400000.0
Changes In Cash,-414400000.0,212500000.0,659600000.0,-2244200000.0
Financing Cash Flow,2029000000.0,1585000000.0,2030100000.0,734400000.0
Cash Flow From Continuing Financing Activities,2029000000.0,1585000000.0,2030100000.0,734400000.0
Net Other Financing Charges,734400000.0,185200000.0,709600000.0,408900000.0
Cash Dividends Paid,-607300000.0,-583100000.0,-559700000.0,-533200000.0
Common Stock Dividend Paid,-607300000.0,-583100000.0,-559700000.0,-533200000.0
Net Common Stock Issuance,-233000000.0,-155700000.0,-185900000.0,-197600000.0
Common Stock Payments,-256300000.0,-180800000.0,-208200000.0,-218200000.0
Common Stock Issuance,23300000.0,25100000.0,22300000.0,20600000.0
Net Issuance Payments Of Debt,2134900000.0,2138600000.0,2066100000.0,1056300000.0
Net Long Term Debt Issuance,2134900000.0,2138600000.0,2066100000.0,1056300000.0
Long Term Debt Payments,-1405000000.0,-3045800000.0,-2065700000.0,-334600000.0
Long Term Debt Issuance,3539900000.0,5184400000.0,4131800000.0,1390900000.0
Investing Cash Flow,-3582100000.0,-3329200000.0,-2615900000.0,-4061900000.0
Cash Flow From Continuing Investing Activities,-3582100000.0,-3329200000.0,-2615900000.0,-4061900000.0
Net Other Investing Changes,-232000000.0,19900000.0,63000000.0,-40600000.0
Net Investment Purchase And Sale,-2700800000.0,-1904100000.0,-2590600000.0,-96200000.0
Sale Of Investment,2470900000.0,3014000000.0,2218200000.0,1915500000.0
Purchase Of Investment,-5171700000.0,-4918100000.0,-4808800000.0,-2011700000.0
Net Business Purchase And Sale,-500500000.0,-1354700000.0,-9000000.0,-3821400000.0
Purchase Of Business,-500500000.0,-1354700000.0,-9000000.0,-3821400000.0
Net PPE Purchase And Sale,-148800000.0,-90300000.0,-79300000.0,-103700000.0
Purchase Of PPE,-148800000.0,-90300000.0,-79300000.0,-103700000.0
Operating Cash Flow,1138700000.0,1956700000.0,1245400000.0,1083300000.0
Cash Flow From Continuing Operating Activities,1138700000.0,1956700000.0,1245400000.0,1083300000.0
Change In Working Capital,64700000.0,71200000.0,-102400000.0,477900000.0
Change In Other Working Capital,128900000.0,281700000.0,114800000.0,-10500000.0
Change In Other Current Assets,2800000.0,-3700000.0,12800000.0,537300000.0
Change In Payables And Accrued Expense,-3800000.0,-120100000.0,-47500000.0,-183600000.0
Change In Payable,-3800000.0,-120100000.0,-47500000.0,-183600000.0
Change In Account Payable,-2700000.0,60000000.0,-35000000.0,-60600000.0
Change In Tax Payable,-1100000.0,-180100000.0,-12500000.0,-123000000.0
Change In Income Tax Payable,-1100000.0,-180100000.0,-12500000.0,-123000000.0
Change In Receivables,-63200000.0,-86700000.0,-182500000.0,134700000.0
Other Non Cash Items,-656700000.0,-266000000.0,-686800000.0,-631200000.0
Stock Based Compensation,182600000.0,208200000.0,171900000.0,122300000.0
Asset Impairment Charge,,0.0,0.0,55400000.0
Deferred Tax,41500000.0,98000000.0,3700000.0,-7100000.0
Deferred Income Tax,41500000.0,98000000.0,3700000.0,-7100000.0
Depreciation Amortization Depletion,445400000.0,377800000.0,310600000.0,128500000.0
Depreciation And Amortization,445400000.0,377800000.0,310600000.0,128500000.0
Amortization Cash Flow,341100000.0,282000000.0,232000000.0,54000000.0
Amortization Of Intangibles,341100000.0,282000000.0,232000000.0,54000000.0
Depreciation,104300000.0,95800000.0,78600000.0,74500000.0
Operating Gains Losses,-42200000.0,134300000.0,-546200000.0,150400000.0
Earnings Losses From Equity Investments,-123100000.0,-36200000.0,-154300000.0,98100000.0
Gain Loss On Investment Securities,80900000.0,170500000.0,-391900000.0,52300000.0
Net Income From Continuing Operations,1103400000.0,1333200000.0,2094600000.0,787100000.0
