,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,7711000000.0,6465000000.0,7274000000.0,6519000000.0,
Repurchase Of Capital Stock,-1022000000.0,-2061000000.0,-2200000000.0,-672000000.0,
Repayment Of Debt,,0.0,0.0,-500000000.0,-500000000.0
Issuance Of Debt,738000000.0,0.0,739000000.0,490000000.0,
Interest Paid Supplemental Data,370000000.0,349000000.0,337000000.0,339000000.0,
Income Tax Paid Supplemental Data,201000000.0,817000000.0,707000000.0,578000000.0,
End Cash Position,650000000.0,799000000.0,761000000.0,721000000.0,
Beginning Cash Position,799000000.0,761000000.0,721000000.0,494000000.0,
Effect Of Exchange Rate Changes,12000000.0,-30000000.0,-1000000.0,16000000.0,
Changes In Cash,-161000000.0,68000000.0,41000000.0,211000000.0,
Financing Cash Flow,-1051000000.0,-2669000000.0,-2037000000.0,-1416000000.0,
Cash Flow From Continuing Financing Activities,-1051000000.0,-2669000000.0,-2037000000.0,-1416000000.0,
Proceeds From Stock Option Exercised,141000000.0,267000000.0,293000000.0,127000000.0,
Cash Dividends Paid,-908000000.0,-875000000.0,-869000000.0,-861000000.0,
Common Stock Dividend Paid,-908000000.0,-875000000.0,-869000000.0,-861000000.0,
Net Common Stock Issuance,-1022000000.0,-2061000000.0,-2200000000.0,-672000000.0,
Common Stock Payments,-1022000000.0,-2061000000.0,-2200000000.0,-672000000.0,
Net Issuance Payments Of Debt,738000000.0,0.0,739000000.0,-10000000.0,
Net Long Term Debt Issuance,738000000.0,,739000000.0,-10000000.0,-8000000.0
Long Term Debt Payments,,0.0,0.0,-500000000.0,-500000000.0
Long Term Debt Issuance,738000000.0,0.0,739000000.0,490000000.0,
Investing Cash Flow,-6821000000.0,-3728000000.0,-5196000000.0,-4892000000.0,
Cash Flow From Continuing Investing Activities,-6821000000.0,-3728000000.0,-5196000000.0,-4892000000.0,
Net Other Investing Changes,-462000000.0,-385000000.0,-279000000.0,-330000000.0,
Net Investment Purchase And Sale,-6292000000.0,-3308000000.0,-4882000000.0,-4449000000.0,
Sale Of Investment,11745000000.0,13310000000.0,14217000000.0,10836000000.0,
Purchase Of Investment,-18037000000.0,-16618000000.0,-19099000000.0,-15285000000.0,
Net Investment Properties Purchase And Sale,-67000000.0,-31000000.0,3000000.0,-113000000.0,
Sale Of Investment Properties,0.0,10000000.0,31000000.0,0.0,
Purchase Of Investment Properties,-67000000.0,-41000000.0,-28000000.0,-113000000.0,
Net Business Purchase And Sale,0.0,-4000000.0,-38000000.0,0.0,
Purchase Of Business,0.0,-4000000.0,-38000000.0,0.0,
Operating Cash Flow,7711000000.0,6465000000.0,7274000000.0,6519000000.0,
Cash Flow From Continuing Operating Activities,7711000000.0,6465000000.0,7274000000.0,6519000000.0,
Change In Working Capital,-2660000000.0,-2445000000.0,-1949000000.0,-1708000000.0,
Change In Other Working Capital,,45000000.0,750000000.0,129000000.0,535000000.0
Change In Receivables,-1404000000.0,-533000000.0,-359000000.0,-68000000.0,
Changes In Account Receivables,-1404000000.0,-533000000.0,-359000000.0,-68000000.0,
Other Non Cash Items,647000000.0,45000000.0,750000000.0,129000000.0,
Asset Impairment Charge,9000000.0,12000000.0,0.0,0.0,
Amortization Of Securities,6226000000.0,5515000000.0,5043000000.0,4773000000.0,
Deferred Tax,-163000000.0,-186000000.0,62000000.0,-29000000.0,
Deferred Income Tax,-163000000.0,-186000000.0,62000000.0,-29000000.0,
Depreciation And Amortization,722000000.0,826000000.0,870000000.0,789000000.0,
Operating Gains Losses,-61000000.0,-144000000.0,-1164000000.0,-132000000.0,
Earnings Losses From Equity Investments,-157000000.0,-336000000.0,-993000000.0,-130000000.0,
Gain Loss On Investment Securities,96000000.0,192000000.0,-171000000.0,-2000000.0,
Net Income From Continuing Operations,2991000000.0,2842000000.0,3662000000.0,2697000000.0,
