,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,,1191000000.0,1866000000.0,2043000000.0,1606000000.0
Repurchase Of Capital Stock,-490000000.0,-983000000.0,-750000000.0,-503000000.0,
Repayment Of Debt,,-626000000.0,-500000000.0,-1592000000.0,-2270000000.0
Issuance Of Debt,,988000000.0,1672000000.0,2280000000.0,2141000000.0
Capital Expenditure,,-283000000.0,-139000000.0,-103000000.0,-69000000.0
End Cash Position,,1769000000.0,1811000000.0,2597000000.0,1832000000.0
Beginning Cash Position,,1811000000.0,2597000000.0,1832000000.0,1685000000.0
Effect Of Exchange Rate Changes,,-46000000.0,-50000000.0,47000000.0,-1000000.0
Changes In Cash,,4000000.0,-736000000.0,718000000.0,148000000.0
Financing Cash Flow,,-1208000000.0,-122000000.0,-351000000.0,-1563000000.0
Cash Flow From Continuing Financing Activities,,-1208000000.0,-122000000.0,-351000000.0,-1563000000.0
Net Other Financing Charges,,-11000000.0,-36000000.0,-63000000.0,-33000000.0
Proceeds From Stock Option Exercised,-21000000.0,-61000000.0,-45000000.0,-53000000.0,
Cash Dividends Paid,,-515000000.0,-463000000.0,-420000000.0,-378000000.0
Common Stock Dividend Paid,,-515000000.0,-463000000.0,-420000000.0,-378000000.0
Net Common Stock Issuance,-490000000.0,-983000000.0,-750000000.0,-503000000.0,
Common Stock Payments,-490000000.0,-983000000.0,-750000000.0,-503000000.0,
Net Issuance Payments Of Debt,,362000000.0,1172000000.0,688000000.0,-129000000.0
Net Short Term Debt Issuance,,0.0,0.0,-3000000.0,-3000000.0
Short Term Debt Payments,,0.0,0.0,-792000000.0,-1320000000.0
Short Term Debt Issuance,,0.0,0.0,789000000.0,1317000000.0
Net Long Term Debt Issuance,,362000000.0,1172000000.0,691000000.0,-126000000.0
Long Term Debt Payments,,-626000000.0,-500000000.0,-800000000.0,-950000000.0
Long Term Debt Issuance,,988000000.0,1672000000.0,1491000000.0,824000000.0
Investing Cash Flow,,-262000000.0,-2619000000.0,-1077000000.0,36000000.0
Cash Flow From Continuing Investing Activities,,-262000000.0,-2619000000.0,-1077000000.0,36000000.0
Net Investment Purchase And Sale,,190000000.0,-37000000.0,-77000000.0,41000000.0
Sale Of Investment,,436000000.0,182000000.0,106000000.0,186000000.0
Purchase Of Investment,,-246000000.0,-219000000.0,-183000000.0,-145000000.0
Net Business Purchase And Sale,,-169000000.0,-2443000000.0,-897000000.0,64000000.0
Sale Of Business,,,2000000.0,0.0,226000000.0
Purchase Of Business,,-171000000.0,-2445000000.0,-897000000.0,-162000000.0
Capital Expenditure Reported,,-283000000.0,-139000000.0,-103000000.0,-69000000.0
Operating Cash Flow,,1474000000.0,2005000000.0,2146000000.0,1675000000.0
Cash Flow From Continuing Operating Activities,,1474000000.0,2005000000.0,2146000000.0,1675000000.0
Change In Working Capital,,-452000000.0,-413000000.0,38000000.0,-116000000.0
Change In Other Working Capital,,20000000.0,65000000.0,-29000000.0,76000000.0
Change In Other Current Liabilities,,-49000000.0,-250000000.0,-124000000.0,34000000.0
Change In Other Current Assets,,-271000000.0,-38000000.0,-87000000.0,-157000000.0
Change In Payables And Accrued Expense,,-161000000.0,80000000.0,247000000.0,65000000.0
Change In Receivables,,9000000.0,-270000000.0,31000000.0,-134000000.0
Changes In Account Receivables,,9000000.0,-270000000.0,31000000.0,-134000000.0
Other Non Cash Items,-4000000.0,,-36000000.0,-68000000.0,
Stock Based Compensation,,169000000.0,175000000.0,154000000.0,136000000.0
Asset Impairment Charge,,29000000.0,0.0,36000000.0,38000000.0
Deferred Tax,,48000000.0,-218000000.0,-44000000.0,-38000000.0
Deferred Income Tax,,48000000.0,-218000000.0,-44000000.0,-38000000.0
Depreciation Amortization Depletion,,331000000.0,257000000.0,220000000.0,200000000.0
Depreciation And Amortization,,331000000.0,257000000.0,220000000.0,200000000.0
Operating Gains Losses,,-50000000.0,13000000.0,33000000.0,26000000.0
Net Foreign Currency Exchange Gain Loss,,20000000.0,0.0,0.0,
Gain Loss On Sale Of Business,,0.0,0.0,9000000.0,14000000.0
Net Income From Continuing Operations,,1374000000.0,2214000000.0,1777000000.0,1429000000.0
