,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,10892000000.0,10098000000.0,8649000000.0,6516000000.0,
Repurchase Of Capital Stock,-9032000000.0,-8753000000.0,-5904000000.0,-4473000000.0,
Repayment Of Debt,0.0,-724000000.0,-650000000.0,0.0,
Issuance Of Debt,1554000000.0,1123000000.0,2024000000.0,3959000000.0,
Capital Expenditure,-1088000000.0,-1097000000.0,-814000000.0,-708000000.0,
End Cash Position,10465000000.0,9196000000.0,9902000000.0,12419000000.0,
Beginning Cash Position,9196000000.0,9902000000.0,12419000000.0,8969000000.0,
Effect Of Exchange Rate Changes,128000000.0,-103000000.0,-153000000.0,257000000.0,
Changes In Cash,1141000000.0,-603000000.0,-2364000000.0,3193000000.0,
Financing Cash Flow,-9488000000.0,-10328000000.0,-6555000000.0,-2152000000.0,
Cash Flow From Continuing Financing Activities,-9488000000.0,-10328000000.0,-6555000000.0,-2152000000.0,
Net Other Financing Charges,-89000000.0,-161000000.0,-345000000.0,-130000000.0,
Proceeds From Stock Option Exercised,237000000.0,90000000.0,61000000.0,97000000.0,
Cash Dividends Paid,-2158000000.0,-1903000000.0,-1741000000.0,-1605000000.0,
Common Stock Dividend Paid,-2158000000.0,-1903000000.0,-1741000000.0,-1605000000.0,
Net Common Stock Issuance,-9032000000.0,-8753000000.0,-5904000000.0,-4473000000.0,
Common Stock Payments,-9032000000.0,-8753000000.0,-5904000000.0,-4473000000.0,
Net Issuance Payments Of Debt,1554000000.0,399000000.0,1374000000.0,3959000000.0,
Net Long Term Debt Issuance,1554000000.0,399000000.0,1374000000.0,3959000000.0,
Long Term Debt Payments,0.0,-724000000.0,-650000000.0,0.0,
Long Term Debt Issuance,1554000000.0,1123000000.0,2024000000.0,3959000000.0,
Investing Cash Flow,-1351000000.0,-1470000000.0,-5272000000.0,-1879000000.0,
Cash Flow From Continuing Investing Activities,-1351000000.0,-1470000000.0,-5272000000.0,-1879000000.0,
Net Other Investing Changes,-6000000.0,-3000000.0,33000000.0,3000000.0,
Net Investment Purchase And Sale,-257000000.0,-57000000.0,-55000000.0,-185000000.0,
Sale Of Investment,479000000.0,537000000.0,856000000.0,622000000.0,
Purchase Of Investment,-736000000.0,-594000000.0,-911000000.0,-807000000.0,
Net Business Purchase And Sale,0.0,-313000000.0,-4436000000.0,-989000000.0,
Purchase Of Business,0.0,-313000000.0,-4436000000.0,-989000000.0,
Net PPE Purchase And Sale,-371000000.0,-442000000.0,-407000000.0,-339000000.0,
Purchase Of PPE,-371000000.0,-442000000.0,-407000000.0,-339000000.0,
Capital Expenditure Reported,-717000000.0,-655000000.0,-407000000.0,-369000000.0,
Operating Cash Flow,11980000000.0,11195000000.0,9463000000.0,7224000000.0,
Cash Flow From Continuing Operating Activities,11980000000.0,11195000000.0,9463000000.0,7224000000.0,
Change In Working Capital,-1943000000.0,-904000000.0,-916000000.0,-1150000000.0,
Change In Other Working Capital,922000000.0,-6000000.0,431000000.0,642000000.0,
Change In Other Current Liabilities,282000000.0,201000000.0,-568000000.0,-1242000000.0,
Change In Other Current Assets,40000000.0,48000000.0,390000000.0,1288000000.0,
Change In Payables And Accrued Expense,-32000000.0,1497000000.0,1402000000.0,-198000000.0,
Change In Accrued Expense,196000000.0,1428000000.0,1354000000.0,-187000000.0,
Change In Payable,-228000000.0,69000000.0,48000000.0,-11000000.0,
Change In Account Payable,-99000000.0,190000000.0,100000000.0,26000000.0,
Change In Tax Payable,-129000000.0,-121000000.0,-52000000.0,-37000000.0,
Change In Income Tax Payable,-129000000.0,-121000000.0,-52000000.0,-37000000.0,
Change In Prepaid Assets,-2438000000.0,-2175000000.0,-2087000000.0,-1552000000.0,
Change In Receivables,-717000000.0,-469000000.0,-484000000.0,-88000000.0,
Changes In Account Receivables,-546000000.0,-481000000.0,-397000000.0,-86000000.0,
Other Non Cash Items,1644000000.0,1630000000.0,1407000000.0,1086000000.0,
Stock Based Compensation,460000000.0,295000000.0,273000000.0,254000000.0,
Deferred Tax,-236000000.0,-651000000.0,-69000000.0,73000000.0,
Deferred Income Tax,-236000000.0,-651000000.0,-69000000.0,73000000.0,
Depreciation Amortization Depletion,799000000.0,750000000.0,726000000.0,580000000.0,
Depreciation And Amortization,799000000.0,750000000.0,726000000.0,580000000.0,
Operating Gains Losses,61000000.0,145000000.0,-645000000.0,-30000000.0,
Earnings Losses From Equity Investments,,,,,-167000000.0
Gain Loss On Investment Securities,61000000.0,145000000.0,-645000000.0,-30000000.0,
Net Income From Continuing Operations,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
