,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,-714000000.0,-1401000000.0,-705000000.0,-160000000.0,
Repurchase Of Capital Stock,0.0,-55000000.0,-66000000.0,0.0,
Repayment Of Debt,-1616000000.0,-1587000000.0,-3522000000.0,-882000000.0,
Issuance Of Debt,3167000000.0,2171000000.0,4457000000.0,3692000000.0,
Issuance Of Capital Stock,0.0,1300000000.0,0.0,2000000.0,
Capital Expenditure,-3934000000.0,-3378000000.0,-3772000000.0,-3857000000.0,
Interest Paid Supplemental Data,751000000.0,638000000.0,671000000.0,679000000.0,
Income Tax Paid Supplemental Data,,,,,18000000.0
End Cash Position,51000000.0,43000000.0,35000000.0,516000000.0,
Beginning Cash Position,43000000.0,35000000.0,516000000.0,93000000.0,
Changes In Cash,8000000.0,8000000.0,-481000000.0,423000000.0,
Financing Cash Flow,883000000.0,1462000000.0,315000000.0,796000000.0,
Cash Flow From Continuing Financing Activities,883000000.0,1462000000.0,315000000.0,796000000.0,
Net Other Financing Charges,-37000000.0,-86000000.0,-483000000.0,-466000000.0,
Cash Dividends Paid,-752000000.0,-685000000.0,-791000000.0,-760000000.0,
Common Stock Dividend Paid,-752000000.0,-685000000.0,-791000000.0,-760000000.0,
Net Common Stock Issuance,0.0,1245000000.0,-66000000.0,2000000.0,
Common Stock Payments,0.0,-55000000.0,-66000000.0,0.0,
Common Stock Issuance,0.0,1300000000.0,0.0,2000000.0,
Net Issuance Payments Of Debt,1672000000.0,988000000.0,1655000000.0,2020000000.0,
Net Short Term Debt Issuance,121000000.0,404000000.0,720000000.0,-790000000.0,
Net Long Term Debt Issuance,1551000000.0,584000000.0,935000000.0,2810000000.0,
Long Term Debt Payments,-1616000000.0,-1587000000.0,-3522000000.0,-882000000.0,
Long Term Debt Issuance,3167000000.0,2171000000.0,4457000000.0,3692000000.0,
Investing Cash Flow,-4095000000.0,-3431000000.0,-3863000000.0,-4070000000.0,
Cash Flow From Continuing Investing Activities,-4095000000.0,-3431000000.0,-3863000000.0,-4070000000.0,
Net Other Investing Changes,519000000.0,822000000.0,945000000.0,-74000000.0,
Dividends Received Cfi,25000000.0,16000000.0,18000000.0,24000000.0,
Net Investment Purchase And Sale,-678000000.0,-878000000.0,-1046000000.0,0.0,
Sale Of Investment,,879000000.0,1047000000.0,2350000000.0,788000000.0
Purchase Of Investment,-678000000.0,-878000000.0,-1046000000.0,-2350000000.0,
Net Business Purchase And Sale,-27000000.0,-13000000.0,-8000000.0,-163000000.0,
Purchase Of Business,-27000000.0,-13000000.0,-8000000.0,-163000000.0,
Net PPE Purchase And Sale,,,-3772000000.0,-3857000000.0,-2997000000.0
Purchase Of PPE,,,-3772000000.0,-3857000000.0,-2997000000.0
Capital Expenditure Reported,-3934000000.0,-3378000000.0,-3772000000.0,-3857000000.0,
Operating Cash Flow,3220000000.0,1977000000.0,3067000000.0,3697000000.0,
Cash Flow From Continuing Operating Activities,3220000000.0,1977000000.0,3067000000.0,3697000000.0,
Dividend Received Cfo,3000000.0,4000000.0,79000000.0,142000000.0,
Change In Working Capital,65000000.0,-751000000.0,398000000.0,508000000.0,
Change In Other Working Capital,83000000.0,-410000000.0,389000000.0,352000000.0,
Change In Other Current Liabilities,,,,11000000.0,-29000000.0
Change In Payables And Accrued Expense,-306000000.0,109000000.0,308000000.0,0.0,
Change In Payable,-306000000.0,109000000.0,308000000.0,,-288000000.0
Change In Account Payable,-306000000.0,109000000.0,308000000.0,0.0,
Change In Prepaid Assets,,,-117000000.0,-107000000.0,-24000000.0
Change In Inventory,-110000000.0,-98000000.0,-153000000.0,45000000.0,
Change In Receivables,398000000.0,-352000000.0,-146000000.0,111000000.0,
Changes In Account Receivables,398000000.0,-352000000.0,-146000000.0,111000000.0,
Other Non Cash Items,-29000000.0,115000000.0,-36000000.0,-48000000.0,
Asset Impairment Charge,,,,,14000000.0
Deferred Tax,181000000.0,44000000.0,-32000000.0,407000000.0,
Deferred Income Tax,181000000.0,44000000.0,-32000000.0,407000000.0,
Depreciation Amortization Depletion,1606000000.0,1468000000.0,1459000000.0,1443000000.0,
Depreciation And Amortization,1606000000.0,1468000000.0,1459000000.0,1443000000.0,
Operating Gains Losses,-3000000.0,14000000.0,296000000.0,-126000000.0,
Earnings Losses From Equity Investments,-3000000.0,14000000.0,-97000000.0,-132000000.0,
Net Income From Continuing Operations,1397000000.0,1083000000.0,903000000.0,1371000000.0,
