,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,956242000.0,900261000.0,795248000.0,758431000.0,
Repurchase Of Capital Stock,-6524000.0,-67838000.0,-12841000.0,-10529000.0,
Repayment Of Debt,-10710400000.0,-16057570000.0,-18211001000.0,-5274353000.0,
Issuance Of Debt,11088483000.0,16382153000.0,17909987000.0,5337350000.0,
Issuance Of Capital Stock,278000.0,308100000.0,5036000.0,1068877000.0,
Interest Paid Supplemental Data,188213000.0,162115000.0,173044000.0,209843000.0,
Income Tax Paid Supplemental Data,1923000.0,,4521000.0,,1426000.0
End Cash Position,169023000.0,126834000.0,219448000.0,181685000.0,
Beginning Cash Position,126834000.0,219448000.0,181685000.0,184657000.0,
Effect Of Exchange Rate Changes,,0.0,0.0,-153000.0,245000.0
Changes In Cash,42189000.0,-92614000.0,37763000.0,-2819000.0,
Other Cash Adjustment Inside Changein Cash,,,,-70253000.0,-90874000.0
Financing Cash Flow,-337299000.0,-116532000.0,-1288517000.0,246450000.0,
Cash Flow From Continuing Financing Activities,-337299000.0,-116532000.0,-1288517000.0,246450000.0,
Net Other Financing Charges,-52115000.0,-33330000.0,-329616000.0,-87823000.0,
Proceeds From Stock Option Exercised,,,,,795586000.0
Cash Dividends Paid,-657021000.0,-648047000.0,-650082000.0,-787072000.0,
Common Stock Dividend Paid,-657021000.0,-648047000.0,-650082000.0,-787072000.0,
Net Common Stock Issuance,-6246000.0,240262000.0,-7805000.0,1058348000.0,
Common Stock Payments,-6524000.0,-67838000.0,-12841000.0,-10529000.0,
Common Stock Issuance,278000.0,308100000.0,5036000.0,1068877000.0,
Net Issuance Payments Of Debt,378083000.0,324583000.0,-301014000.0,62997000.0,
Net Short Term Debt Issuance,-275606000.0,-170369000.0,1036385000.0,36590000.0,
Short Term Debt Payments,-10620311000.0,-16052522000.0,-15785065000.0,-4706010000.0,
Short Term Debt Issuance,10344705000.0,15882153000.0,16821450000.0,4742600000.0,
Net Long Term Debt Issuance,653689000.0,494952000.0,-1337399000.0,26407000.0,
Long Term Debt Payments,-90089000.0,-5048000.0,-2425936000.0,-568343000.0,
Long Term Debt Issuance,743778000.0,500000000.0,1088537000.0,594750000.0,
Investing Cash Flow,-576754000.0,-876343000.0,531032000.0,-1007700000.0,
Cash Flow From Continuing Investing Activities,-576754000.0,-876343000.0,531032000.0,-1007700000.0,
Net Other Investing Changes,96399000.0,-1819000.0,213113000.0,64882000.0,
Dividends Received Cfi,20640000.0,12518000.0,37640000.0,18555000.0,
Net Investment Purchase And Sale,,0.0,0.0,-394177000.0,0.0
Sale Of Investment,,,,202763000.0,274150000.0
Purchase Of Investment,,0.0,0.0,-394177000.0,0.0
Net Investment Properties Purchase And Sale,-605402000.0,-991884000.0,305539000.0,-657842000.0,
Sale Of Investment Properties,141651000.0,47885000.0,2399120000.0,1304375000.0,
Purchase Of Investment Properties,-747053000.0,-1039769000.0,-2093581000.0,-1962217000.0,
Net Business Purchase And Sale,-88391000.0,104842000.0,-25260000.0,-39118000.0,
Sale Of Business,0.0,125985000.0,0.0,0.0,
Purchase Of Business,-88391000.0,-21143000.0,-25260000.0,-39118000.0,
Operating Cash Flow,956242000.0,900261000.0,795248000.0,758431000.0,
Cash Flow From Continuing Operating Activities,956242000.0,900261000.0,795248000.0,758431000.0,
Dividend Received Cfo,910000.0,943000.0,4976000.0,12294000.0,
Change In Working Capital,82945000.0,118860000.0,26394000.0,108776000.0,
Change In Payables And Accrued Expense,104511000.0,136293000.0,7768000.0,93495000.0,
Change In Payable,,136293000.0,7768000.0,93495000.0,71659000.0
Change In Account Payable,,136293000.0,7768000.0,93495000.0,71659000.0
Change In Receivables,-21566000.0,-17433000.0,18626000.0,15281000.0,
Changes In Account Receivables,-21566000.0,-17433000.0,18626000.0,15281000.0,
Other Non Cash Items,-109644000.0,-127392000.0,-122880000.0,-93645000.0,
Stock Based Compensation,14480000.0,26456000.0,18202000.0,17368000.0,
Asset Impairment Charge,-5601000.0,7004000.0,55896000.0,244253000.0,
Deferred Tax,-14605000.0,-6001000.0,-5792000.0,-14573000.0,
Deferred Income Tax,-14605000.0,-6001000.0,-5792000.0,-14573000.0,
Depreciation Amortization Depletion,749901000.0,710569000.0,684286000.0,697143000.0,
Depreciation And Amortization,749901000.0,710569000.0,684286000.0,697143000.0,
Operating Gains Losses,-96901000.0,-346602000.0,-391764000.0,-641438000.0,
Earnings Losses From Equity Investments,-10204000.0,-2049000.0,-11235000.0,67787000.0,
Gain Loss On Investment Securities,-86463000.0,-33115000.0,-605311000.0,-592164000.0,
Gain Loss On Sale Of Business,-234000.0,-311438000.0,-1042000.0,-159973000.0,
Net Income From Continuing Operations,334757000.0,516424000.0,525930000.0,428253000.0,
