,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,1474000000.0,1021000000.0,1297000000.0,802000000.0
Repurchase Of Capital Stock,-575000000.0,-1139000000.0,-788000000.0,-469000000.0
Repayment Of Debt,0.0,-609000000.0,-417000000.0,-1762000000.0
Issuance Of Debt,0.0,600000000.0,848000000.0,1717000000.0
Capital Expenditure,-298000000.0,-291000000.0,-188000000.0,-119000000.0
Interest Paid Supplemental Data,89000000.0,85000000.0,76000000.0,71000000.0
Income Tax Paid Supplemental Data,199000000.0,279000000.0,211000000.0,361000000.0
End Cash Position,1593000000.0,1056000000.0,1490000000.0,1447000000.0
Beginning Cash Position,1056000000.0,1490000000.0,1447000000.0,1388000000.0
Effect Of Exchange Rate Changes,5000000.0,-36000000.0,3000000.0,2000000.0
Changes In Cash,532000000.0,-398000000.0,40000000.0,57000000.0
Financing Cash Flow,-930000000.0,-1372000000.0,-696000000.0,-717000000.0
Cash Flow From Continuing Financing Activities,-930000000.0,-1372000000.0,-696000000.0,-717000000.0
Net Other Financing Charges,-122000000.0,-67000000.0,-83000000.0,-41000000.0
Proceeds From Stock Option Exercised,67000000.0,58000000.0,55000000.0,60000000.0
Cash Dividends Paid,-265000000.0,-250000000.0,-236000000.0,-222000000.0
Common Stock Dividend Paid,-265000000.0,-250000000.0,-236000000.0,-222000000.0
Net Common Stock Issuance,-575000000.0,-1139000000.0,-788000000.0,-469000000.0
Common Stock Payments,-575000000.0,-1139000000.0,-788000000.0,-469000000.0
Net Issuance Payments Of Debt,-35000000.0,26000000.0,356000000.0,-45000000.0
Net Short Term Debt Issuance,-35000000.0,35000000.0,-75000000.0,873000000.0
Short Term Debt Payments,,-1260000000.0,-1722000000.0,-345000000.0
Short Term Debt Issuance,,1295000000.0,1647000000.0,1218000000.0
Net Long Term Debt Issuance,0.0,-9000000.0,431000000.0,-918000000.0
Long Term Debt Payments,0.0,-609000000.0,-417000000.0,-1417000000.0
Long Term Debt Issuance,0.0,600000000.0,848000000.0,499000000.0
Investing Cash Flow,-310000000.0,-338000000.0,-749000000.0,-147000000.0
Cash Flow From Continuing Investing Activities,-310000000.0,-338000000.0,-749000000.0,-147000000.0
Net Other Investing Changes,-8000000.0,-4000000.0,-5000000.0,-9000000.0
Net Investment Purchase And Sale,-3000000.0,9000000.0,-10000000.0,-20000000.0
Sale Of Investment,5000000.0,22000000.0,12000000.0,0.0
Purchase Of Investment,-8000000.0,-13000000.0,-22000000.0,-20000000.0
Net Business Purchase And Sale,-1000000.0,-52000000.0,-547000000.0,0.0
Sale Of Business,50000000.0,0.0,0.0,
Purchase Of Business,-51000000.0,-52000000.0,-547000000.0,0.0
Net Intangibles Purchase And Sale,,,-1000000.0,0.0
Purchase Of Intangibles,,,-1000000.0,0.0
Net PPE Purchase And Sale,-298000000.0,-291000000.0,-187000000.0,-118000000.0
Sale Of PPE,0.0,0.0,1000000.0,1000000.0
Purchase Of PPE,-298000000.0,-291000000.0,-188000000.0,-119000000.0
Operating Cash Flow,1772000000.0,1312000000.0,1485000000.0,921000000.0
Cash Flow From Continuing Operating Activities,1772000000.0,1312000000.0,1485000000.0,921000000.0
Change In Working Capital,-116000000.0,-478000000.0,-102000000.0,-326000000.0
Change In Other Working Capital,-44000000.0,-30000000.0,98000000.0,-153000000.0
Change In Payables And Accrued Expense,-171000000.0,121000000.0,64000000.0,2000000.0
Change In Payable,-171000000.0,121000000.0,64000000.0,2000000.0
Change In Account Payable,-171000000.0,121000000.0,64000000.0,2000000.0
Change In Inventory,-33000000.0,-248000000.0,-136000000.0,-68000000.0
Change In Receivables,132000000.0,-321000000.0,-128000000.0,-107000000.0
Changes In Account Receivables,132000000.0,-321000000.0,-128000000.0,-107000000.0
Other Non Cash Items,47000000.0,10000000.0,11000000.0,36000000.0
Stock Based Compensation,111000000.0,125000000.0,110000000.0,83000000.0
Unrealized Gain Loss On Investment Securities,,,,-28000000.0
Provisionand Write Offof Assets,,,,28000000.0
Asset Impairment Charge,277000000.0,0.0,2000000.0,99000000.0
Deferred Tax,-56000000.0,8000000.0,14000000.0,29000000.0
Deferred Income Tax,-56000000.0,8000000.0,14000000.0,29000000.0
Depreciation Amortization Depletion,271000000.0,317000000.0,321000000.0,308000000.0
Depreciation And Amortization,271000000.0,317000000.0,321000000.0,308000000.0
Operating Gains Losses,-2000000.0,76000000.0,-81000000.0,-27000000.0
Gain Loss On Investment Securities,41000000.0,67000000.0,-98000000.0,-27000000.0
Gain Loss On Sale Of Business,-43000000.0,0.0,0.0,
Net Income From Continuing Operations,1240000000.0,1254000000.0,1210000000.0,719000000.0
