,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,279000.0,10000.0,,0.0,2000.0
Ordinary Shares Number,402101000.0,399697000.0,399420000.0,374609000.0,
Share Issued,402380000.0,399707000.0,399420000.0,374609000.0,
Net Debt,12982102000.0,12174216000.0,11877819000.0,11482085000.0,
Total Debt,13685630000.0,12487220000.0,12224778000.0,12105329000.0,
Tangible Book Value,8437298000.0,9102160000.0,9800975000.0,9123858000.0,
Invested Capital,22978954000.0,22449748000.0,22881929000.0,22075579000.0,
Working Capital,-314071000.0,-612366000.0,-593131000.0,89907000.0,
Net Tangible Assets,8437298000.0,9102160000.0,9800975000.0,9123858000.0,
Capital Lease Obligations,194734000.0,190440000.0,197234000.0,209917000.0,
Common Stock Equity,9488058000.0,10152968000.0,10854385000.0,10180167000.0,
Total Capitalization,22964948000.0,22021518000.0,22545481000.0,21882086000.0,
Total Equity Gross Minority Interest,9544405000.0,10221677000.0,10945760000.0,10278191000.0,
Minority Interest,56347000.0,68709000.0,91375000.0,98024000.0,
Stockholders Equity,9488058000.0,10152968000.0,10854385000.0,10180167000.0,
Gains Losses Not Affecting Retained Earnings,-6249560000.0,-5486185000.0,-4744409000.0,-4084730000.0,
Other Equity Adjustments,-6249560000.0,-5486185000.0,-4744409000.0,-4084730000.0,
Treasury Stock,13764000.0,536000.0,0.0,0.0,
Retained Earnings,,-5449385000.0,-4679889000.0,-4030376000.0,-3669050000.0
Additional Paid In Capital,15650734000.0,15539777000.0,15498956000.0,14171262000.0,
Capital Stock,100648000.0,99912000.0,99838000.0,93635000.0,
Common Stock,100648000.0,99912000.0,99838000.0,93635000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,15181028000.0,13936163000.0,13772026000.0,13651213000.0,
Total Non Current Liabilities Net Minority Interest,13998760000.0,12359210000.0,12227872000.0,12209964000.0,
Preferred Securities Outside Stock Equity,302636000.0,264650000.0,280283000.0,235490000.0,
Non Current Deferred Liabilities,24500000.0,35570000.0,59259000.0,62638000.0,
Non Current Deferred Taxes Liabilities,24500000.0,35570000.0,59259000.0,62638000.0,
Long Term Debt And Capital Lease Obligation,13671624000.0,12058990000.0,11888330000.0,11911836000.0,
Long Term Capital Lease Obligation,194734000.0,190440000.0,197234000.0,209917000.0,
Long Term Debt,13476890000.0,11868550000.0,11691096000.0,11701919000.0,
Current Liabilities,1182268000.0,1576953000.0,1544154000.0,1441249000.0,
Other Current Liabilities,9243000.0,6492000.0,10850000.0,3246000.0,
Current Debt And Capital Lease Obligation,14006000.0,428230000.0,336448000.0,193493000.0,
Current Debt,14006000.0,428230000.0,336448000.0,193493000.0,
Line Of Credit,14006000.0,25230000.0,56448000.0,193493000.0,
Commercial Paper,0.0,403000000.0,280000000.0,0.0,
Payables And Accrued Expenses,1159019000.0,1142231000.0,1196856000.0,1244510000.0,
Current Accrued Expenses,117403000.0,110542000.0,106602000.0,111444000.0,
Interest Payable,117403000.0,110542000.0,106602000.0,111444000.0,
Payables,1041616000.0,1031689000.0,1090254000.0,1133066000.0,
Accounts Payable,1041616000.0,1031689000.0,1090254000.0,1133066000.0,
Total Assets,24725433000.0,24157840000.0,24717786000.0,23929404000.0,
Total Non Current Assets,23857236000.0,23193253000.0,23766763000.0,22398248000.0,
Other Non Current Assets,199417000.0,171387000.0,239412000.0,224363000.0,
Non Current Deferred Assets,120310000.0,111675000.0,11152000.0,9987000.0,
Non Current Deferred Taxes Assets,1754000.0,10490000.0,11152000.0,9987000.0,
Non Current Note Receivables,,,,,768336000.0
Financial Assets,59281000.0,23621000.0,48884000.0,50098000.0,
Investments And Advances,678518000.0,675312000.0,597067000.0,507456000.0,
Investmentin Financial Assets,,,,,237360000.0
Held To Maturity Securities,,,,,237360000.0
Long Term Equity Investment,678518000.0,675312000.0,597067000.0,507456000.0,
Investment Properties,21748950000.0,21160450000.0,21816838000.0,20550035000.0,
Goodwill And Other Intangible Assets,1050760000.0,1050808000.0,1053410000.0,1056309000.0,
Other Intangible Assets,5584000.0,6393000.0,7270000.0,4659000.0,
Goodwill,1045176000.0,1044415000.0,1046140000.0,1051650000.0,
Current Assets,868197000.0,964587000.0,951023000.0,1531156000.0,
Assets Held For Sale Current,56489000.0,44893000.0,28399000.0,9608000.0,
Restricted Cash,54668000.0,48181000.0,46872000.0,38313000.0,
Receivables,248246000.0,748949000.0,726027000.0,832355000.0,
Loans Receivable,54138000.0,561413000.0,549150000.0,662644000.0,
Accounts Receivable,194108000.0,187536000.0,176877000.0,169711000.0,
Cash Cash Equivalents And Short Term Investments,508794000.0,122564000.0,149725000.0,650880000.0,
Other Short Term Investments,,,0.0,237553000.0,237360000.0
Cash And Cash Equivalents,508794000.0,122564000.0,149725000.0,413327000.0,
